Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,2,Échame La Culpa,Luis Fonsi & Demi Lovato,9,72257041,0.07%,https://www.youtube.com/watch?v=TyHvyGVs42U,2018-01-18
2,1,Corazón (Official Video),Maluma,6,69000294,0%,https://www.youtube.com/watch?v=GmHrjFIWl6U,2018-01-18
3,4,Havana (Audio),Camila Cabello,16,61882640,0.29%,https://www.youtube.com/watch?v=HCjNJDNzw8Y,2018-01-18
4,3,Perfect,Ed Sheeran,11,57786512,0.06%,https://www.youtube.com/watch?v=2Vv-BfVoq4g,2018-01-18
5,6,Shape of You,Ed Sheeran,51,43766830,0.03%,https://www.youtube.com/watch?v=JGwWNGJdvx8,2018-01-18
6,n/a,End Game,Taylor Swift,1,43391518,n/a,https://www.youtube.com/watch?v=dfnCAmr569k,2018-01-18
7,10,Dusk Till Dawn (Official Video),ZAYN,20,38885450,0.13%,https://www.youtube.com/watch?v=tt2k8PGm-TI,2018-01-18
8,5,Finesse (remix),Bruno Mars,3,35748957,-0.23%,https://www.youtube.com/watch?v=LsoLEjrDogU,2018-01-18
9,9,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,22,34916425,0%,https://www.youtube.com/watch?v=VqEbCxg2bNI,2018-01-18
10,8,Despacito,Luis Fonsi,53,34833529,-0.01%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,2018-01-18
11,12,Déjala Que Vuelva,Piso 21,13,33443180,0.12%,https://www.youtube.com/watch?v=y7d9VLRO3vc,2018-01-18
12,11,Síguelo bailando,Ozuna,10,32591971,0.06%,https://www.youtube.com/watch?v=Dvpd9_5vuks,2018-01-18
13,n/a,Amantes de una Noche,Bad Bunny & Natti Natasha,1,32161674,n/a,https://www.youtube.com/watch?v=FVRPzwb1Vi4,2018-01-18
14,n/a,EL BAÑO,Enrique Iglesias,1,30937336,n/a,https://www.youtube.com/watch?v=gu9_m0vm7fM,2018-01-18
15,16,New Rules,Dua Lipa,28,28159779,0.16%,https://www.youtube.com/watch?v=k2qgadSvNyU,2018-01-18
16,21,Người Lạ Ơi (Hoaprox Remix),Châu Đăng Khoa,2,27941230,0.21%,https://www.youtube.com/watch?v=g20t_K9dlhU,2018-01-18
17,13,Gucci Gang,Lil Pump,13,27809475,0.02%,https://www.youtube.com/watch?v=4LfJnj66HVQ,2018-01-18
18,14,Sensualidad,Bad Bunny & Prince Royce & J Balvin & Hear This Music,11,27739882,0.06%,https://www.youtube.com/watch?v=ovX1HloCgdA,2018-01-18
19,n/a,IDGAF,Dua Lipa,1,27456123,n/a,https://www.youtube.com/watch?v=Mgfe5tIwOj0,2018-01-18
20,15,Swag Se Swagat,Julius Packiam & Neha Bhasin & Vishal - Shekhar,9,25072675,-0.04%,https://www.youtube.com/watch?v=xmU0s2QtaEY,2018-01-18
21,18,"Lahore (From ""Lahore"")",Guru Randhawa,5,24682383,0.04%,https://www.youtube.com/watch?v=dZ0fwJojhrs,2018-01-18
22,24,Anitta & J Balvin - Downtown (Official Lyric Video) ft. Lele Pons & Juanpa Zurita,Lele Pons,5,24347691,0.14%,https://www.youtube.com/watch?v=wzKL-bQKcgA,2018-01-18
23,17,Too Good At Goodbyes,Sam Smith,18,24330776,0.02%,https://www.youtube.com/watch?v=J_ub7Etch2U,2018-01-18
24,20,Mayores (Official Video),Becky G,27,23516311,0%,https://www.youtube.com/watch?v=GMFewiplIbw,2018-01-18
25,n/a,Que Tiro Foi Esse,Jojo Maronttinni,1,23362593,n/a,https://www.youtube.com/watch?v=Qw4uBk7DOa8,2018-01-18
