Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Despacito,Luis Fonsi,21,128318323,0.05%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,2017-06-08
2,2,Shape of You,Ed Sheeran,19,80718146,-0.03%,https://www.youtube.com/watch?v=JGwWNGJdvx8,2017-06-08
3,3,Felices los 4 (Official Video),Maluma,7,59733825,-0.02%,https://www.youtube.com/watch?v=t_jHrUE5IOk,2017-06-08
4,5,Ahora Dice (Official Video) ft. J. Balvin Ozuna Arcángel,Chris Jedi,11,44340785,0.06%,https://www.youtube.com/watch?v=c73Cu3TQnlg,2017-06-08
5,4,I'm the One,DJ Khaled,6,42376485,0%,https://www.youtube.com/watch?v=weeI1G46q0o,2017-06-08
6,6,Rockabye,Clean Bandit,30,41128367,-0.01%,https://www.youtube.com/watch?v=papuvlVeZg8,2017-06-08
7,7,That's What I Like,Bruno Mars,15,40495049,0%,https://www.youtube.com/watch?v=PMivT7MJ41M,2017-06-08
8,8,Chantaje (Official Video),Shakira,29,38469604,0.05%,https://www.youtube.com/watch?v=6Mgqbai3fKo,2017-06-08
9,9,Swalla,Jason Derulo,12,37843484,0.07%,https://www.youtube.com/watch?v=NGLxoKOvzu4,2017-06-08
10,12,Bon Appétit (Official),Katy Perry,4,31350586,0.1%,https://www.youtube.com/watch?v=dPI-mRFEIH0,2017-06-08
11,10,Despacito (Audio),Luis Fonsi,8,30450369,-0.02%,https://www.youtube.com/watch?v=72UO0v5ESUo,2017-06-08
12,13,Reggaetón Lento (Bailemos),CNCO,29,28955871,0.03%,https://www.youtube.com/watch?v=7jpqqBX-Myw,2017-06-08
13,11,Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),J Balvin,14,28918488,-0.02%,https://www.youtube.com/watch?v=Km4BayZykwE,2017-06-08
14,15,SUBEME LA RADIO (Official Video),Enrique Iglesias,15,27907635,0.04%,https://www.youtube.com/watch?v=9sg-A-eS6Ig,2017-06-08
15,18,Me Enamoré (Official Video),Shakira,4,26141265,0.06%,https://www.youtube.com/watch?v=sPTn0QEhxds,2017-06-08
16,14,El Amante,Nicky Jam,21,25925429,-0.04%,https://www.youtube.com/watch?v=YG2p6XBuSKA,2017-06-08
17,16,We Don't Talk Anymore,Charlie Puth,45,25370583,0.01%,https://www.youtube.com/watch?v=3AtDnEC4zak,2017-06-08
18,20,Something Just Like This (Lyric),The Chainsmokers & Coldplay,16,24992988,0.03%,https://www.youtube.com/watch?v=FM7MFYoylVs,2017-06-08
19,23,Escápate Conmigo (Official Video),Wisin,10,24063300,0.08%,https://www.youtube.com/watch?v=3X9wEwulYhk,2017-06-08
