Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,n/a,Yonaguni,Bad Bunny,1,55051673,n/a,https://www.youtube.com/watch?v=doLMt10ytHY,2021-06-10
2,2,Todo De Ti,Rauw Alejandro,3,40650776,-0.11%,https://www.youtube.com/watch?v=CFPLIaMpGrY,2021-06-10
3,1,Butter,BTS,3,38917570,-0.33%,https://www.youtube.com/watch?v=WMweEpGlu_U,2021-06-10
4,4,Lut Gaye,Nusrat Fateh Ali Khan & Jubin Nautiyal & Tanishk Bagchi,16,30926881,-0.2%,https://www.youtube.com/watch?v=sCbbMZ-q4-I,2021-06-10
5,5,EL MAKINON (Official Video),KAROL G & Mariah Angeliq,11,25648193,-0.07%,https://www.youtube.com/watch?v=2jYEz66J_J4,2021-06-10
6,8,Ram pam pam,Natti Natasha & Becky G,7,25216476,-0.05%,https://www.youtube.com/watch?v=_wE3hDN06Qg,2021-06-10
7,n/a,Alcohol-Free,TWICE,1,22934753,n/a,https://www.youtube.com/watch?v=XA2YEHn-A8Q,2021-06-10
8,15,Lost Cause (Official Music Video),Billie Eilish,2,21760488,0.27%,https://www.youtube.com/watch?v=S2dRcipMCpw,2021-06-10
9,6,Build a Bitch,Bella Poarch,4,20243058,-0.26%,https://www.youtube.com/watch?v=FLGCGc7sAUw,2021-06-10
10,n/a,Baarish Ban Jaana,Payal Dev & Stebin Ben,1,19388084,n/a,https://www.youtube.com/watch?v=KVh4KtUSW3A,2021-06-10
11,9,Ram pam pam,Natti Natasha & Becky G,4,19168614,-0.14%,https://www.youtube.com/watch?v=SuxLrcx6MPY,2021-06-10
12,10,Pareja Del Año,Myke Towers & Sebastián Yatra,8,18836709,-0.16%,https://www.youtube.com/watch?v=SRm2Ch4oFWs,2021-06-10
13,n/a,Butter (Cooler Remix),BTS,1,18797001,n/a,https://www.youtube.com/watch?v=ilqQJrbXghQ,2021-06-10
14,12,Botella Tras Botella,Gera Mx & Christian Nodal,7,18665083,-0.1%,https://www.youtube.com/watch?v=XegHMc35Bo8,2021-06-10
15,11,good 4 u (Official Video),Olivia Rodrigo,4,18303618,-0.13%,https://www.youtube.com/watch?v=gNi_6U5Pm_o,2021-06-10
16,13,Baarish Ki Jaaye | B Praak Ft Nawazuddin Siddiqui & Sunanda Sharma | Jaani | Arvindr Khaira | DM,DM - Desi Melodies,11,17576253,-0.11%,https://www.youtube.com/watch?v=TYaNfLLOLNY,2021-06-10
17,n/a,Love Again,Dua Lipa,1,17351852,n/a,https://www.youtube.com/watch?v=BC19kwABFwc,2021-06-10
18,n/a,Don't fight the feeling,EXO,1,16799529,n/a,https://www.youtube.com/watch?v=2IkoKhr6Tss,2021-06-10
19,n/a,Bedardi Se Pyaar Ka,Jubin Nautiyal & Meet Bros.,1,16583128,n/a,https://www.youtube.com/watch?v=y_RHQ4mBDKA,2021-06-10
20,14,52 Gaj Ka Daman,Renuka Panwar & MJ,23,16481579,-0.14%,https://www.youtube.com/watch?v=CZt-rVn2BJs,2021-06-10
21,16,Chatak Matak,Renuka Panwar & Sapna Choudhary,24,15526944,-0.1%,https://www.youtube.com/watch?v=s9AICwTKgOg,2021-06-10
22,23,Dance #Video | नदिया बीच नईया डोले | Shilpi Raj | Ft Abhishek  Pari  Dharmendra | Bhojpuri Song,Shilpi Raj,3,14518029,0%,https://www.youtube.com/watch?v=9MQ-Cf8zZCo,2021-06-10
23,25,Thoda Thoda Pyaar,Kumaar & Stebin Ben & Nilesh Ahuja,10,14348627,-0.01%,https://www.youtube.com/watch?v=USccSZnS8MQ,2021-06-10
24,31,2/Catorce,Rauw Alejandro & Mr. NaisGai,5,14232374,0.08%,https://www.youtube.com/watch?v=3mPXwuPc650,2021-06-10
25,19,Peaches,Justin Bieber,12,13901347,-0.12%,https://www.youtube.com/watch?v=tQ0yjYUFKAE,2021-06-10
26,20,Bruno Mars Anderson .Paak Silk Sonic - Leave the Door Open,Anderson .Paak & Bruno Mars & Silk Sonic,14,13865524,-0.11%,https://www.youtube.com/watch?v=adLGHcj_fmA,2021-06-10
27,7,[CHOREOGRAPHY] BTS (방탄소년단) 'Butter' Special Performance Video,BTS,2,13767083,-0.49%,https://www.youtube.com/watch?v=DbXMjAYSa68,2021-06-10
28,n/a,Sevmedim Deme,Kurtuluş Kuş & Burak Bulut,1,13690902,n/a,https://www.youtube.com/watch?v=rbjAilk31Sg,2021-06-10
29,27,HD VIDEO | कुँवारे में गंगा नहईले बानी | Ankush Raja  Shilpi Raj | Bhojpuri Song 2021,Ankush Raja Official,19,13487735,-0.05%,https://www.youtube.com/watch?v=YyVI46K8q9E,2021-06-10
30,17,Nang Reuang Gao,Nescafe Srinakorn,3,13365465,-0.19%,https://www.youtube.com/watch?v=_6ElV7AGv9g,2021-06-10
31,21,MC Don Juan MC Davi e MC Pedrinho - Bipolar (GR6 Explode) DJ 900,Gr6 Explode,6,13223848,-0.11%,https://www.youtube.com/watch?v=12-3ZAsO_xA,2021-06-10
32,32,8 Raflaan : Mankirt Aulakh Ft Gurlej Akhtar Ginni Kapoor Shree Brar Avvy Sra | New Punjabi Song 2021,Mankirt Aulakh,6,12793285,-0.02%,https://www.youtube.com/watch?v=tYpWpvpN_J8,2021-06-10
33,26,COCO COLA (Full Song) | Ruchika Jangid Kay D | New Haryanvi Songs Haryanavi 2020 | Nav Haryanvi,Nav Haryanvi,30,12732365,-0.11%,https://www.youtube.com/watch?v=9UaG7UL5yS4,2021-06-10
34,30,#SarangaDariya​ | Love story Songs | Naga Chaitanya | Sai Pallavi | Sekhar Kammula | Pawan Ch,Mangli,15,12229883,-0.09%,https://www.youtube.com/watch?v=h9Am4CYaLng,2021-06-10
