Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Dance Monkey,Tones And I,16,42033001,-0.03%,https://www.youtube.com/watch?v=q0hyYWKXF0Q,2020-01-02
2,2,Hello Koun,Ritesh Pandey Official,4,38574008,-0.08%,https://www.youtube.com/watch?v=0hGGaVCCqPk,2020-01-02
3,4,Tusa (Official Video),KAROL G & Nicki Minaj,8,33729966,0.13%,https://www.youtube.com/watch?v=tbneQDc2H3I,2020-01-02
4,7,Black Eyed Peas J Balvin - RITMO (Bad Boys For Life) (Official Music Video),J Balvin & Black Eyed Peas,12,23130426,-0.02%,https://www.youtube.com/watch?v=EzKkl64rRbM,2020-01-02
5,3,Que Tire Pa Lante,Daddy Yankee,11,22107816,-0.32%,https://www.youtube.com/watch?v=fAgvmh1jaCE,2020-01-02
6,9,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,24,21315201,-0.02%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,2020-01-02
7,13,Lehanga,Jass Manak,21,18674711,0.12%,https://www.youtube.com/watch?v=RKioDWlajvo,2020-01-02
8,12,Con Altura (Official Video),ROSALÍA,40,18191337,0.06%,https://www.youtube.com/watch?v=p7bfOZek9t4,2020-01-02
9,16,Old Town Road (Official Video),Lil Nas X,22,15910287,0.05%,https://www.youtube.com/watch?v=r7qovpFAGrQ,2020-01-02
10,14,Memories (Official Video),Maroon 5,13,15745033,-0.05%,https://www.youtube.com/watch?v=SlPhMPnQ58k,2020-01-02
11,6,Fantasias,Farruko & Rauw Alejandro,13,14819722,-0.42%,https://www.youtube.com/watch?v=8jwbnGrX7-c,2020-01-02
12,22,Señorita,Shawn Mendes & Camila Cabello,28,14211896,0.11%,https://www.youtube.com/watch?v=Pkh8UtuejGw,2020-01-02
13,20,Con Calma (Remix),Daddy Yankee,49,14029526,0.02%,https://www.youtube.com/watch?v=DiItGE3eAyQ,2020-01-02
14,28,Shaitan Ka Saala,Vishal Dadlani & Sohail Sen,13,12480344,0.06%,https://www.youtube.com/watch?v=oCBDl58lBoU,2020-01-02
15,24,Sigues Con El,Dimelo Flow & Arcángel,3,12286111,-0.02%,https://www.youtube.com/watch?v=VRUjdlCynU0,2020-01-02
16,26,"Into the Unknown (From ""Frozen 2"")",Idina Menzel & AURORA,5,12186960,-0.03%,https://www.youtube.com/watch?v=gIOyB9ZXn8s,2020-01-02
17,27,Adicto (Official Video),Tainy & Anuel AA & Ozuna,19,11724414,-0.03%,https://www.youtube.com/watch?v=58u-zkDLNPg,2020-01-02
18,25,Tutu (Official Video),Pedro Capó & Camilo,21,11463228,-0.09%,https://www.youtube.com/watch?v=5AkDqm-cEgg,2020-01-02
19,29,bad guy (Official Music Video),Billie Eilish,40,11259602,-0.02%,https://www.youtube.com/watch?v=DyDfgMOUjCI,2020-01-02
20,31,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,33,11245825,0.03%,https://www.youtube.com/watch?v=w2C6RhQBYlg,2020-01-02
21,19,Yaad Piya Ki Aane Lagi,Neha Kakkar & Tanishk Bagchi,7,11182436,-0.19%,https://www.youtube.com/watch?v=eN6AYHAT8UM,2020-01-02
22,n/a,Randa Party,Gulzaar Chhaniwala,1,10611983,n/a,https://www.youtube.com/watch?v=Q31PR_t3rj0,2020-01-02
23,30,BOP,DaBaby,7,10430053,-0.05%,https://www.youtube.com/watch?v=28hYUZMufDg,2020-01-02
24,35,Laare,Jaani & Maninder Buttar,4,10259793,0.03%,https://www.youtube.com/watch?v=mPhboJR0Llc,2020-01-02
25,n/a,Alone,Alan Walker,1,10014847,n/a,https://www.youtube.com/watch?v=HhjHYkPQ8F0,2020-01-02
26,44,Sentadão,PEDRO SAMPAIO & Felipe Original & JS o Mão de Ouro,4,9443691,0.05%,https://www.youtube.com/watch?v=xHhQ9nVKra0,2020-01-02
27,47,8 Parche,Gur Sidhu & Baani Sandhu,15,9410575,0.11%,https://www.youtube.com/watch?v=8WWv5_k8D14,2020-01-02
28,38,Ramuloo Ramulaa,Anurag Kulkarni Mangli,10,9167189,-0.05%,https://www.youtube.com/watch?v=wFAj0pW6xX0,2020-01-02
29,75,Drake - War,Drake,2,8989239,0.4%,https://www.youtube.com/watch?v=lIlMtVGI5Pg,2020-01-02
30,50,محمود الغياث - ربي رزقني (فيديو كليب حصري) | 2019 | Mahmod AlGayath - Rabe Razakne,Mahmood AlGhiath,4,8968166,0.1%,https://www.youtube.com/watch?v=lb9tezRaAHo,2020-01-02
31,39,Surtada (Remix Brega Funk),OIK & Dadá Boladão & Tati Zaqui,13,8841598,-0.08%,https://www.youtube.com/watch?v=vhPhZbO7OXE,2020-01-02
32,21,No seas Celoso,Kim Loaiza,3,8824745,-0.35%,https://www.youtube.com/watch?v=m-QxD0vuABM,2020-01-02
33,34,Catriona,Matthaios,2,8776716,-0.12%,https://www.youtube.com/watch?v=gvcB_l2n0SE,2020-01-02
34,18,Fantasias (Unplugged),Farruko & Rauw Alejandro,8,8699130,-0.38%,https://www.youtube.com/watch?v=_tQtfkce3Dc,2020-01-02
35,42,Supera,Marília Mendonça,17,8608064,-0.07%,https://www.youtube.com/watch?v=7fMttPxpcmg,2020-01-02
36,15,La Mejor Versión De Mi (Remix),Natti Natasha & Romeo Santos,13,8506700,-0.45%,https://www.youtube.com/watch?v=R9rVapGCf2c,2020-01-02
37,23,Hola (Remix),Lenny Tavárez & Dalex & Chencho Corleone,3,8403474,-0.33%,https://www.youtube.com/watch?v=nlXqp3FVrq8,2020-01-02
38,37,Ne reviens pas (Remix),Gradur & Dardan,5,8363873,-0.14%,https://www.youtube.com/watch?v=ZVgdQHA_IH4,2020-01-02
39,80,Пчеловод,RASA,18,8288946,0.34%,https://www.youtube.com/watch?v=9knYNjp95bs,2020-01-02
40,33,Liberdade provisória,Henrique & Juliano,4,8270218,-0.18%,https://www.youtube.com/watch?v=ff3r10rCKFs,2020-01-02
41,45,Vete,Bad Bunny,6,8190479,-0.08%,https://www.youtube.com/watch?v=f5aDUB1NCnk,2020-01-02
42,n/a,Kamaal,Uchana Amit,1,8004060,n/a,https://www.youtube.com/watch?v=ZPSUimDt7N8,2020-01-02
43,55,Don't Start Now,Dua Lipa,9,7999126,0.04%,https://www.youtube.com/watch?v=oygrmJFKYZY,2020-01-02
44,n/a,GANG GANG feat. Sheck Wes Don Toliver Luxury Tax 50 & Cactu...,JACKBOYS,1,7932140,n/a,https://www.youtube.com/watch?v=RIuk23XHYj0,2020-01-02
45,n/a,Kill This Love,BLACKPINK,27,7841599,n/a,https://www.youtube.com/watch?v=2S24-y0Ij3Y,2020-01-02
46,46,Anitta Lexa Luisa Sonza feat. MC Rebecca - Combatchy [Official Music Video],Anitta,7,7792133,-0.1%,https://www.youtube.com/watch?v=-YTeFMxUOAU,2020-01-02
47,67,Mummy Nu Pasand,Sunanda Sharma,2,7707966,0.1%,https://www.youtube.com/watch?v=wplnSnIBOYc,2020-01-02
48,43,"He’S Soo Cute (From ""Sarileru Neekevvaru"")",Lahari Music - TSeries,3,7689199,-0.16%,https://www.youtube.com/watch?v=HrrS_TOW4BM,2020-01-02
