Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Con Calma (Remix),Daddy Yankee,19,43912398,0.03%,https://www.youtube.com/watch?v=DiItGE3eAyQ,2019-06-06
2,2,Con Altura (Official Video),ROSALÍA,10,39449974,0.09%,https://www.youtube.com/watch?v=p7bfOZek9t4,2019-06-06
3,n/a,Never Really Over,Katy Perry,1,34818752,n/a,https://www.youtube.com/watch?v=aEb5gNsmGJ8,2019-06-06
4,3,Calma (Remix - Official Video),Pedro Capó & Farruko,33,31801330,-0.1%,https://www.youtube.com/watch?v=1_zgKRBrT0Y,2019-06-06
5,7,Otro trago,Sech,6,31454987,0.09%,https://www.youtube.com/watch?v=t_qn-f7XfJo,2019-06-06
6,4,Te robaré,Nicky Jam & Ozuna,9,30003626,-0.01%,https://www.youtube.com/watch?v=aA_kuFTV-P8,2019-06-06
7,n/a,Tujhe Kitna Chahne Lage,Mithoon & Arijit Singh,1,26808328,n/a,https://www.youtube.com/watch?v=3Dg006VuOMk,2019-06-06
8,10,bad guy (Official Music Video),Billie Eilish,10,25663231,0.03%,https://www.youtube.com/watch?v=DyDfgMOUjCI,2019-06-06
9,17,11 PM (Official Video),Maluma,3,24976497,0.24%,https://www.youtube.com/watch?v=IBaSizQyC5g,2019-06-06
10,8,Vaaste,Nikhil D'Souza & Dhvani Bhanushali,9,24944255,-0.12%,https://www.youtube.com/watch?v=BBAyRBTfsOU,2019-06-06
11,6,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,3,24298608,-0.16%,https://www.youtube.com/watch?v=w2Ov5jzm3j8,2019-06-06
12,35,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,3,22834783,0.87%,https://www.youtube.com/watch?v=w2C6RhQBYlg,2019-06-06
13,23,Boy With Luv,BTS,8,22044244,0.2%,https://www.youtube.com/watch?v=XsX3ATc3FbA,2019-06-06
14,11,Tal vez,Paulo Londra,10,19500030,-0.14%,https://www.youtube.com/watch?v=NPpELzyP4rw,2019-06-06
15,12,HP (Official Video),Maluma,14,19046037,-0.15%,https://www.youtube.com/watch?v=iMEhjsiHbwM,2019-06-06
16,22,No lo trates,Natti Natasha & Pitbull & Daddy Yankee,4,18875213,-0.01%,https://www.youtube.com/watch?v=maShEST7IkI,2019-06-06
17,18,Kill This Love,BLACKPINK,10,18435144,-0.07%,https://www.youtube.com/watch?v=2S24-y0Ij3Y,2019-06-06
18,n/a,Dices Que Te Vas,KAROL G & Anuel AA,1,17745600,n/a,https://www.youtube.com/watch?v=L9C62sh07KY,2019-06-06
19,n/a,Callaita,Bad Bunny & Tainy,1,17667453,n/a,https://www.youtube.com/watch?v=acEOASYioGY,2019-06-06
20,5,Soltera (remix),Lunay & Bad Bunny & Daddy Yankee,4,17444779,-0.41%,https://www.youtube.com/watch?v=8zQTfGbyY5I,2019-06-06
21,26,Pa' mí (remix),Dalex,4,17437339,0.19%,https://www.youtube.com/watch?v=JwsgCnBLL4A,2019-06-06
22,21,Todo Mundo Vai Sofrer (Ao Vivo),Marília Mendonça,3,16562959,-0.13%,https://www.youtube.com/watch?v=ILADw1aretk,2019-06-06
23,16,I Don't Care,Ed Sheeran & Justin Bieber,3,15179297,-0.27%,https://www.youtube.com/watch?v=y83x7MgzWOA,2019-06-06
24,24,Secreto,KAROL G & Anuel AA,21,13815526,-0.14%,https://www.youtube.com/watch?v=gFZfwWZV074,2019-06-06
25,n/a,Photo,Singga,1,13070589,n/a,https://www.youtube.com/watch?v=VyRiGoSgGCo,2019-06-06
26,27,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,33,12605353,-0.13%,https://www.youtube.com/watch?v=ApXoWvfEYVU,2019-06-06
27,32,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,35,12495073,0%,https://www.youtube.com/watch?v=ixkoVwKQaJg,2019-06-06
28,15,Solo pienso en ti,De La Ghetto & Justin Quiles & Paulo Londra,4,12381590,-0.41%,https://www.youtube.com/watch?v=1GS7wxWPaxc,2019-06-06
29,55,ME!,Taylor Swift,6,12356004,0.34%,https://www.youtube.com/watch?v=FuXNumBwDOM,2019-06-06
30,36,Ve Maahi (Kesari),Asees Kaur,11,12170543,0.02%,https://www.youtube.com/watch?v=j6muwUGdvXw,2019-06-06
31,47,ชอบแบบนี้,หนามเตย,5,11869712,0.09%,https://www.youtube.com/watch?v=n32PxBLrut4,2019-06-06
32,50,Dheeme Dheeme,Tony Kakkar,3,11798206,0.18%,https://www.youtube.com/watch?v=9mWdw-09dso,2019-06-06
33,33,"Aankh Marey (From ""Simmba"")",Mika Singh & Kumar Sanu & Neha Kakkar,25,11761634,-0.04%,https://www.youtube.com/watch?v=vu5-aKf_QqA,2019-06-06
34,34,Desconocidos,Manuel Turizo & Mau y Ricky & Camilo,27,11549010,-0.06%,https://www.youtube.com/watch?v=8avC3hHNeSE,2019-06-06
35,14,Dancing With A Stranger (Official Music Video),Sam Smith & Normani,18,11518249,-0.47%,https://www.youtube.com/watch?v=av5JD1dfj_c,2019-06-06
36,38,Please Me,Cardi B & Bruno Mars,14,11273572,-0.05%,https://www.youtube.com/watch?v=3y-O-4IL-PU,2019-06-06
37,31,Ocean,KAROL G,5,11230589,-0.12%,https://www.youtube.com/watch?v=gyY5Z0TUWRY,2019-06-06
38,29,"A Whole New World (End Title) (From ""Aladdin"")",ZAYN & Zhavia,4,11162683,-0.19%,https://www.youtube.com/watch?v=rg_zwK_sSEY,2019-06-06
39,45,Aullando (Official Video),Wisin & Yandel & Romeo Santos,15,11096662,0.01%,https://www.youtube.com/watch?v=-n9krkSb-ug,2019-06-06
40,40,7 rings (Official Video),Ariana Grande,20,10909015,-0.04%,https://www.youtube.com/watch?v=QYh6mYIJG2Y,2019-06-06
41,37,Si se da,Farruko & Myke Towers,14,10882171,-0.09%,https://www.youtube.com/watch?v=LXjRV-oSD1U,2019-06-06
42,42,Verte Ir,DJ Luian & Nicky Jam & Darell & Anuel AA & Brytiago,10,10689960,-0.04%,https://www.youtube.com/watch?v=gN9e40PE8VI,2019-06-06
43,39,Guaynaa - “ReBoTa” 🍑,Guaynaa,13,10350095,-0.12%,https://www.youtube.com/watch?v=mmKAn1MeB04,2019-06-06
