Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
60,21,TUTU,6ix9ine,3,7535824,-0.42%,https://www.youtube.com/watch?v=jV1v2Cy1w30,2020-09-24
61,54,LGHBTITA,Hassan Shakosh & Omar Kamal,4,7432712,-0.09%,https://www.youtube.com/watch?v=lIpnH6z_gHI,2020-09-24
62,49,La Jeepeta (Remix),Nio Garcia & Myke Towers & Anuel AA,3,7400263,-0.16%,https://www.youtube.com/watch?v=Nguo5HVshY8,2020-09-24
63,47,Idhar Aane Ka Nahi,Akshara Singh,12,7290386,-0.19%,https://www.youtube.com/watch?v=y5npPVLP_rs,2020-09-24
64,n/a,Âlâ,Yasin Obuz,1,7118880,n/a,https://www.youtube.com/watch?v=h2xFknmTucc,2020-09-24
65,52,Basta Você Me Ligar (Ao Vivo),Os Barões Da Pisadinha,7,7118871,-0.14%,https://www.youtube.com/watch?v=k4xGU8xoA6w,2020-09-24
66,n/a,Dilbar,Ikka & Dhvani Bhanushali & Neha Kakkar,24,7109516,n/a,https://www.youtube.com/watch?v=JFcgOboQZ08,2020-09-24
67,65,AI MANG CÔ ĐƠN ĐI - K-ICM FT. APJ | OFFICIAL AUDIO,Wren Evans,3,7046211,-0.01%,https://www.youtube.com/watch?v=ilKg0DZrOwY,2020-09-24
68,n/a,ASK THEM : Gippy Grewal Ft. Karan Aujla (Full Video) Punjabi Songs | Geet MP3,Geet MP3,1,6966989,n/a,https://www.youtube.com/watch?v=OJ2TVNS-0d0,2020-09-24
69,n/a,Bryant Myers Arcangel Nicky Jam El Alfa & Darell - Wow Remix (Video Oficial),Flow La Movie,1,6961196,n/a,https://www.youtube.com/watch?v=YrsEyQ33JkA,2020-09-24
70,73,Recairei,Os Barões Da Pisadinha,3,6958915,0.05%,https://www.youtube.com/watch?v=bKnB-0fSwDA,2020-09-24
71,n/a,Neta Song,Axl Hazarika,1,6913265,n/a,https://www.youtube.com/watch?v=DddCXJfuZZ4,2020-09-24
72,30,Don Don,Kendo Kaponi & Anuel AA & Daddy Yankee,2,6837002,-0.4%,https://www.youtube.com/watch?v=bZMPz5lzb2U,2020-09-24
73,43,777-666,Matuê,2,6816528,-0.31%,https://www.youtube.com/watch?v=d-GgZpCtBXw,2020-09-24
74,68,Investe Em Mim,Jonas Esticado,4,6730780,-0.03%,https://www.youtube.com/watch?v=Tupv5w2BPJw,2020-09-24
75,100,La Tóxica (Official Video),Farruko,3,6726493,0.17%,https://www.youtube.com/watch?v=puugRJxgdt4,2020-09-24
76,71,Una locura,J Balvin & Ozuna & Chencho Corleone,3,6664160,0%,https://www.youtube.com/watch?v=ULrh7yTFTv4,2020-09-24
77,58,Relación,Sech,17,6587157,-0.14%,https://www.youtube.com/watch?v=c6D8v6DhKc4,2020-09-24
78,57,Cennetten Çiçek,Zehra,12,6556914,-0.17%,https://www.youtube.com/watch?v=4OkiH2yD-eQ,2020-09-24
79,81,UN DIA (ONE DAY),Bad Bunny & Dua Lipa & Tainy & J Balvin,9,6499632,0.02%,https://www.youtube.com/watch?v=BjhW3vBA1QU,2020-09-24
80,n/a,#VIDEO | पति दूर था रजाई में कुकुर था | #Khesari Lal Yadav  #Antra Singh | Bhojpuri Song 2020,Aadishakti Films,1,6498082,n/a,https://www.youtube.com/watch?v=F-4xBvT2U4A,2020-09-24
81,66,Flexin',LIT killah & Bizarrap,6,6450247,-0.08%,https://www.youtube.com/watch?v=YWdcQfjdzBc,2020-09-24
82,n/a,Hasina Pagal Deewani,Mika Singh & Asees Kaur,1,6448156,n/a,https://www.youtube.com/watch?v=LG6H-r-7IUk,2020-09-24
83,n/a,Cô Gái Vàng,HuyR,1,6304847,n/a,https://www.youtube.com/watch?v=m2mR0osyqFI,2020-09-24
84,70,วอนหลวงพ่อรวย - มนต์แคน แก่นคูน [บทเพลงพิเศษ],Monkaen Kaenkoon,4,6272176,-0.06%,https://www.youtube.com/watch?v=w0GDEgCAsWk,2020-09-24
85,25,Matuê - Máquina do Tempo,Matuê,2,6177992,-0.49%,https://www.youtube.com/watch?v=ZPcG9PCfagM,2020-09-24
86,n/a,Ek Tarfa,Darshan Raval,1,6171822,n/a,https://www.youtube.com/watch?v=fIip0BH6z7I,2020-09-24
87,93,El Efecto (Remix),Lyanno & Bryant Myers & Dalex & Rauw Alejandro & KEVVO & Chencho Corleone,4,6147053,0.02%,https://www.youtube.com/watch?v=LKZYTdIS8Lc,2020-09-24
