Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Despacito,Luis Fonsi,11,92974717,-0.01%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,2017-03-30
2,2,Shape of You,Ed Sheeran,9,81547170,0.03%,https://www.youtube.com/watch?v=JGwWNGJdvx8,2017-03-30
3,3,Rockabye,Clean Bandit,20,43579804,-0.01%,https://www.youtube.com/watch?v=papuvlVeZg8,2017-03-30
4,4,Chantaje (Official Video),Shakira,19,40373678,0%,https://www.youtube.com/watch?v=6Mgqbai3fKo,2017-03-30
5,5,That's What I Like,Bruno Mars,5,35109142,0%,https://www.youtube.com/watch?v=PMivT7MJ41M,2017-03-30
6,7,Reggaetón Lento (Bailemos),CNCO,19,31831388,-0.05%,https://www.youtube.com/watch?v=7jpqqBX-Myw,2017-03-30
7,9,Starboy,The Weeknd,27,29935157,-0.03%,https://www.youtube.com/watch?v=34Na4j8AVgA,2017-03-30
8,8,El Amante,Nicky Jam,11,29412731,-0.05%,https://www.youtube.com/watch?v=YG2p6XBuSKA,2017-03-30
9,10,Closer (Lyric),The Chainsmokers,35,28976992,0.01%,https://www.youtube.com/watch?v=PT2_F-1esPk,2017-03-30
10,6,Shape Of You,Ed Sheeran,11,28703218,-0.15%,https://www.youtube.com/watch?v=_dK2tDK9grQ,2017-03-30
11,n/a,Deja vu (Official Video),Shakira,1,27980754,n/a,https://www.youtube.com/watch?v=XEvKn-QgAY0,2017-03-30
12,39,O Grave Bater,MC Kevinho,2,26561834,0.8%,https://www.youtube.com/watch?v=-PH4S7IPQxU,2017-03-30
13,11,Vente Pa' Ca (Official Video),Ricky Martin,27,26510402,-0.07%,https://www.youtube.com/watch?v=iOe6dI2JhgU,2017-03-30
14,14,We Don't Talk Anymore,Charlie Puth,35,26084252,0.07%,https://www.youtube.com/watch?v=3AtDnEC4zak,2017-03-30
15,13,Something Just Like This (Lyric),The Chainsmokers & Coldplay,6,25676023,0%,https://www.youtube.com/watch?v=FM7MFYoylVs,2017-03-30
16,16,SUBEME LA RADIO (Official Video),Enrique Iglesias,5,23643285,0.04%,https://www.youtube.com/watch?v=9sg-A-eS6Ig,2017-03-30
17,12,This Is What You Came For (Official Video),Calvin Harris,41,23335981,-0.11%,https://www.youtube.com/watch?v=kOkQ4T5WO9E,2017-03-30
18,17,See You Again,Wiz Khalifa,58,22373735,-0.01%,https://www.youtube.com/watch?v=RgKAFK5djSk,2017-03-30
19,18,Treat You Better,Shawn Mendes,37,21923966,-0.02%,https://www.youtube.com/watch?v=lY2yjAdbvdQ,2017-03-30
20,54,Swalla,Jason Derulo,2,21190616,0.7%,https://www.youtube.com/watch?v=NGLxoKOvzu4,2017-03-30
21,19,Chained To The Rhythm (Official),Katy Perry,6,21107692,-0.06%,https://www.youtube.com/watch?v=Um7pMggPnug,2017-03-30
22,20,It Ain't Me,Kygo & Selena Gomez,6,20734542,0.04%,https://www.youtube.com/watch?v=D5drYkLiLI8,2017-03-30
23,21,Sin Contrato (Official Video),Maluma,31,19800723,0%,https://www.youtube.com/watch?v=9xByMBYDRmY,2017-03-30
24,15,"I Don’t Wanna Live Forever (Fifty Shades Darker) (From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"")",ZAYN & Taylor Swift,9,19519478,-0.16%,https://www.youtube.com/watch?v=7F37r50VUTQ,2017-03-30
25,22,Sugar,Maroon 5,58,19143178,0.02%,https://www.youtube.com/watch?v=09R8_2nJtjg,2017-03-30
26,24,Sorry,Justin Bieber,58,19059212,0.03%,https://www.youtube.com/watch?v=fRh_vgS2dFE,2017-03-30
27,28,Shake It Off,Taylor Swift,58,18755463,0.1%,https://www.youtube.com/watch?v=nfWlot6h_JM,2017-03-30
28,27,Uptown Funk (Official Video),Mark Ronson,58,18249853,0.02%,https://www.youtube.com/watch?v=OPf0YbXqDm0,2017-03-30
29,25,La Rompe Corazones,Daddy Yankee,11,18237392,0%,https://www.youtube.com/watch?v=d-5dc8CuOvw,2017-03-30
30,29,Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),J Balvin,4,17863226,0.07%,https://www.youtube.com/watch?v=Km4BayZykwE,2017-03-30
31,23,24K Magic,Bruno Mars,25,17385352,-0.07%,https://www.youtube.com/watch?v=UqyT8IEBkvY,2017-03-30
32,31,Roar,Katy Perry,58,16734015,0.05%,https://www.youtube.com/watch?v=CevxZvSJLk8,2017-03-30
33,n/a,Ahora Dice (Official Video) ft. J. Balvin Ozuna Arcángel,Chris Jedi,1,16144158,n/a,https://www.youtube.com/watch?v=c73Cu3TQnlg,2017-03-30
34,30,Loka,Simone & Simaria,12,15219725,-0.09%,https://www.youtube.com/watch?v=UrT0zCmsN8c,2017-03-30
35,37,Work from Home (Official Video),Fifth Harmony,57,15090488,0.01%,https://www.youtube.com/watch?v=5GL9JoH4Sws,2017-03-30
36,40,El Perdedor (Official Video),Maluma,49,14957865,0.04%,https://www.youtube.com/watch?v=PJniSb91tvo,2017-03-30
37,34,I Feel It Coming ft. Daft Punk (Official Video),The Weeknd,3,14774370,-0.05%,https://www.youtube.com/watch?v=qFLhGq0060w,2017-03-30
38,n/a,Mo Bounce,Iggy Azalea,1,14714236,n/a,https://www.youtube.com/watch?v=YQ2xtWgBlzk,2017-03-30
39,49,Me acostumbre,Arcángel,5,14712352,0.12%,https://www.youtube.com/watch?v=xKKeqlBQ3Js,2017-03-30
40,38,"Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]",Dev Negi & Ikka & Neha Kakkar & Monali Thakur,8,14630690,-0.02%,https://www.youtube.com/watch?v=1YBl3Zbt80A,2017-03-30
41,35,Otra Vez,Zion & Lennox,32,14622138,-0.05%,https://www.youtube.com/watch?v=6R5i6wQCOCQ,2017-03-30
42,n/a,Side To Side,Ariana Grande ft. Nicki Minaj,27,14599143,n/a,https://www.youtube.com/watch?v=SXiSVQZLje8,2017-03-30
43,43,Bailando,Enrique Iglesias,58,14547894,0.05%,https://www.youtube.com/watch?v=NUsoVlDFqZg,2017-03-30
44,41,What Do You Mean?,Justin Bieber,58,14520204,0.01%,https://www.youtube.com/watch?v=DK_0jXPuIr0,2017-03-30
45,51,All About That Bass (Official Video),Meghan Trainor,57,14435681,0.11%,https://www.youtube.com/watch?v=7PCkvCPvDXk,2017-03-30
46,46,Dark Horse,Katy Perry,50,14096671,0.03%,https://www.youtube.com/watch?v=0KSOMA3QBU0,2017-03-30
47,36,Cuatro Babys (Official Video),Maluma,24,14015077,-0.08%,https://www.youtube.com/watch?v=OXq-JP8w5H4,2017-03-30
48,50,Symphony,Clean Bandit,2,13819338,0.05%,https://www.youtube.com/watch?v=aatr_2MstrI,2017-03-30
49,48,Quisiera,CNCO,10,13611468,0.01%,https://www.youtube.com/watch?v=GtOngOaClgU,2017-03-30
50,33,Tunnel Vision,Kodak Black,6,13563752,-0.14%,https://www.youtube.com/watch?v=JzSUgOmP66Q,2017-03-30
51,n/a,Saturnz Barz (Spirit House),Gorillaz,1,13556489,n/a,https://www.youtube.com/watch?v=5qJp6xlKEug,2017-03-30
52,47,La Bicicleta,Shakira & Carlos Vives,38,13229052,-0.03%,https://www.youtube.com/watch?v=-UV0QGLmYys,2017-03-30
53,n/a,Vai Embrazando,DJ Yuri Martins & Zaac & MC Vigary,1,13167923,n/a,https://www.youtube.com/watch?v=Nk7S7D0CQOY,2017-03-30
54,45,Você Partiu Meu Coração (Videoclipe),Nego do Borel,5,12332878,-0.1%,https://www.youtube.com/watch?v=Xp-dKdSUuLk,2017-03-30
55,57,Tu No Vive Asi,Bad Bunny & Arcángel,21,12120717,0%,https://www.youtube.com/watch?v=CUYrEiymUMY,2017-03-30
56,n/a,Тает лёд,Грибы,2,12006567,n/a,https://www.youtube.com/watch?v=i9AHJkHqkpw,2017-03-30
57,60,Alan Walker - Faded,Alan Walker,58,11831109,0%,https://www.youtube.com/watch?v=60ItHLz5WEA,2017-03-30
58,63,Counting Stars,OneRepublic,58,11722004,0.03%,https://www.youtube.com/watch?v=hT_nvWreIhg,2017-03-30
59,32,Shaky Shaky,Daddy Yankee,36,11713244,-0.26%,https://www.youtube.com/watch?v=aKuivabiOns,2017-03-30
60,71,Thinking out Loud,Ed Sheeran,57,11575039,0.08%,https://www.youtube.com/watch?v=lp-EO5I60KA,2017-03-30
61,62,Borro Cassette (Official Video),Maluma,56,11544651,0%,https://www.youtube.com/watch?v=Xk0wdDTTPA0,2017-03-30
62,61,Picky,Joey Montana,58,11390854,-0.02%,https://www.youtube.com/watch?v=RqpKDkVzlqU,2017-03-30
63,52,Paris (Official Lyric Video),The Chainsmokers,10,11337317,-0.11%,https://www.youtube.com/watch?v=RhU9MZ98jxo,2017-03-30
64,42,Soy Peor,Bad Bunny,10,11049647,-0.22%,https://www.youtube.com/watch?v=ws00k_lIQ9U,2017-03-30
65,66,Andas En Mi Cabeza,Chino & Nacho,49,11014799,0%,https://www.youtube.com/watch?v=AMTAQ-AJS4Y,2017-03-30
66,64,NA,NA,6,10876632,-0.04%,n/a,2017-03-30
67,55,Say You Won't Let Go,James Arthur,23,10843682,-0.12%,https://www.youtube.com/watch?v=0yW7w8F2TVA,2017-03-30
68,56,Castle on the Hill,Ed Sheeran,12,10832290,-0.11%,https://www.youtube.com/watch?v=7Qp5vcuMIlk,2017-03-30
69,44,Beauty and the Beast (From Beauty and the Beast - Official Vi...,John Legend & Ariana Grande,4,10725600,-0.22%,https://www.youtube.com/watch?v=axySrE0Kg6k,2017-03-30
70,67,Stay (Lyric Video),Zedd & Tritonal & Alessia Cara,5,10722111,-0.02%,https://www.youtube.com/watch?v=h--P8HzYZ74,2017-03-30
71,74,Lean On,Major Lazer & DJ Snake,58,10525542,0%,https://www.youtube.com/watch?v=YqeW9_5kURI,2017-03-30
72,68,Chillax (Official Video),Farruko,35,10441134,-0.04%,https://www.youtube.com/watch?v=7fEQmJ98x_Y,2017-03-30
73,79,Scared to Be Lonely,Dua Lipa & Martin Garrix,9,10391757,0.02%,https://www.youtube.com/watch?v=e2vBLd5Egnk,2017-03-30
74,86,Swang,Rae Sremmurd,5,10390823,0.05%,https://www.youtube.com/watch?v=dmJefsOErr0,2017-03-30
75,53,NA,NA,4,10273168,-0.19%,n/a,2017-03-30
76,76,Human (Official Video),Rag'n'Bone Man,16,10221210,-0.02%,https://www.youtube.com/watch?v=L3wKzyIN1yk,2017-03-30
77,81,Henrique e Juliano - VIDINHA DE BALADA - DVD O Céu Explica Tudo,Henrique & Juliano,5,10203667,0%,https://www.youtube.com/watch?v=PnAMEe0GGG8,2017-03-30
78,n/a,Joga O Bum Bum Tam Tam,MC Fioti,1,10203368,n/a,https://www.youtube.com/watch?v=_P7S2lKif-A,2017-03-30
79,80,IAmChino - Ay Mi Dios ft. Pitbull Yandel CHACAL (Official Music Video),IAmChino,25,10200147,0%,https://www.youtube.com/watch?v=yWo_uSJQE-s,2017-03-30
80,89,Let Her Go (Live from The Factory Theatre Sydney),Passenger,58,10186472,0.07%,https://www.youtube.com/watch?v=RBumgq5yVrA,2017-03-30
81,83,Adiós Amor,Christian Nodal,3,10039912,-0.01%,https://www.youtube.com/watch?v=ETLoTxVVvjM,2017-03-30
82,78,Don't Let Me Down,The Chainsmokers,48,10026909,-0.02%,https://www.youtube.com/watch?v=Io0fBr1XBUA,2017-03-30
83,77,Heathens,twenty one pilots,41,9954776,-0.04%,https://www.youtube.com/watch?v=UprcpdwuwCg,2017-03-30
84,58,Hey Ma,J Balvin & Pitbull,3,9935194,-0.18%,https://www.youtube.com/watch?v=UWLr2va3hu0,2017-03-30
