Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,un x100to,Grupo Frontera & Bad Bunny,4,37256458,-0.01%,https://www.youtube.com/watch?v=3inw26U-os4,2023-05-11
2,2,La Bebe (Remix),Yng Lvcas & Peso Pluma,7,32704061,0.03%,https://www.youtube.com/watch?v=3mchJ-EW9rM,2023-05-11
3,3,Ella Baila Sola,Eslabón Armado & Peso Pluma,5,29953997,-0.02%,https://www.youtube.com/watch?v=lZiaYpD9ZrI,2023-05-11
4,6,Flower,JISOO & BLACKPINK,6,20219728,0.05%,https://www.youtube.com/watch?v=YudHcBIxlYw,2023-05-11
5,5,Idol,YOASOBI,3,18304585,-0.07%,https://www.youtube.com/watch?v=ZRtdQ81jPUQ,2023-05-11
6,4,TQG,Shakira & KAROL G,11,17668171,-0.26%,https://www.youtube.com/watch?v=jZGpkLElSu8,2023-05-11
7,n/a,NA,NA,1,16332165,n/a,n/a,2023-05-11
8,n/a,Piyar Farak Wali,Pawan Singh & Anupma Yadav,1,14834803,n/a,https://www.youtube.com/watch?v=28sBcgnd8kg,2023-05-11
9,7,Jhoome Jo Pathaan,Vishal - Shekhar & Arijit Singh & Sukriti Kakkar & Vishal Dadlani & Sheykhar Ravjiani,20,14658744,-0.06%,https://www.youtube.com/watch?v=YxWlaYCA8MU,2023-05-11
10,n/a,MAKING MY WAY,Sơn Tùng M-TP,1,14006528,n/a,https://www.youtube.com/watch?v=niPkap1ozUA,2023-05-11
11,12,Un Finde | CROSSOVER #2,Ke personajes & FMK & BIG ONE,5,13711437,0.15%,https://www.youtube.com/watch?v=d2HmiKVoTNA,2023-05-11
12,10,पियर फराक वाली,Pawan Singh & Anupma Yadav,2,13460455,0.07%,https://www.youtube.com/watch?v=297YIty0JZU,2023-05-11
13,23,Classy 101,Feid & Young Miko,6,12524687,0.23%,https://www.youtube.com/watch?v=cD5T1Y4b7wA,2023-05-11
14,n/a,Spicy,aespa,1,12445205,n/a,https://www.youtube.com/watch?v=Os_heh8vPfs,2023-05-11
15,31,Qué Agonía,Ángela Aguilar & Yuridia,29,12395606,0.4%,https://www.youtube.com/watch?v=Q8xIa7KcI1A,2023-05-11
16,9,Pobre Corazón (Ao Vivo),Ke Personajes,10,12315857,-0.05%,https://www.youtube.com/watch?v=Dcow-Jp3Ak4,2023-05-11
17,13,Flowers,Miley Cyrus,17,12068987,0.03%,https://www.youtube.com/watch?v=G7KNmW9a75Y,2023-05-11
18,26,Frágil (Official Video),Yahritza Y Su Esencia & Grupo Frontera,5,11847346,0.19%,https://www.youtube.com/watch?v=FJ0CRDzsuCs,2023-05-11
19,18,QUE VUELVAS,Grupo Frontera & Carin Leon,21,11442871,0.07%,https://www.youtube.com/watch?v=gG3516BF5_w,2023-05-11
20,15,Calm Down,Rema & Selena Gomez,36,11429265,0.02%,https://www.youtube.com/watch?v=WcIcVapfqXw,2023-05-11
21,24,Nosso Quadro,Ana Castela,10,11420234,0.13%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-05-11
22,11,손오공,SEVENTEEN,3,11176311,-0.09%,https://www.youtube.com/watch?v=-GQg25oP0S4,2023-05-11
23,n/a,Asheq Majnoon,Mahmoud Al Turky,1,10879101,n/a,https://www.youtube.com/watch?v=mbrjP5UDL64,2023-05-11
24,n/a,Ach Khbarek,Saad Lamjarred,1,10778744,n/a,https://www.youtube.com/watch?v=59LAMFrqACg,2023-05-11
25,22,En La Intimidad,Emilia & Callejero Fino & BIG ONE,13,10626048,0.04%,https://www.youtube.com/watch?v=YgrwMV6DT5Y,2023-05-11
26,32,Chanel,Becky G & Peso Pluma,4,10296640,0.18%,https://www.youtube.com/watch?v=b2wQtu9YnWk,2023-05-11
27,27,Shorty Party,Cartel De Santa & La Kelly,10,10145803,0.02%,https://www.youtube.com/watch?v=1ooy2CyFLH4,2023-05-11
28,14,Yandel 150,Yandel & Feid,18,9864453,-0.15%,https://www.youtube.com/watch?v=WHejvUhX6rk,2023-05-11
29,28,Kahani Suno,Kaifi Khalil,20,9852399,0.04%,https://www.youtube.com/watch?v=_XBVWlI8TsQ,2023-05-11
30,29,Dhani Ho Sab Dhan,Pawan Singh & Shivani Singh,13,9244160,0.02%,https://www.youtube.com/watch?v=fk_VS8Y6jOA,2023-05-11
31,8,LE SSERAFIM (르세라핌) 'UNFORGIVEN ' OFFICIAL M/V,LE SSERAFIM,2,9206935,-0.35%,https://www.youtube.com/watch?v=UBURTj20HXI,2023-05-11
32,37,Panchayat,Tuntun Yadav & Prabha Raj,3,9039456,0.08%,https://www.youtube.com/watch?v=5f8IfNw1Bb0,2023-05-11
33,48,Mas Rica Que Ayer,Anuel AA & Mambo Kingz & DJ Luian,10,8982766,0.25%,https://www.youtube.com/watch?v=5sLzyEzUbPo,2023-05-11
34,21,AMG,Peso Pluma & Natanael Cano & Gabito Ballesteros,19,8977354,-0.15%,https://www.youtube.com/watch?v=DWRj2BB8YHs,2023-05-11
35,19,Por Las Noches,Peso Pluma,12,8673359,-0.18%,https://www.youtube.com/watch?v=acr5b7ZanDA,2023-05-11
36,40,Cupid (Twin Version),FIFTY FIFTY,6,8646328,0.11%,https://www.youtube.com/watch?v=Qc7_zRjH808,2023-05-11
37,20,M.A (Remix),La Joaqui & Callejero Fino & BM,5,8619330,-0.19%,https://www.youtube.com/watch?v=PTfntSlhnwY,2023-05-11
38,42,No Se Va (En Vivo),Grupo Frontera,33,8415611,0.11%,https://www.youtube.com/watch?v=VtKcDwz6hiM,2023-05-11
39,41,Tabibim,Muhammad Ziyo,3,8333516,0.08%,https://www.youtube.com/watch?v=uCIzcoVJkfU,2023-05-11
40,35,I AM,IVE,5,8185125,-0.04%,https://www.youtube.com/watch?v=6ZUIwj3FgUY,2023-05-11
41,n/a,Papa Ke Pari,Yash Kumar,1,8171811,n/a,https://www.youtube.com/watch?v=CQdUyG5J0fE,2023-05-11
42,47,O Bedardeya (Full Video) Tu Jhoothi Main Makkaar | Ranbir Shraddha | PritamArijit Singh Amitabh B,Arijit Singh,7,8099281,0.13%,https://www.youtube.com/watch?v=EdftT8GMU1U,2023-05-11
43,49,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,4,7869082,0.1%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-05-11
44,34,Raja Ji Ke Dilwa,Pawan Singh & Shivani Singh,2,7728555,-0.1%,https://www.youtube.com/watch?v=cQM55aOrZCg,2023-05-11
45,25,Conexões de Máfia,Matuê,2,7696785,-0.23%,https://www.youtube.com/watch?v=rGHJ0mqean4,2023-05-11
46,17,Shoong!,TAEYANG,3,7681156,-0.29%,https://www.youtube.com/watch?v=NFnAuiklEug,2023-05-11
47,50,Mientras Me Curo Del Cora,KAROL G,10,7671975,0.08%,https://www.youtube.com/watch?v=37wmW9kYAlQ,2023-05-11
48,39,Qué Onda Perdida,Grupo Firme & Gerardo Coronel,6,7661337,-0.03%,https://www.youtube.com/watch?v=1WPWhghNipM,2023-05-11
49,99,Chulhi Me Jhok Di,Shivani Singh,2,7501689,0.52%,https://www.youtube.com/watch?v=T726GDVpA0Q,2023-05-11
50,64,Oi Balde (Ao Vivo),Zé Neto & Cristiano,7,7367256,0.23%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-05-11
51,n/a,Tum Tum,Thaman S & Harini Ivaturi,30,7295130,n/a,https://www.youtube.com/watch?v=tYSrY4iPX6w,2023-05-11
52,55,People (Official Video),Libianca,10,7134380,0.08%,https://www.youtube.com/watch?v=rJWdfDPZ9Ck,2023-05-11
53,53,Cupido,TINI,10,7133151,0.05%,https://www.youtube.com/watch?v=4k1fm6YNsg8,2023-05-11
54,36,Ya No Vuelvas (Versión Cuarteto),Luck Ra & La K'onga & Ke Personajes,20,7078646,-0.16%,https://www.youtube.com/watch?v=Mroued07Z2U,2023-05-11
55,16,ERRO GOSTOSO (Ao Vivo),Simone Mendes,7,7036966,-0.37%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-05-11
56,68,Apna Bana Le,Arijit Singh & Sachin-Jigar,21,6996652,0.21%,https://www.youtube.com/watch?v=ElZfdU54Cp8,2023-05-11
