Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,5,62533497,0.19%,https://www.youtube.com/watch?v=aJOTlE1K90k,2018-07-05
2,2,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,13,55146573,0.09%,https://www.youtube.com/watch?v=9jI-z9QN6g8,2018-07-05
3,n/a,SAD!,XXXTENTACION,1,32209275,n/a,https://www.youtube.com/watch?v=iAeYPfrXwk4,2018-07-05
4,4,I Like It,Bad Bunny & Cardi B & J Balvin,6,32131438,-0.24%,https://www.youtube.com/watch?v=xTlNMmZKwpA,2018-07-05
5,n/a,Vaina loca,Manuel Turizo & Ozuna,1,31559708,n/a,https://www.youtube.com/watch?v=bx-fuY7LpSU,2018-07-05
6,8,X,Nicky Jam & J Balvin,18,27379119,-0.03%,https://www.youtube.com/watch?v=_I_D_8Z4sJE,2018-07-05
7,51,Me Niego,Reik,20,26567430,1.04%,https://www.youtube.com/watch?v=JyqD_zfXfi8,2018-07-05
8,n/a,Dilbar,Ikka & Dhvani Bhanushali & Neha Kakkar,1,26200664,n/a,https://www.youtube.com/watch?v=n2u81Ujc93g,2018-07-05
9,10,Lagi Syantik,Siti Badriah,8,26086622,-0.06%,https://www.youtube.com/watch?v=Tet6_BlStEM,2018-07-05
10,34,no tears left to cry (Official Video),Ariana Grande,11,25921015,0.63%,https://www.youtube.com/watch?v=ffxKSjUwKdU,2018-07-05
11,n/a,Estamos bien,Bad Bunny,1,25889857,n/a,https://www.youtube.com/watch?v=bcHTl9h7TWI,2018-07-05
12,17,Quien Sabe,Natti Natasha,2,25344882,0.17%,https://www.youtube.com/watch?v=mG0b8IAJvts,2018-07-05
13,13,No Me Acuerdo (Official Video),Natti Natasha & Thalía,5,23423821,0.02%,https://www.youtube.com/watch?v=iQEVguV71sI,2018-07-05
14,11,Dura (Remix),Daddy Yankee,9,23181598,-0.11%,https://www.youtube.com/watch?v=j1W5An7eo2g,2018-07-05
15,n/a,Original,Bad Bunny & Arcángel,1,22782472,n/a,https://www.youtube.com/watch?v=zkfyNvdMyYI,2018-07-05
16,15,El Farsante (Remix),Ozuna & Romeo Santos,23,22191470,-0.01%,https://www.youtube.com/watch?v=wfWkmURBNv8,2018-07-05
17,16,Mi Cama (Official Video),KAROL G,8,22158381,0%,https://www.youtube.com/watch?v=8-mloCL49vs,2018-07-05
18,21,Perfect,Ed Sheeran,33,22072478,0.18%,https://www.youtube.com/watch?v=2Vv-BfVoq4g,2018-07-05
19,55,Laung Laachi Title Track,Mannat Noor,10,21640376,0.84%,https://www.youtube.com/watch?v=YpkJO_GrCo0,2018-07-05
20,n/a,X (remix),Maluma & Nicky Jam & J Balvin & Ozuna,1,21555824,n/a,https://www.youtube.com/watch?v=h8r5rbUmBzs,2018-07-05
