Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,5,60677743,-0.1%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,2019-08-22
2,2,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,14,42808233,-0.05%,https://www.youtube.com/watch?v=w2C6RhQBYlg,2019-08-22
3,4,Con Altura (Official Video),ROSALÍA,21,37163753,0.01%,https://www.youtube.com/watch?v=p7bfOZek9t4,2019-08-22
4,3,Señorita,Shawn Mendes & Camila Cabello,9,36980651,-0.06%,https://www.youtube.com/watch?v=Pkh8UtuejGw,2019-08-22
5,n/a,Adios,EVERGLOW,1,34330297,n/a,https://www.youtube.com/watch?v=4gX_p1VkgA4,2019-08-22
6,16,Si Se Da (Remix),Myke Towers & Farruko & Arcangel & Sech & Zion,3,31702561,0.82%,https://www.youtube.com/watch?v=CbEst0K063c,2019-08-22
7,66,Yo x Ti Tu x Mi (Official Video),Ozuna & ROSALÍA,2,28564139,2.93%,https://www.youtube.com/watch?v=2j3x0VYnehg,2019-08-22
8,7,Con Calma (Remix),Daddy Yankee,30,24445490,-0.06%,https://www.youtube.com/watch?v=DiItGE3eAyQ,2019-08-22
9,10,11 PM (Official Video),Maluma,14,23208632,-0.01%,https://www.youtube.com/watch?v=IBaSizQyC5g,2019-08-22
10,8,"O Saki Saki (From ""Batla House"")",B Praak & Tulsi Kumar & Neha Kakkar,6,22295375,-0.12%,https://www.youtube.com/watch?v=6wNFJIbTxNk,2019-08-22
11,45,Lehanga,Jass Manak,2,22178398,1.42%,https://www.youtube.com/watch?v=RKioDWlajvo,2019-08-22
12,n/a,Motivation (Official Video),Normani,1,22022177,n/a,https://www.youtube.com/watch?v=FKXSh14svlQ,2019-08-22
13,12,Calma (Remix - Official Video),Pedro Capó & Farruko,44,19814585,-0.06%,https://www.youtube.com/watch?v=1_zgKRBrT0Y,2019-08-22
14,n/a,Bad Boy,Badshah & Neeti Mohan,1,19773479,n/a,https://www.youtube.com/watch?v=EAJCr5vvYz0,2019-08-22
15,5,"Queen of Mean (From ""Descendants 3"")",Sarah Jeffery,3,18867144,-0.29%,https://www.youtube.com/watch?v=r9o1QS-itsU,2019-08-22
16,9,Tutu (Official Video),Pedro Capó & Camilo,2,16956408,-0.29%,https://www.youtube.com/watch?v=5AkDqm-cEgg,2019-08-22
17,17,bad guy (Official Music Video),Billie Eilish,21,16620632,0.02%,https://www.youtube.com/watch?v=DyDfgMOUjCI,2019-08-22
18,15,"Night Falls (From ""Descendants 3"")",Disney & Dylan Playfair & China Anne McClain & Dove Cameron & Cameron Boyce & Sofia Carson & Thomas Doherty & Booboo Stewart,3,15767078,-0.21%,https://www.youtube.com/watch?v=i8pK6qmtllU,2019-08-22
19,18,Callaita,Bad Bunny & Tainy,12,13979158,-0.03%,https://www.youtube.com/watch?v=acEOASYioGY,2019-08-22
20,14,Dheeme Dheeme,Tony Kakkar,14,13971240,-0.32%,https://www.youtube.com/watch?v=9mWdw-09dso,2019-08-22
21,n/a,Umpah Umpah,Red Velvet,1,13841405,n/a,https://www.youtube.com/watch?v=vHS9E6JFja8,2019-08-22
22,13,Otro Trago (Remix),Anuel AA & Ozuna & Sech,4,13067842,-0.38%,https://www.youtube.com/watch?v=MaCnp-yB-Yc,2019-08-22
23,n/a,Lover (Official Lyric Video),Taylor Swift,1,12568227,n/a,https://www.youtube.com/watch?v=cvUAzpn48xA,2019-08-22
24,n/a,Cúrame (Official Video),Prince Royce,5,12367682,n/a,https://www.youtube.com/watch?v=8DdKe4bPELU,2019-08-22
25,21,กรรม,Nakharin Kingsak,10,12206311,-0.1%,https://www.youtube.com/watch?v=GjnC-KKKU2E,2019-08-22
26,22,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,14,12120044,-0.08%,https://www.youtube.com/watch?v=w2Ov5jzm3j8,2019-08-22
27,19,Vaaste,Nikhil D'Souza & Dhvani Bhanushali,20,11937626,-0.14%,https://www.youtube.com/watch?v=BBAyRBTfsOU,2019-08-22
28,11,Soltera (remix),Lunay & Bad Bunny & Daddy Yankee,15,11481969,-0.48%,https://www.youtube.com/watch?v=8zQTfGbyY5I,2019-08-22
29,26,Kill This Love,BLACKPINK,21,10957625,-0.06%,https://www.youtube.com/watch?v=2S24-y0Ij3Y,2019-08-22
30,n/a,Bir Daha Yak,Sura İskenderli,1,10532349,n/a,https://www.youtube.com/watch?v=_jfH5GhQ674,2019-08-22
31,37,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,44,10433541,0.04%,https://www.youtube.com/watch?v=ApXoWvfEYVU,2019-08-22
32,28,HP (Official Video),Maluma,25,10349586,-0.07%,https://www.youtube.com/watch?v=iMEhjsiHbwM,2019-08-22
33,30,Boy With Luv,BTS,19,10218942,-0.06%,https://www.youtube.com/watch?v=XsX3ATc3FbA,2019-08-22
34,33,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,46,9954214,-0.05%,https://www.youtube.com/watch?v=ixkoVwKQaJg,2019-08-22
35,43,"Psycho Saiyaan (From ""Saaho"")",T-Series,7,9631581,0.01%,https://www.youtube.com/watch?v=G81Ospnlctw,2019-08-22
36,27,Yaari Hai,Tony Kakkar,3,9489276,-0.15%,https://www.youtube.com/watch?v=fhPqvvS2qpU,2019-08-22
37,52,Hot Girl Summer,Megan Thee Stallion & Nicki Minaj & Ty Dolla $ign,2,9354456,0.1%,https://www.youtube.com/watch?v=tS7cHwAmjV4,2019-08-22
38,39,Secreto,KAROL G & Anuel AA,32,9295810,-0.04%,https://www.youtube.com/watch?v=gFZfwWZV074,2019-08-22
39,34,Otro trago,Sech,17,9259846,-0.11%,https://www.youtube.com/watch?v=t_qn-f7XfJo,2019-08-22
40,38,Ocean,KAROL G,16,9250181,-0.05%,https://www.youtube.com/watch?v=gyY5Z0TUWRY,2019-08-22
41,n/a,Norm Ender - Mekanın Sahibi,Norm Ender,1,9234794,n/a,https://www.youtube.com/watch?v=z3wAjJXbYzA,2019-08-22
42,46,Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,Mohammed Salamat & Madhushree,7,9156742,0.05%,https://www.youtube.com/watch?v=6qBdQzPnw4E,2019-08-22
43,20,Bellacoso,Bad Bunny & Residente,4,8939640,-0.35%,https://www.youtube.com/watch?v=46rJ4y2kdow,2019-08-22
44,n/a,Juicy (Official Video),Doja Cat & Tyga,1,8913682,n/a,https://www.youtube.com/watch?v=YIALlhlyqO4,2019-08-22
45,48,Loco Contigo,DJ Snake & J Balvin,10,8814443,0.02%,https://www.youtube.com/watch?v=zNl00mOSnJI,2019-08-22
46,76,DOLLAR (Official Video),Myke Towers & Becky G,6,8813079,0.29%,https://www.youtube.com/watch?v=ngJwy17OiAM,2019-08-22
47,29,CANGURO,WOS,2,8762435,-0.2%,https://www.youtube.com/watch?v=l5QAOvBqT3c,2019-08-22
48,64,Ona By Tak Chciała,Ronnie Ferrari,2,8755856,0.19%,https://www.youtube.com/watch?v=LCcIx6bCcr8,2019-08-22
49,49,BEBE,6ix9ine,36,8665513,0.01%,https://www.youtube.com/watch?v=ycV6cnK3SIs,2019-08-22
50,n/a,MC Doni - Te Amo Sem Compromisso (kondzilla.com) | Sintonia Soundtrack,Canal KondZilla,1,8664343,n/a,https://www.youtube.com/watch?v=zEE77Flhr9Y,2019-08-22
51,44,"Enni Soni (From ""Saaho"")",Guru Randhawa & Tulsi Kumar,3,8535364,-0.1%,https://www.youtube.com/watch?v=vpzitzyMRwc,2019-08-22
52,57,أصيل هميم - سر الحياة | 2019 | Aseel Hameem - Ser Alhayah,Aseel Hameem,10,8137313,0.02%,https://www.youtube.com/watch?v=uVxij4NespQ,2019-08-22
53,62,Milu,Gusttavo Lima,5,7961308,0.06%,https://www.youtube.com/watch?v=bN5xWBjYvQ0,2019-08-22
54,60,How Do You Sleep? (Official Music Video),Sam Smith,5,7926020,0.04%,https://www.youtube.com/watch?v=PmYypVozQb4,2019-08-22
55,n/a,La Vida Es Una Sola,Tito el Bambino & Nacho,1,7878480,n/a,https://www.youtube.com/watch?v=lLprS2sCINE,2019-08-22
56,90,Sentou e gostou,JottaPê & MC M10,2,7871181,0.25%,https://www.youtube.com/watch?v=p86_Aj8x014,2019-08-22
57,53,I Don't Care,Ed Sheeran & Justin Bieber,14,7777893,-0.08%,https://www.youtube.com/watch?v=y83x7MgzWOA,2019-08-22
58,n/a,Avutsun Bahaneler,Sagopa Kajmer,1,7754610,n/a,https://www.youtube.com/watch?v=xwOto0m-sXg,2019-08-22
59,n/a,Mac 10,Trippie Redd,1,7737959,n/a,https://www.youtube.com/watch?v=rHp3OdBZTqs,2019-08-22
60,69,Demet Akalın,Ben Fero,8,7727080,0.09%,https://www.youtube.com/watch?v=fdg2OG8zFiM,2019-08-22
61,n/a,DNA,BTS,29,7600149,n/a,https://www.youtube.com/watch?v=MBdVXkSdhwU,2019-08-22
62,58,Hola Señorita,Maluma & GIMS,15,7580791,-0.04%,https://www.youtube.com/watch?v=4j725wScY0E,2019-08-22
63,50,Todo Mundo Vai Sofrer (Ao Vivo),Marília Mendonça,14,7577478,-0.11%,https://www.youtube.com/watch?v=ILADw1aretk,2019-08-22
64,n/a,Where's My Love (Slowed),SYML,1,7542033,n/a,https://www.youtube.com/watch?v=goWa6EzkCh4,2019-08-22
65,55,Runaway ft. Jonas Brothers (Official Video),Sebastián Yatra,9,7509046,-0.09%,https://www.youtube.com/watch?v=FjIfxEXOcxo,2019-08-22
66,65,QUE PRETENDES (Official Video),Bad Bunny & J Balvin,8,7497612,0.02%,https://www.youtube.com/watch?v=kPc3Pe42bGI,2019-08-22
67,51,ฝนเทลงมา,การ์เนต สะเลอปี้,4,7455941,-0.12%,https://www.youtube.com/watch?v=3WuUE9G_dUo,2019-08-22
68,36,"One Kiss (From ""Descendants 3"")",Disney & China Anne McClain & Dove Cameron & Sofia Carson,3,7268251,-0.28%,https://www.youtube.com/watch?v=51A5vUrEgqg,2019-08-22
69,88,Old Town Road (Official Video),Lil Nas X,4,7226197,0.12%,https://www.youtube.com/watch?v=r7qovpFAGrQ,2019-08-22
70,98,"Psycho Saiyaan (From ""Saaho"")",Dhvani Bhanushali & Yazin Nizar & Tanishk Bagchi,2,7215706,0.24%,https://www.youtube.com/watch?v=eswudGVJbdU,2019-08-22
71,n/a,Kol Youm Elk Ashtak,Saif Nabeel,1,7129771,n/a,https://www.youtube.com/watch?v=DXw9bDiRizw,2019-08-22
72,n/a,One Thing Right (Duke & Jones remix),Kane Brown & Marshmello,1,7089775,n/a,https://www.youtube.com/watch?v=H1pxi-rbpBg,2019-08-22
73,81,Tijolão,Jorge & Mateus,6,6909487,0.03%,https://www.youtube.com/watch?v=8eOrHFape5I,2019-08-22
74,63,La Respuesta (Official Video),Maluma & Becky G,18,6839623,-0.08%,https://www.youtube.com/watch?v=sWK6eBYGZBM,2019-08-22
75,23,Instinto Natural (Official Video),Maluma,2,6836257,-0.47%,https://www.youtube.com/watch?v=lQLLXydaFzg,2019-08-22
76,n/a,Bad Boy,Badshah & Neeti Mohan,1,6788869,n/a,https://www.youtube.com/watch?v=FLPWoyJQ_hA,2019-08-22
77,59,ชอบแบบนี้,หนามเตย,16,6735697,-0.14%,https://www.youtube.com/watch?v=n32PxBLrut4,2019-08-22
78,42,boyfriend (Official Video),Ariana Grande & Social House,3,6729967,-0.3%,https://www.youtube.com/watch?v=9SRxBTtspYM,2019-08-22
