Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,2,TQG,Shakira & KAROL G,7,33947261,-0.17%,https://www.youtube.com/watch?v=jZGpkLElSu8,2023-04-13
2,1,Flower,JISOO & BLACKPINK,2,30520314,-0.68%,https://www.youtube.com/watch?v=YudHcBIxlYw,2023-04-13
3,n/a,Mera Na,Sidhu Moose Wala,1,27962484,n/a,https://www.youtube.com/watch?v=jaVdD4Z8UCs,2023-04-13
4,5,La Bebe (Remix),Yng Lvcas & Peso Pluma,3,19925013,0.17%,https://www.youtube.com/watch?v=3mchJ-EW9rM,2023-04-13
5,n/a,Ella Baila Sola,Eslabón Armado & Peso Pluma,1,16711208,n/a,https://www.youtube.com/watch?v=lZiaYpD9ZrI,2023-04-13
6,6,Flowers,Miley Cyrus,13,16138294,-0.05%,https://www.youtube.com/watch?v=G7KNmW9a75Y,2023-04-13
7,n/a,ธาตุทองซาวด์,YOUNGOHM,1,15786452,n/a,https://www.youtube.com/watch?v=T322TDmOKJI,2023-04-13
8,n/a,I AM,IVE,1,15224736,n/a,https://www.youtube.com/watch?v=6ZUIwj3FgUY,2023-04-13
9,8,Jhoome Jo Pathaan,Vishal - Shekhar & Arijit Singh & Sukriti Kakkar & Vishal Dadlani & Sheykhar Ravjiani,16,14599318,-0.03%,https://www.youtube.com/watch?v=YxWlaYCA8MU,2023-04-13
10,3,Ella Baila Sola,Eslabón Armado & Peso Pluma,4,14086160,-0.27%,https://www.youtube.com/watch?v=lSrLb_rERdI,2023-04-13
11,9,En La Intimidad,Emilia & Callejero Fino & BIG ONE,9,13572990,-0.07%,https://www.youtube.com/watch?v=YgrwMV6DT5Y,2023-04-13
12,4,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,14,13504586,-0.25%,https://www.youtube.com/watch?v=CocEMWdc7Ck,2023-04-13
13,n/a,People Pt.2,SUGA,1,13477056,n/a,https://www.youtube.com/watch?v=uVD-YgzDzyY,2023-04-13
14,7,Shorty Party,Cartel De Santa & La Kelly,6,12783212,-0.17%,https://www.youtube.com/watch?v=1ooy2CyFLH4,2023-04-13
15,17,Pobre Corazón (Ao Vivo),Ke Personajes,6,12490405,0.16%,https://www.youtube.com/watch?v=Dcow-Jp3Ak4,2023-04-13
16,11,Yandel 150,Yandel & Feid,14,12316925,-0.08%,https://www.youtube.com/watch?v=WHejvUhX6rk,2023-04-13
17,12,Qué Agonía,Ángela Aguilar & Yuridia,25,12199318,-0.08%,https://www.youtube.com/watch?v=Q8xIa7KcI1A,2023-04-13
18,14,QUE VUELVAS,Grupo Frontera & Carin Leon,17,10919486,-0.08%,https://www.youtube.com/watch?v=gG3516BF5_w,2023-04-13
19,13,Calm Down,Rema & Selena Gomez,32,10806904,-0.12%,https://www.youtube.com/watch?v=WcIcVapfqXw,2023-04-13
20,n/a,Peaches,Jack Black,1,9966830,n/a,https://www.youtube.com/watch?v=aW7bzd8uwyQ,2023-04-13
21,21,Por Las Noches,Peso Pluma,8,9608067,-0.03%,https://www.youtube.com/watch?v=acr5b7ZanDA,2023-04-13
22,n/a,M.A (Remix),La Joaqui & Callejero Fino & BM,1,9545549,n/a,https://www.youtube.com/watch?v=PTfntSlhnwY,2023-04-13
23,15,Chamkeela Angeelesi - Rainy Lofi,Dhee & Ram Miriyala & Santhosh Narayanan,5,9529646,-0.16%,https://www.youtube.com/watch?v=9O-mBYAqM1c,2023-04-13
24,19,AMG,Peso Pluma & Natanael Cano & Gabito Ballesteros,15,9524241,-0.07%,https://www.youtube.com/watch?v=DWRj2BB8YHs,2023-04-13
25,23,Ya No Vuelvas (Versión Cuarteto),Luck Ra & La K'onga & Ke Personajes,16,9428170,-0.02%,https://www.youtube.com/watch?v=Mroued07Z2U,2023-04-13
26,25,Nosso Quadro,Ana Castela,6,9138186,-0.02%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-04-13
27,22,Bebe Dame,Fuerza Regida & Grupo Frontera,15,8993051,-0.09%,https://www.youtube.com/watch?v=Oie--p6YqJo,2023-04-13
28,n/a,Pawan Singh: Tumhare Siva (Video) | Khushboo J | Swati C | Nikhil Vinay Basahi | Faaiz A Sameer,T-Series,1,8942803,n/a,https://www.youtube.com/watch?v=fyXMm1U7nUk,2023-04-13
29,34,ERRO GOSTOSO (Ao Vivo),Simone Mendes,4,8926723,0.09%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-04-13
30,18,Mientras Me Curo Del Cora,KAROL G,6,8886464,-0.17%,https://www.youtube.com/watch?v=37wmW9kYAlQ,2023-04-13
31,n/a,Un Finde | CROSSOVER #2,Ke personajes & FMK & BIG ONE,1,8768648,n/a,https://www.youtube.com/watch?v=d2HmiKVoTNA,2023-04-13
32,30,Maan Meri Jaan,King,22,8184127,-0.06%,https://www.youtube.com/watch?v=VuG7ge_8I2Y,2023-04-13
33,24,Dhani Ho Sab Dhan,Pawan Singh & Shivani Singh,9,8075212,-0.14%,https://www.youtube.com/watch?v=fk_VS8Y6jOA,2023-04-13
34,39,Ch y la Pizza (Ao Vivo),Fuerza Regida & Natanael Cano,14,7962112,0.02%,https://www.youtube.com/watch?v=kMp_-ePwEC4,2023-04-13
35,n/a,Kitsch,IVE,1,7887678,n/a,https://www.youtube.com/watch?v=pG6iaOMV46I,2023-04-13
36,20,Yentamma,Vishal Dadlani & Payal Dev & Raftaar,2,7865538,-0.22%,https://www.youtube.com/watch?v=xb59o_op8Z0,2023-04-13
37,26,Vacilão,Zé Felipe & Igow & Wesley Safadão,4,7714327,-0.15%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q,2023-04-13
38,33,La Bachata,Manuel Turizo,39,7706958,-0.06%,https://www.youtube.com/watch?v=TiM_TFpT_DE,2023-04-13
39,n/a,OTONABLUE / THE FIRST TAKE,ATARASHII GAKKO!,1,7642754,n/a,https://www.youtube.com/watch?v=9MNPt-zlz-8,2023-04-13
40,32,Cupido,TINI,6,7598065,-0.12%,https://www.youtube.com/watch?v=4k1fm6YNsg8,2023-04-13
41,49,Kahani Suno,Kaifi Khalil,16,7367204,0.06%,https://www.youtube.com/watch?v=_XBVWlI8TsQ,2023-04-13
42,35,Mas Rica Que Ayer,Anuel AA & Mambo Kingz & DJ Luian,6,7310132,-0.11%,https://www.youtube.com/watch?v=5sLzyEzUbPo,2023-04-13
43,31,Classy 101,Feid & Young Miko,2,7283187,-0.15%,https://www.youtube.com/watch?v=cD5T1Y4b7wA,2023-04-13
44,40,No Se Va (En Vivo),Grupo Frontera,29,7255830,-0.07%,https://www.youtube.com/watch?v=VtKcDwz6hiM,2023-04-13
45,43,Shut Down,BLACKPINK,27,7037841,-0.08%,https://www.youtube.com/watch?v=POe9SOEKotk,2023-04-13
46,53,O Bedardeya (Full Video) Tu Jhoothi Main Makkaar | Ranbir Shraddha | PritamArijit Singh Amitabh B,Arijit Singh,3,6999561,0.02%,https://www.youtube.com/watch?v=EdftT8GMU1U,2023-04-13
47,37,Boy’s a liar Pt. 2,PinkPantheress & Ice Spice,10,6990735,-0.13%,https://www.youtube.com/watch?v=oftolPu9qp4,2023-04-13
48,44,MERCHO (Official Video),LiL CaKe & Migrantes & Nico Valdi,9,6985133,-0.09%,https://www.youtube.com/watch?v=VVWH9jJLGkE,2023-04-13
49,36,Pink Venom,BLACKPINK,32,6979918,-0.15%,https://www.youtube.com/watch?v=gQlMMD8auMs,2023-04-13
50,54,Rotchana Aoey,จิ๋ว สกุณชัย,5,6843684,0.02%,https://www.youtube.com/watch?v=Y4AfdxIw5AM,2023-04-13
51,45,BESO,ROSALÍA & Rauw Alejandro,3,6792158,-0.07%,https://www.youtube.com/watch?v=QXQQAsIhHMw,2023-04-13
52,50,Besharam Rang,Shilpa Rao & Caralisa Monteiro & Vishal Dadlani & Sheykhar Ravjiani,17,6738226,-0.03%,https://www.youtube.com/watch?v=huxhqphtDrM,2023-04-13
53,38,La Jumpa,Arcangel & Bad Bunny,10,6697562,-0.17%,https://www.youtube.com/watch?v=ubbE6gyBf8k,2023-04-13
54,52,Rahmatun Lil'Alameen,Maher Zain,7,6471708,-0.06%,https://www.youtube.com/watch?v=tBbdSzwxqyY,2023-04-13
55,27,Bzrp Music Sessions Vol. 54,Arcángel & Bizarrap,4,6431602,-0.29%,https://www.youtube.com/watch?v=ntCZjb_AAWE,2023-04-13
