Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,n/a,I Love It,Kanye West & Lil Pump,1,74542498,n/a,https://www.youtube.com/watch?v=cwQgjq0mCdE,2018-09-13
2,2,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,15,55400622,-0.04%,https://www.youtube.com/watch?v=aJOTlE1K90k,2018-09-13
3,3,Vaina loca,Manuel Turizo & Ozuna,11,50109686,0.4%,https://www.youtube.com/watch?v=bx-fuY7LpSU,2018-09-13
4,1,BEBE,6ix9ine,2,47768336,-0.17%,https://www.youtube.com/watch?v=ycV6cnK3SIs,2018-09-13
5,4,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,23,33655989,-0.02%,https://www.youtube.com/watch?v=9jI-z9QN6g8,2018-09-13
6,6,Sin Pijama (Official Video),Natti Natasha & Becky G,20,31826348,-0.05%,https://www.youtube.com/watch?v=zEf423kYfqk,2018-09-13
7,5,FEFE,6ix9ine,7,31436111,-0.08%,https://www.youtube.com/watch?v=V_MXGdSBbAI,2018-09-13
8,12,No Me Acuerdo (Official Video),Natti Natasha & Thalía,15,27425044,-0.01%,https://www.youtube.com/watch?v=iQEVguV71sI,2018-09-13
9,7,Ya No Tiene Novio (Official Video),Sebastián Yatra & Mau y Ricky,5,25083426,-0.22%,https://www.youtube.com/watch?v=-qGbUNQqVNc,2018-09-13
10,13,Culpables,Manuel Turizo,7,24919241,-0.01%,https://www.youtube.com/watch?v=OYwdXMPu17E,2018-09-13
11,20,Dipsiz Kuyum,Emrah Karaduman & Aleyna Tilki,2,24452793,0.18%,https://www.youtube.com/watch?v=0-SCNDwGcgE,2018-09-13
12,18,Fall (Official Music Video),Eminem,2,24396637,0.13%,https://www.youtube.com/watch?v=MfTbHITdhEI,2018-09-13
13,15,I Like It,Bad Bunny & Cardi B & J Balvin,16,22255126,-0.07%,https://www.youtube.com/watch?v=xTlNMmZKwpA,2018-09-13
14,27,Kamariya (Yaari Version),DJ Chetas & Darshan Raval,2,19468413,0.12%,https://www.youtube.com/watch?v=i0_m90T04uw,2018-09-13
15,21,Laung Laachi Title Track,Mannat Noor,20,19243679,-0.02%,https://www.youtube.com/watch?v=YpkJO_GrCo0,2018-09-13
16,24,Taste (Official Video),Tyga,14,18694565,0.02%,https://www.youtube.com/watch?v=LjxulQ1bEWg,2018-09-13
17,10,IDOL,BTS,3,18232938,-0.37%,https://www.youtube.com/watch?v=pBuZEGYXA6E,2018-09-13
18,28,Solo,Clean Bandit,14,18168838,0.05%,https://www.youtube.com/watch?v=8JnfIa84TnU,2018-09-13
19,58,Lil' Touch,Girls' Generation-Oh!GG,2,17876144,0.48%,https://www.youtube.com/watch?v=SdzLl-XpJt0,2018-09-13
