Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Plan A,Paulo Londra,2,30151441,0.23%,https://www.youtube.com/watch?v=dmW68lzaaqs,2022-03-31
2,4,Envolver,Anitta,5,23759017,0.39%,https://www.youtube.com/watch?v=hFCjGiawJi4,2022-03-31
3,6,Srivalli,Javed Ali,12,17149031,0.15%,https://www.youtube.com/watch?v=hcMzwMrr1tE,2022-03-31
4,5,Pushpa: Saami Saami,Allu Arjun & Rashmika Mandanna,12,15978621,-0.06%,https://www.youtube.com/watch?v=vdY5SFZBgnk,2022-03-31
5,3,"We Don't Talk About Bruno (From ""Encanto"")",Stephanie Beatriz & Mauro Castillo & Rhenzy Feliz & Adassa & Diane Guerrero & Carolina Gaitán - La Gaita,14,15850410,-0.09%,https://www.youtube.com/watch?v=bvWRMAU6V-c,2022-03-31
6,7,"No se habla de Bruno (De ""Encanto"")",Isabel Garcés & Mauro Castillo & Olga Lucía Vives & Juanse Diez & Carolina Gaitán - La Gaita & Daniela Sierra,6,13060148,-0.13%,https://www.youtube.com/watch?v=wTi8yLyHeb8,2022-03-31
7,14,Kalaavathi - Music Video | Sarkaru Vaari Paata | Mahesh Babu | Keerthy Suresh | Thaman S | Parasuram,Saregama Telugu,7,12701260,0.05%,https://www.youtube.com/watch?v=Vbu44JdN12s,2022-03-31
8,n/a,RUMBATÓN,Daddy Yankee,1,12208369,n/a,https://www.youtube.com/watch?v=t7gsVuW8AtY,2022-03-31
9,n/a,Glitch Mode,NCT DREAM,1,12022288,n/a,https://www.youtube.com/watch?v=oZP2h3WIzqk,2022-03-31
10,n/a,U Know What's Up (From Disney and Pixar's Turning Red),4*TOWN (From Disney and Pixar’s Turning Red),1,11574775,n/a,https://www.youtube.com/watch?v=74Xn1lhiQaI,2022-03-31
11,12,Chale,Edén Muñoz,5,11550112,-0.09%,https://www.youtube.com/watch?v=OLmGL_SvP_M,2022-03-31
12,23,Una Noche en Medellín,Cris Mj,6,11022518,0.14%,https://www.youtube.com/watch?v=EaIh7tRqdqM,2022-03-31
13,16,Heat Waves (Official Video),Glass Animals,16,10912175,-0.01%,https://www.youtube.com/watch?v=mRD0-GxqHVo,2022-03-31
14,13,Oo Bolega ya Oo Oo Bolega,Kanika Kapoor,12,10564027,-0.17%,https://www.youtube.com/watch?v=sqmNziU3OxQ,2022-03-31
15,15,Desesperados,Rauw Alejandro & Chencho Corleone,14,10409276,-0.09%,https://www.youtube.com/watch?v=K9mTSekTktw,2022-03-31
16,n/a,X ÚLTIMA VEZ,Bad Bunny & Daddy Yankee,1,10276129,n/a,https://www.youtube.com/watch?v=WTlRFmVKT0A,2022-03-31
17,17,Hati‐Hati di Jalan,Tulus,4,10252418,-0.05%,https://www.youtube.com/watch?v=_N6vSc_mT6I,2022-03-31
18,11,Saare Bolo Bewafa Song: Bachchhan Paandey | Akshay Kriti B Praak Jaani | Sajid N Farhad S Bhushan K,T-Series,4,10245692,-0.23%,https://www.youtube.com/watch?v=ZbCLNAIIOlg,2022-03-31
19,20,Jordan,Ryan Castro,7,9912419,0%,https://www.youtube.com/watch?v=oFKu8wm7RcA,2022-03-31
20,n/a,NA,NA,1,9860626,n/a,n/a,2022-03-31
21,22,Aleky Eyoun,Ahmed Saad,5,9671390,-0.01%,https://www.youtube.com/watch?v=cTXLxXj88kw,2022-03-31
22,2,MANIAC,Stray Kids,2,9213572,-0.62%,https://www.youtube.com/watch?v=OvioeS1ZZ7o,2022-03-31
23,21,Malvada,Zé Felipe,9,9155900,-0.07%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-03-31
24,n/a,REMIX,Daddy Yankee,1,8740883,n/a,https://www.youtube.com/watch?v=vD4JBzRkWBA,2022-03-31
25,8,Feel My Rhythm,Red Velvet,2,8666716,-0.41%,https://www.youtube.com/watch?v=R9At2ICm4LQ,2022-03-31
26,24,sentaDONA (Remix) s2,Luísa Sonza & Davi Kneip & Mc Frog & Dj Gabriel do Borel,2,8567299,-0.11%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-03-31
27,80,Etthara Jenda,M. M. Keeravani & Vishal Mishra & Sahithi Chaganti & Prudhvi Chandra & Harika Narayan,3,8478889,0.56%,https://www.youtube.com/watch?v=dtZ14XTwwos,2022-03-31
28,26,MONEY (PERFORMANCE VIDEO),BLACKPINK,28,8396551,-0.05%,https://www.youtube.com/watch?v=dNCWe_6HAM8,2022-03-31
29,n/a,ZONA DEL PERREO,Natti Natasha & Becky G & Daddy Yankee,1,8100232,n/a,https://www.youtube.com/watch?v=6BguSb3Y3I4,2022-03-31
30,25,Raja Ji Khoon Kaida,Shilpi Raj,11,8018590,-0.1%,https://www.youtube.com/watch?v=nbU9fQFi5fY,2022-03-31
31,n/a,AGUA,Nile Rodgers & Rauw Alejandro & Daddy Yankee,1,7875771,n/a,https://www.youtube.com/watch?v=X_oXBZv506U,2022-03-31
32,31,Etnaset,MUSliM,21,7741108,-0.03%,https://www.youtube.com/watch?v=BGkL2Pq-g3A,2022-03-31
33,19,TOMBOY,(G)I-DLE,3,7608567,-0.26%,https://www.youtube.com/watch?v=Jh4QFaPmdss,2022-03-31
34,60,เสแสร้ง (Pretend),Paper Planes,2,7604060,0.23%,https://www.youtube.com/watch?v=I9TCLKlMzpc,2022-03-31
35,n/a,Sholay,Sahithi Chaganti & Vishal Mishra & Benny Dayal & Harika Narayan,2,7435336,n/a,https://www.youtube.com/watch?v=r1Q5c61vhag,2022-03-31
36,30,Tillu Anna DJ Pedithe,Ram Miriyala,6,7396803,-0.08%,https://www.youtube.com/watch?v=M-954V9LORI,2022-03-31
37,9,Raataan Lambiyan,Jubin Nautiyal & Asees Kaur & Tanishk Bagchi,28,7246462,-0.48%,https://www.youtube.com/watch?v=gvyUuxdRdR4,2022-03-31
38,28,Dil Galti Kar Baitha Hai,Shardul Rathod & Jubin Nautiyal & Meet Bros.,27,7214268,-0.16%,https://www.youtube.com/watch?v=1--qqQrimMA,2022-03-31
39,n/a,Sigue [Official Video],Ed Sheeran & J Balvin,1,7178618,n/a,https://www.youtube.com/watch?v=8pIzxS_G8-g,2022-03-31
40,34,Malvadão 3,Xamã,14,7131561,-0.08%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-03-31
41,n/a,NA,NA,1,7091336,n/a,n/a,2022-03-31
42,40,Salıncak,Mustafa Ceceli & Nigar Muharrem,12,6980758,-0.02%,https://www.youtube.com/watch?v=BebQwqnk0hM,2022-03-31
43,n/a,มากพอแล้ว,Lil X,1,6920728,n/a,https://www.youtube.com/watch?v=1O_xF38mfIA,2022-03-31
44,n/a,Gangsta's Paradise,Coolio,25,6871220,n/a,https://www.youtube.com/watch?v=fPO76Jlnz6c,2022-03-31
45,55,Judge : Mankirt Aulakh (Official Video) New Punjabi Song Latest Punjabi Songs 2022 | Sky Digital,Mankirt Aulakh,8,6869072,0.03%,https://www.youtube.com/watch?v=wujewK7E0dc,2022-03-31
46,37,Monastery,Ryan Castro & Feid,19,6809884,-0.07%,https://www.youtube.com/watch?v=EOkCOYrPEsU,2022-03-31
47,48,EL MAKINON (Official Video),KAROL G & Mariah Angeliq,36,6724657,-0.01%,https://www.youtube.com/watch?v=2jYEz66J_J4,2022-03-31
48,71,ARASAN DA,UZI,2,6661193,0.18%,https://www.youtube.com/watch?v=ZYYKHXqGgZg,2022-03-31
49,46,In Da Club International Version,50 Cent,28,6619651,-0.04%,https://www.youtube.com/watch?v=5qm8PH4xAss,2022-03-31
50,45,Ya No Somos Ni Seremos (Video Oficial),Christian Nodal,6,6559044,-0.06%,https://www.youtube.com/watch?v=jGhL1v594cU,2022-03-31
51,n/a,Excuses,Gurinder Gill & AP Dhillon & Intense,1,6555097,n/a,https://www.youtube.com/watch?v=vX2cDW8LUWk,2022-03-31
52,41,Vontade de Morder,Simone & Simaria & Zé Felipe,11,6537476,-0.08%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-03-31
53,51,Super Gremlin,Kodak Black,17,6489552,-0.03%,https://www.youtube.com/watch?v=kiB9qk4gnt4,2022-03-31
54,62,Reliya Re,Shilpi Raj,9,6429628,0.05%,https://www.youtube.com/watch?v=tnBjbnlTWKs,2022-03-31
55,38,"The Family Madrigal (From ""Encanto"")",Olga Merediz & Stephanie Beatriz & Encanto - Cast,16,6326997,-0.13%,https://www.youtube.com/watch?v=Yp5nPGWWMh4,2022-03-31
56,n/a,Be Alive,Beyoncé,1,6321248,n/a,https://www.youtube.com/watch?v=4aeDlZOD-B0,2022-03-31
57,n/a,BOMBÓN,Lil Jon & El Alfa & Daddy Yankee,1,6233790,n/a,https://www.youtube.com/watch?v=55sOQtVd2uA,2022-03-31
58,n/a,Komuram Bheemudho,Kaala Bhairava,1,6192650,n/a,https://www.youtube.com/watch?v=eiaVN1Wd1e4,2022-03-31
59,58,Mujeriego,Ryan Castro,10,6132982,-0.02%,https://www.youtube.com/watch?v=SAvVnVNSvDk,2022-03-31
60,61,Bloqueado,Gusttavo Lima,12,6131191,-0.01%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-03-31
61,52,Tillu Anna DJ Pedithe,Ram Miriyala,8,6119925,-0.08%,https://www.youtube.com/watch?v=I8c0-NEBqL0,2022-03-31
62,33,Naach Re Patarki 2.0 - Club Mix,Arvind Akela Kallu & Shilpi Raj & Rahul Kumar Mahato,6,6111651,-0.22%,https://www.youtube.com/watch?v=obLXVRO_DJU,2022-03-31
63,44,Medallo,Lenny Tavárez & Blessd & Justin Quiles,20,6062915,-0.13%,https://www.youtube.com/watch?v=hMhR6T7EEfQ,2022-03-31
64,n/a,HOT,Pitbull & Daddy Yankee,1,6054441,n/a,https://www.youtube.com/watch?v=B5PLNv4Nc4o,2022-03-31
65,53,Mal Feito,Marília Mendonça & Hugo & Guilherme,11,5989783,-0.1%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-03-31
66,36,#Arvind Akela Kallu | नाच रे पतरकी | Neha Singh | Naach re Patarki | #Shilpi Raj | New Bhojpuri Song,Prashant Kumar & Arvind Akela Kallu & Shilpi Raj,13,5955761,-0.22%,https://www.youtube.com/watch?v=OKic_gFagSs,2022-03-31
67,n/a,Leylim Yar,Canbay & Wolker,1,5857173,n/a,https://www.youtube.com/watch?v=DOuWjI5qABk,2022-03-31
68,n/a,Naatu Naatu Lyrical (Telugu),Rahul Sipligunj & Kaala Bhairava,7,5810369,n/a,https://www.youtube.com/watch?v=Gt9WzC4WDEA,2022-03-31
69,57,O Antava Song | Pushpa Songs Telugu | Allu Arjun Samantha | DSP | Sukumar | Indravathi Chauhan,Aditya Music Playback,15,5758538,-0.1%,https://www.youtube.com/watch?v=EEqq0_Etuos,2022-03-31
70,70,Depende,Dj Guuga,10,5742545,0.01%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-03-31
71,29,Residente: Bzrp Music Sessions Vol. 49,Bizarrap & Residente,5,5732673,-0.3%,https://www.youtube.com/watch?v=HO73gUhiYe0,2022-03-31
72,n/a,WILDSIDE,Red Velvet,1,5697356,n/a,https://www.youtube.com/watch?v=xGr53sCo62c,2022-03-31
73,67,Dhokha,Manan Bhardwaj & Arijit Singh,7,5675956,-0.04%,https://www.youtube.com/watch?v=2JBYnvUlAEc,2022-03-31
74,56,Still D.R.E.,Dr. Dre,7,5663307,-0.12%,https://www.youtube.com/watch?v=_CL6n0FJZpk,2022-03-31
75,n/a,Tal vez,Paulo Londra,21,5636363,n/a,https://www.youtube.com/watch?v=NPpELzyP4rw,2022-03-31
76,63,Without Me MTV Version,Eminem,12,5592971,-0.08%,https://www.youtube.com/watch?v=YVkUvmDQ3HY,2022-03-31
77,n/a,Te Veo Bailar,Wisin & Baby Rasta & Gringo & DJ Nelson,1,5504170,n/a,https://www.youtube.com/watch?v=qHww2qf9NAc,2022-03-31
78,59,Matkhafesh Yamma,Ali Loka,5,5471062,-0.12%,https://www.youtube.com/watch?v=0BdvRRW_FQA,2022-03-31
