Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,2,Tití me preguntó,Bad Bunny,4,38479206,-0.05%,https://www.youtube.com/watch?v=Cr8K88UcO0s,2022-06-23
2,3,Te Felicito,Shakira & Rauw Alejandro,9,32621093,-0.17%,https://www.youtube.com/watch?v=4I25nV9hXGA,2022-06-23
3,5,PROVENZA,KAROL G,9,23025340,0.02%,https://www.youtube.com/watch?v=ca48oMV59LU,2022-06-23
4,4,Me Porto Bonito  (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,7,22134271,-0.18%,https://www.youtube.com/watch?v=xn21hH7kyx8,2022-06-23
5,6,295 (Official Audio) | Sidhu Moose Wala | The Kidd | Moosetape,Sidhu Moose Wala,9,17632028,-0.2%,https://www.youtube.com/watch?v=n_FCrCQ6-bA,2022-06-23
6,25,Vì Mẹ Anh Bắt Chia Tay,Karik & Châu Đăng Khoa & Miu Lê,2,17592905,0.71%,https://www.youtube.com/watch?v=S7ElVoYZN0g,2022-06-23
7,n/a,Me porto bonito,Bad Bunny,1,17327862,n/a,https://www.youtube.com/watch?v=saGYMhApaH8,2022-06-23
8,9,Arabic Kuthu - Video Song | Beast | Thalapathy Vijay | Pooja Hegde | Sun Pictures | Nelson | Anirudh,Sun TV,3,16743194,-0.03%,https://www.youtube.com/watch?v=KUN5Uf9mObQ,2022-06-23
9,11,Gypsy,GD Kaur & Shine & Dinesh Golan,4,15699437,0.07%,https://www.youtube.com/watch?v=cZSrWoBMSrg,2022-06-23
10,1,Yet To Come (The Most Beautiful Moment),BTS,2,15271556,-0.83%,https://www.youtube.com/watch?v=kXpOEzNZ8hQ,2022-06-23
11,7,#Video | ले ले आई कोका कोला | #Khesari Lal Yadav #Shilpi Raj | Le Le Aayi Coca Cola | Chaita Geet,Pawan Singh & Khesari Lal Yadav,10,15082924,-0.24%,https://www.youtube.com/watch?v=ffaqVXuWO9o,2022-06-23
12,n/a,DON'T YOU WORRY (Official Music Video),Shakira & Black Eyed Peas & David Guetta,1,13913888,n/a,https://www.youtube.com/watch?v=me19SUmWu2s,2022-06-23
13,10,Min Awel Dekika,Elissa & Saad Lamjarred,7,13395496,-0.19%,https://www.youtube.com/watch?v=O--o-O-ABBw,2022-06-23
14,n/a,Bandido,MC Mari & Zé Felipe,1,13056531,n/a,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-06-23
15,12,That That,PSY,8,12205388,-0.15%,https://www.youtube.com/watch?v=8dJyRm2jJ-U,2022-06-23
16,n/a,SYL,Sidhu Moose Wala,1,12196774,n/a,https://www.youtube.com/watch?v=pcT44dbu7es,2022-06-23
17,n/a,ULTRA SOLO (Remix),De La Ghetto & Pailita & Polimá Westcoast & Feid & Paloma Mami,1,12106663,n/a,https://www.youtube.com/watch?v=Qm_tHR9iwGo,2022-06-23
18,8,The Last Ride,Sidhu Moose Wala & Wazir Patar,5,12106599,-0.38%,https://www.youtube.com/watch?v=6xoB4ZiKKn0,2022-06-23
19,14,Nathuniya,Khesari Lal Yadav & Priyanka Singh,8,12009058,-0.12%,https://www.youtube.com/watch?v=iYRqAc10Ii8,2022-06-23
20,18,Envolver,Anitta,17,11842436,-0.03%,https://www.youtube.com/watch?v=hFCjGiawJi4,2022-06-23
21,17,As It Was,Harry Styles,12,11791344,-0.03%,https://www.youtube.com/watch?v=H5v3kku4y6Q,2022-06-23
22,65,Guiding Light,Paul van Dyk & Sue McLaren,12,11363007,0.9%,https://www.youtube.com/watch?v=0t6U9iRgD7k,2022-06-23
23,24,Moscow Mule,Bad Bunny,7,11022420,0.07%,https://www.youtube.com/watch?v=p38WgakuYDo,2022-06-23
24,13,Villano Antillano: Bzrp Music Sessions Vol. 51,Bizarrap & Villano Antillano,3,10644018,-0.22%,https://www.youtube.com/watch?v=wvz97-lNPH8,2022-06-23
25,21,Bhool Bhulaiyaa 2 Title Track,Mellow D & Neeraj Shridhar & Bob,8,9813870,-0.13%,https://www.youtube.com/watch?v=J1rOfVst-EQ,2022-06-23
26,19,Ojitos Lindos,Bad Bunny & Bomba Estéreo,7,9791929,-0.14%,https://www.youtube.com/watch?v=10EX-_h4pYc,2022-06-23
27,n/a,Falling Back (Extended Version),Drake,1,9572558,n/a,https://www.youtube.com/watch?v=sOreUnGoIMg,2022-06-23
28,n/a,So High,Sidhu Moose Wala,1,9525045,n/a,https://www.youtube.com/watch?v=GgmFC8y8q3k,2022-06-23
29,29,Tak Ingin Usai (Official Lyric Video),Keisya Levronka,3,9396145,0.08%,https://www.youtube.com/watch?v=FB1YNEOspyA,2022-06-23
30,15,Levels,Sidhu Moose Wala,4,8943938,-0.28%,https://www.youtube.com/watch?v=tpFljbJxZiw,2022-06-23
31,26,Pushpa: Saami Saami,Allu Arjun & Rashmika Mandanna,24,8738428,-0.06%,https://www.youtube.com/watch?v=vdY5SFZBgnk,2022-06-23
32,28,Bullet Song,Silambarasan TR & Haripriya,5,8618768,-0.03%,https://www.youtube.com/watch?v=RlA3WiUtXio,2022-06-23
33,27,Termina Comigo Antes (Ao Vivo em Porto Alegre),Gusttavo Lima,12,8534242,-0.07%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-06-23
34,30,Bullet Song,Haripriya & Silambarasan TR,9,8062376,-0.06%,https://www.youtube.com/watch?v=f0T6jFsWMak,2022-06-23
35,38,Jordan,Ryan Castro,19,8047295,0.01%,https://www.youtube.com/watch?v=oFKu8wm7RcA,2022-06-23
36,31,VIKRAM – Pathala Pathala Lyric | Kamal Haasan | Vijay Sethupathi | Lokesh Kanagaraj | Anirudh,Sony Music South,7,7950264,-0.04%,https://www.youtube.com/watch?v=9VpeTiz81gc,2022-06-23
37,n/a,Heart Attack,Noizy,1,7839629,n/a,https://www.youtube.com/watch?v=qhrdHl1LZH4,2022-06-23
38,42,La Llevo Al Cielo (Official Video),Anuel AA & Chris Jedi & Ñengo Flow & Chencho Corleone,5,7752887,0.06%,https://www.youtube.com/watch?v=GEy_XBp-hLo,2022-06-23
39,n/a,BREAK MY SOUL (Official Lyric Video),Beyoncé,1,7675539,n/a,https://www.youtube.com/watch?v=yjki-9Pthh0,2022-06-23
40,n/a,PARE,Butrint Imeri & Tayna & Mozzik,1,7533994,n/a,https://www.youtube.com/watch?v=0yA6NNW3BPk,2022-06-23
41,33,Har Har Shambhu Shiv Mahadeva,Jeetu Sharma,3,7304291,-0.11%,https://www.youtube.com/watch?v=aRoMeNr1mMQ,2022-06-23
42,n/a,In Da Club International Version,50 Cent,30,7268798,n/a,https://www.youtube.com/watch?v=5qm8PH4xAss,2022-06-23
43,44,Suavemente,ISKIDO GANG & Soolking,12,7214338,0.02%,https://www.youtube.com/watch?v=sLfqapBIqME,2022-06-23
44,45,Running Up That Hill,Kate Bush,4,7198892,0.03%,https://www.youtube.com/watch?v=wp43OdtAAkM,2022-06-23
45,39,Cnv Sound Vol. Special 5k,Pure Negga,7,7159584,-0.1%,https://www.youtube.com/watch?v=MIXqIFY51P4,2022-06-23
46,32,Disco Maghreb (Official Music Video),DJ Snake,4,7139912,-0.13%,https://www.youtube.com/watch?v=M7xQEdKHtv0,2022-06-23
47,36,Efecto (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,5,7048945,-0.13%,https://www.youtube.com/watch?v=Nk8C9FdCdJQ,2022-06-23
48,90,Balanço Da Rede (Ao Vivo),Matheus Fernandes,8,7005597,0.33%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-06-23
49,37,Rastgele,Kurtuluş Kuş & Mustafa Ceceli & Burak Bulut,4,6954989,-0.12%,https://www.youtube.com/watch?v=rvdwMJDpeuY,2022-06-23
50,n/a,You're Welcome,Dwayne Johnson,32,6822119,n/a,https://www.youtube.com/watch?v=79DijItQXMM,2022-06-23
51,43,Pistal Te Mehnga Lehnga,Vinod Sorkhi,6,6793667,-0.06%,https://www.youtube.com/watch?v=2wQHF4JgYmE,2022-06-23
