Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,X,Nicky Jam & J Balvin,5,73241827,-0.17%,https://www.youtube.com/watch?v=_I_D_8Z4sJE,2018-04-05
2,2,God's Plan,Drake,7,41578651,-0.18%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,2018-04-05
3,3,Dura,Daddy Yankee,11,41445955,-0.09%,https://www.youtube.com/watch?v=sGIm0-dQd8M,2018-04-05
4,4,El Farsante (Remix),Ozuna & Romeo Santos,10,36032307,-0.19%,https://www.youtube.com/watch?v=wfWkmURBNv8,2018-04-05
5,6,Échame La Culpa,Luis Fonsi & Demi Lovato,20,33094383,-0.09%,https://www.youtube.com/watch?v=TyHvyGVs42U,2018-04-05
6,5,Amorfoda,Bad Bunny,8,30351308,-0.25%,https://www.youtube.com/watch?v=kLpH1nSLJSs,2018-04-05
7,9,Corazón (Official Video),Maluma,17,27822133,-0.12%,https://www.youtube.com/watch?v=GmHrjFIWl6U,2018-04-05
8,7,Freaky Friday,Lil Dicky & Chris Brown,3,26937839,-0.24%,https://www.youtube.com/watch?v=aZla1ttZHaw,2018-04-05
9,10,Me Niego,Reik,7,26098495,-0.09%,https://www.youtube.com/watch?v=JyqD_zfXfi8,2018-04-05
10,8,Déjala Que Vuelva,Piso 21,24,25910424,-0.21%,https://www.youtube.com/watch?v=y7d9VLRO3vc,2018-04-05
11,n/a,Por Perro ft. Luis Figueroa Lary Over (Official Video),Sebastián Yatra,1,25525773,n/a,https://www.youtube.com/watch?v=WtE011iVx1Q,2018-04-05
12,n/a,Amor de Verdade,Mc Rita & MC Kekel & MC Rita,1,25009981,n/a,https://www.youtube.com/watch?v=8_oE-iQeFeE,2018-04-05
13,12,Perfect,Ed Sheeran,22,24939833,-0.09%,https://www.youtube.com/watch?v=2Vv-BfVoq4g,2018-04-05
14,14,Bella (Remix),Maluma & Wolfine,10,23832252,-0.05%,https://www.youtube.com/watch?v=jjuSfhYiup8,2018-04-05
15,13,Havana (Audio),Camila Cabello,27,23349772,-0.09%,https://www.youtube.com/watch?v=HCjNJDNzw8Y,2018-04-05
16,15,El Préstamo (Official Video),Maluma,4,22351443,-0.1%,https://www.youtube.com/watch?v=-BQJo3vK8O8,2018-04-05
17,11,Síguelo bailando,Ozuna,21,22191288,-0.21%,https://www.youtube.com/watch?v=Dvpd9_5vuks,2018-04-05
18,21,Psycho,Post Malone,2,21392026,0.15%,https://www.youtube.com/watch?v=au2n7VVGv_c,2018-04-05
19,19,Walk It Talk It,Migos,3,21116539,0.13%,https://www.youtube.com/watch?v=fGqdIPer-ms,2018-04-05
20,38,Dime,Revol & Bad Bunny & J Balvin,2,17894612,0.39%,https://www.youtube.com/watch?v=DqSBQqj94JU,2018-04-05
21,20,Delicate,Taylor Swift,4,17224976,-0.08%,https://www.youtube.com/watch?v=tCXGJQYZ9JA,2018-04-05
22,24,Largado Às Traças,Zé Neto & Cristiano,6,16538101,-0.01%,https://www.youtube.com/watch?v=WcTRQXtXJPs,2018-04-05
23,22,Loca Remix,KHEA & Bad Bunny & Cazzu & Duki,3,16177419,-0.06%,https://www.youtube.com/watch?v=oSDbm37N-l0,2018-04-05
24,18,Meant to Be,Bebe Rexha,22,15710977,-0.16%,https://www.youtube.com/watch?v=zDo0H8Fm7d0,2018-04-05
25,25,New Rules,Dua Lipa,39,15247835,-0.08%,https://www.youtube.com/watch?v=k2qgadSvNyU,2018-04-05
26,26,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,33,14389748,-0.1%,https://www.youtube.com/watch?v=VqEbCxg2bNI,2018-04-05
27,27,"Lahore (From ""Lahore"")",Guru Randhawa,16,13732180,-0.12%,https://www.youtube.com/watch?v=dZ0fwJojhrs,2018-04-05
28,23,Esperándote,Manuel Turizo,17,13316428,-0.2%,https://www.youtube.com/watch?v=ooHII67__Sg,2018-04-05
29,28,Fuleragem,MC WM,4,13316288,-0.13%,https://www.youtube.com/watch?v=4N2iMmHcHys,2018-04-05
30,29,Solita,DJ Luian & Almighty & Mambo Kingz,11,13050255,-0.14%,https://www.youtube.com/watch?v=j-sz8M8gc6U,2018-04-05
31,31,IDGAF,Dua Lipa,12,12728805,-0.1%,https://www.youtube.com/watch?v=Mgfe5tIwOj0,2018-04-05
32,32,Joga O Bum Bum Tam Tam,MC Fioti,49,12728572,-0.1%,https://www.youtube.com/watch?v=_P7S2lKif-A,2018-04-05
33,35,Thunder,Imagine Dragons,39,12653176,-0.06%,https://www.youtube.com/watch?v=fKopy74weus,2018-04-05
34,34,No Hay Nadie Más (Official Video),Sebastián Yatra,10,12594923,-0.08%,https://www.youtube.com/watch?v=sD9_l3oDOag,2018-04-05
35,n/a,Ghar Se Nikalte Hi,Armaan Malik & Rajesh Roshan,1,11776281,n/a,https://www.youtube.com/watch?v=f1qz8vn3XbY,2018-04-05
36,44,Daru Badnaam,Pratik Studio & Kamal Kahlon & Param Singh,5,11715695,-0.01%,https://www.youtube.com/watch?v=bzW9fmwcmG4,2018-04-05
37,43,Apelido Carinhoso,Gusttavo Lima,13,11707595,-0.03%,https://www.youtube.com/watch?v=B9Mi1-qn_PQ,2018-04-05
38,47,Plug Walk,Rich The Kid,3,11572038,0.02%,https://www.youtube.com/watch?v=ToY6sjSV8h8,2018-04-05
39,53,Sobredosis (Official Video),Romeo Santos,6,11406053,0.12%,https://www.youtube.com/watch?v=JNkTNAknE4I,2018-04-05
40,30,Dime si te acuerdas,Bad Bunny,5,11221897,-0.24%,https://www.youtube.com/watch?v=qS6F64mj6LY,2018-04-05
41,41,Gucci Gang,Lil Pump,24,11216493,-0.09%,https://www.youtube.com/watch?v=4LfJnj66HVQ,2018-04-05
42,16,Bipolar (Video Oficial),Ozuna & Chris Jedi & Brytiago,4,11115070,-0.45%,https://www.youtube.com/watch?v=y0PMqR7IbAQ,2018-04-05
43,85,Powerglide,Rae Sremmurd,2,11091572,0.39%,https://www.youtube.com/watch?v=95Rzsn-zjr0,2018-04-05
44,36,Te Amo,Piso 21,3,10997820,-0.17%,https://www.youtube.com/watch?v=nP8ZVJxiJlU,2018-04-05
45,33,Bom Diggy,Jasmin Walia & Zack Knight,8,10864239,-0.22%,https://www.youtube.com/watch?v=yIIGQB6EMAM,2018-04-05
46,59,Gangamma Rangamma,M.M.Manasi,4,10611719,0.1%,https://www.youtube.com/watch?v=ZG1Su0QwPYs,2018-04-05
47,45,Finesse (remix),Bruno Mars,14,10499799,-0.1%,https://www.youtube.com/watch?v=LsoLEjrDogU,2018-04-05
48,54,Noor Alzain And Mohamed Alfaras - Ydk Blras (Offical Video) | نور الزين ومحمد الفارس - يدك بالراس,Noor Alzeen,4,10443676,0.03%,https://www.youtube.com/watch?v=zNOgNM0cRKI,2018-04-05
49,46,Mayores (Official Video),Becky G,38,10425191,-0.1%,https://www.youtube.com/watch?v=GMFewiplIbw,2018-04-05
50,48,Say Something (Official Video),Justin Timberlake,10,10347352,-0.09%,https://www.youtube.com/watch?v=8MPbR6Cbwi4,2018-04-05
51,17,EL BAÑO,Enrique Iglesias,12,9888871,-0.48%,https://www.youtube.com/watch?v=gu9_m0vm7fM,2018-04-05
52,39,21 Savage Offset Metro Boomin - Ric Flair Drip (Official Music Video),21 Savage,5,9863543,-0.22%,https://www.youtube.com/watch?v=LPTlvQ1Zet0,2018-04-05
53,78,FRIENDS,Anne-Marie,2,9809147,0.15%,https://www.youtube.com/watch?v=X-x7eZOdBFM,2018-04-05
54,49,Envolvimento,MC Loma e as Gêmeas Lacração,8,9556554,-0.13%,https://www.youtube.com/watch?v=lgJOJAmXlBw,2018-04-05
55,65,A culpa é dele,Maiara & Maraisa & Marília Mendonça,4,9329139,-0.01%,https://www.youtube.com/watch?v=0fHKqwhdNJ8,2018-04-05
56,55,These Days,Rudimental,6,9054751,-0.09%,https://www.youtube.com/watch?v=pjTj-_55WZ8,2018-04-05
57,97,Mi Gna,GIMS,2,8934061,0.22%,https://www.youtube.com/watch?v=NtccSFkAhrM,2018-04-05
58,64,Ausência (acústico),Marília Mendonça,3,8481347,-0.11%,https://www.youtube.com/watch?v=wje4zcGgSqA,2018-04-05
59,61,Trending Nakhra,Amrit Maan,3,8474733,-0.12%,https://www.youtube.com/watch?v=nqzIQh2D_Es,2018-04-05
60,66,Downtown,Anitta & J Balvin,17,8397572,-0.1%,https://www.youtube.com/watch?v=wlS6Ix7mA0w,2018-04-05
61,n/a,Balenciaga,Ele A El Dominio & Ozuna,1,8344762,n/a,https://www.youtube.com/watch?v=pd7AMDMotyM,2018-04-05
62,56,Más Fuerte,Greeicy,5,8337408,-0.16%,https://www.youtube.com/watch?v=EedPfUeBf2A,2018-04-05
63,68,Mad Love,Sean Paul,2,8281123,-0.09%,https://www.youtube.com/watch?v=mlf4bidp2yc,2018-04-05
64,37,A Partir De Hoy,David Bisbal & Sebastián Yatra,3,8276803,-0.38%,https://www.youtube.com/watch?v=Iwz4P8HfGVM,2018-04-05
65,90,"Patola (From ""Blackmail"")",Guru Randhawa,2,8258224,0.09%,https://www.youtube.com/watch?v=FsnYzwQm3gM,2018-04-05
66,63,Dil Chori,Simar Kaur & Ishers & Yo Yo Honey Singh,15,8192779,-0.14%,https://www.youtube.com/watch?v=xWi8nDUjHGA,2018-04-05
67,n/a,Ngắm Hoa Lệ Rơi - Châu Khải Phong | Official Lyric Video,Chau Khai Phong,1,8180611,n/a,https://www.youtube.com/watch?v=SItFPrgEITM,2018-04-05
68,70,Öyle Kolaysa,Mabel Matiz,7,8126572,-0.07%,https://www.youtube.com/watch?v=qUsE49lUQUY,2018-04-05
69,76,Anti Amor (Ao Vivo),Jorge & Mateus & Gustavo Mioto,4,8106370,-0.05%,https://www.youtube.com/watch?v=YXSFMV8JOF4,2018-04-05
70,n/a,L'Algérino - Va Bene  [Clip Officiel B.O Taxi 5 ],L'Algérino,1,8016904,n/a,https://www.youtube.com/watch?v=ZMwbswoUdP8,2018-04-05
71,93,Te Voy a Amar,Andrés Cepeda,3,7914833,0.06%,https://www.youtube.com/watch?v=UPq1gr6YXCE,2018-04-05
72,n/a,"O Saathi (From ""Baaghi 2"")",Manoj Bajpayee & Atif Aslam,1,7871841,n/a,https://www.youtube.com/watch?v=OX-h7MtkeOI,2018-04-05
73,74,Tonta,R.K.M & Ken-Y,8,7868356,-0.08%,https://www.youtube.com/watch?v=VTzD0jNdrmo,2018-04-05
74,n/a,Propaganda (Ao Vivo),Jorge & Mateus,1,7861245,n/a,https://www.youtube.com/watch?v=mQr7XemLs8s,2018-04-05
75,82,3 Daqat,Abu & Haifa Wehbe,14,7835688,-0.05%,https://www.youtube.com/watch?v=ejvpVhvKesM,2018-04-05
76,71,Amantes de una Noche,Bad Bunny & Natti Natasha,12,7695450,-0.11%,https://www.youtube.com/watch?v=FVRPzwb1Vi4,2018-04-05
77,n/a,Be Careful,Cardi B,1,7675355,n/a,https://www.youtube.com/watch?v=l3uG4T8pJfw,2018-04-05
78,n/a,Lartiste – Mafiosa feat. Caroliina (Clip Officiel),Lartiste,1,7664708,n/a,https://www.youtube.com/watch?v=S6baf8BqKDI,2018-04-05
79,n/a,NA,NA,1,7653907,n/a,n/a,2018-04-05
80,94,1 2 3,Sofia Reyes,2,7593253,0.02%,https://www.youtube.com/watch?v=p03TIGqEc8o,2018-04-05
81,80,Ta Tum Tum,MC Kevinho & Simone & Simaria,10,7580453,-0.1%,https://www.youtube.com/watch?v=xzvZfUwy2LQ,2018-04-05
82,62,Ghazali,Saad Lamjarred,4,7572446,-0.2%,https://www.youtube.com/watch?v=lhnmVSB-Rxc,2018-04-05
83,n/a,To My Love (Tainy Remix),Bomba Estéreo,1,7443550,n/a,https://www.youtube.com/watch?v=FWpHN9v8uu8,2018-04-05
84,81,Sick Boy (Official Video),The Chainsmokers,11,7438201,-0.1%,https://www.youtube.com/watch?v=eACohWVwTOc,2018-04-05
85,75,Dembow,Danny Ocean,5,7383706,-0.14%,https://www.youtube.com/watch?v=kQKGI24aydk,2018-04-05
86,58,Estranho,Marília Mendonça,2,7381311,-0.24%,https://www.youtube.com/watch?v=2WsIm6pNlI4,2018-04-05
87,n/a,Soniye dil nayi,Ankit Tiwari & Shruti Pathak,1,7274331,n/a,https://www.youtube.com/watch?v=-NIlDHUYiRw,2018-04-05
88,n/a,Tere Thumke Sapna Choudhary,Saumya Upadhyay & Khushboo Jain & Gunwant Sen,1,7090345,n/a,https://www.youtube.com/watch?v=hXMyZrgnCII,2018-04-05
89,84,Beni İyi Sanıyorlar,Oğuzhan Koç,6,7089855,-0.12%,https://www.youtube.com/watch?v=4-sxRVTKNUU,2018-04-05
90,n/a,DNA,BTS,16,7083073,n/a,https://www.youtube.com/watch?v=MBdVXkSdhwU,2018-04-05
91,91,Bboom Bboom (instrumental),MOMOLAND,2,7051405,-0.07%,https://www.youtube.com/watch?v=JQGRg8XBnB4,2018-04-05
92,n/a,Paradise,Coldplay,3,7005824,n/a,https://www.youtube.com/watch?v=1G4isv_Fylg,2018-04-05
93,89,rockstar (Official Music Video),Post Malone ft. 21 Savage,18,6943864,-0.1%,https://www.youtube.com/watch?v=UceaB4D0jpo,2018-04-05
94,n/a,Baby,Justin Bieber,5,6917819,n/a,https://www.youtube.com/watch?v=kffacxfA7G4,2018-04-05
95,69,Never Be the Same,Camila Cabello,4,6896880,-0.22%,https://www.youtube.com/watch?v=Ph54wQG8ynk,2018-04-05
96,67,Quiero repetir,Ozuna,15,6829027,-0.26%,https://www.youtube.com/watch?v=zkOU-IBGsR0,2018-04-05
97,n/a,ห่อหมกฮวกไปฝากป้า,Lumplend Wongsakorn,1,6813424,n/a,https://www.youtube.com/watch?v=L-rhGB5x8qQ,2018-04-05
