Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,n/a,WAP,Cardi B,1,82275080,n/a,https://www.youtube.com/watch?v=hsm4poTWjMs,2020-08-13
2,1,"Agua (Music From ""Sponge On The Run"" Movie)",Tainy & J Balvin,5,41226715,-0.01%,https://www.youtube.com/watch?v=QLz9VaksClg,2020-08-13
3,3,Life Is Good (Official Music Video),Future,31,33202275,-0.03%,https://www.youtube.com/watch?v=l0U7SxXHkPY,2020-08-13
4,5,Tattoo (Remix with Camilo),Rauw Alejandro & Camilo,5,28608095,-0.06%,https://www.youtube.com/watch?v=wJT-YKmlWJc,2020-08-13
5,4,Feelings,Sumit Goswami,4,28559477,-0.06%,https://www.youtube.com/watch?v=AZmAgoir1Tc,2020-08-13
6,7,How You Like That,BLACKPINK,7,26629103,-0.04%,https://www.youtube.com/watch?v=ioNng23DkIM,2020-08-13
7,2,PUNANI,6ix9ine,2,20987925,-0.39%,https://www.youtube.com/watch?v=AY1bA23hGMU,2020-08-13
8,8,La Jeepeta Remix (Lyric Video),Nio Garcia & Brray & Juanka & Anuel AA & Myke Towers,16,19338457,-0.06%,https://www.youtube.com/watch?v=yErttA9tEro,2020-08-13
9,n/a,Dil Ko Maine Di Kasam,Arijit Singh,1,16047176,n/a,https://www.youtube.com/watch?v=UsMRgnTcchY,2020-08-13
10,9,Mamichula,Trueno & Nicki Nicole & Bizarrap,3,16033066,-0.16%,https://www.youtube.com/watch?v=NUteQQCMa_k,2020-08-13
11,18,Ay DiOs Mío! (Official Video),KAROL G,5,15654168,0.18%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw,2020-08-13
12,13,Khairiyat (Bonus Track),Arijit Singh,9,15195065,0.04%,https://www.youtube.com/watch?v=hoNb6HuNmU0,2020-08-13
13,12,Dance Monkey,Tones And I,48,14710388,-0.02%,https://www.youtube.com/watch?v=q0hyYWKXF0Q,2020-08-13
