Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,n/a,ON,BTS,1,97886368,n/a,https://www.youtube.com/watch?v=gwMa6gpoE9I,2020-02-27
2,1,Tusa (Official Video),KAROL G & Nicki Minaj,16,36646027,-0.1%,https://www.youtube.com/watch?v=tbneQDc2H3I,2020-02-27
3,3,Life Is Good (Official Music Video),Future,7,32218348,0.16%,https://www.youtube.com/watch?v=l0U7SxXHkPY,2020-02-27
4,n/a,Moto | Diler Kharkiya | Ajay Hooda | | Anjali Raghav | Latest Haryanvi Song 2020,DIL Music,1,29851424,n/a,https://www.youtube.com/watch?v=tJGBVigwPlU,2020-02-27
5,2,Dance Monkey,Tones And I,24,28338045,-0.01%,https://www.youtube.com/watch?v=q0hyYWKXF0Q,2020-02-27
6,9,Sigues Con El,Dimelo Flow & Arcángel,11,22090383,0.02%,https://www.youtube.com/watch?v=VRUjdlCynU0,2020-02-27
7,n/a,ON,BTS,1,20818803,n/a,https://www.youtube.com/watch?v=mPVDGOVjRQ0,2020-02-27
8,6,Yummy (Official Video),Justin Bieber,8,20732371,-0.07%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8,2020-02-27
9,8,Machayenge,Emiway Bantai,2,18447820,-0.16%,https://www.youtube.com/watch?v=zaCbuB3w0kg,2020-02-27
10,12,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,32,17050111,0.02%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,2020-02-27
11,7,Hello Koun,Ritesh Pandey Official,11,16950968,-0.23%,https://www.youtube.com/watch?v=0hGGaVCCqPk,2020-02-27
12,13,Black Eyed Peas J Balvin - RITMO (Bad Boys For Life) (Official Music Video),J Balvin & Black Eyed Peas,20,16806531,0.01%,https://www.youtube.com/watch?v=EzKkl64rRbM,2020-02-27
13,11,Illegal Weapon 2.0,Garry Sandhu & Jasmine Sandlas,3,15983722,-0.07%,https://www.youtube.com/watch?v=GOkJguI8kYc,2020-02-27
14,15,Lehanga,Jass Manak,29,15407407,-0.03%,https://www.youtube.com/watch?v=RKioDWlajvo,2020-02-27
15,43,Diosa,Myke Towers,3,14583807,0.53%,https://www.youtube.com/watch?v=2_f5Os7mKqM,2020-02-27
16,19,Goa Beach,Tony Kakkar & Neha Kakkar,3,14417725,0.08%,https://www.youtube.com/watch?v=n5WnMJ0J6qA,2020-02-27
17,21,Con Altura (Official Video),ROSALÍA,48,14040333,0.09%,https://www.youtube.com/watch?v=p7bfOZek9t4,2020-02-27
18,26,Tudo Ok,Thiaguinho MT &  JS o Mão de Ouro,7,13528304,0.19%,https://www.youtube.com/watch?v=n_Pf1BgHS7c,2020-02-27
19,17,The Box,Roddy Ricch,10,13333742,-0.06%,https://www.youtube.com/watch?v=uLHqpjW3aDs,2020-02-27
20,20,Que Tire Pa Lante,Daddy Yankee,19,13208940,0.01%,https://www.youtube.com/watch?v=fAgvmh1jaCE,2020-02-27
21,4,BAD BUNNY x SECH - IGNORANTES | YHLQMDLG (Video Oficial),Bad Bunny,2,12302034,-0.49%,https://www.youtube.com/watch?v=PC0GvyEIXfk,2020-02-27
22,18,Illegal Weapon 2.0,Garry Sandhu & Jasmine Sandlas,8,12168684,-0.13%,https://www.youtube.com/watch?v=zjMtaw2mrrc,2020-02-27
23,27,Medusa (Official Video),Jhay Cortez,4,11659437,0.03%,https://www.youtube.com/watch?v=DPIv7awI-1A,2020-02-27
24,47,Hola (Remix),Lenny Tavárez & Dalex & Chencho Corleone,11,11355407,0.24%,https://www.youtube.com/watch?v=nlXqp3FVrq8,2020-02-27
25,n/a,#AlaVaikunthapurramuloo - ButtaBomma Full Video Song (4K) | Allu Arjun | Thaman S | Armaan Malik,Aditya Music,1,11168051,n/a,https://www.youtube.com/watch?v=2mDCVzruYzQ,2020-02-27
26,23,Muqabla,T-Series,8,11130422,-0.11%,https://www.youtube.com/watch?v=IVMquMDUQZY,2020-02-27
27,29,Meleğim,Dadju & Soolking,3,10919562,-0.01%,https://www.youtube.com/watch?v=ReK5Z0RCbSY,2020-02-27
28,49,Sentadão,PEDRO SAMPAIO & Felipe Original & JS o Mão de Ouro,12,10677604,0.2%,https://www.youtube.com/watch?v=xHhQ9nVKra0,2020-02-27
29,39,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,41,10674669,0.09%,https://www.youtube.com/watch?v=w2C6RhQBYlg,2020-02-27
30,24,Keii,Anuel AA,3,10439758,-0.14%,https://www.youtube.com/watch?v=FXeDN7sQk30,2020-02-27
31,35,Menghapus Jejakmu,Bunga Citra Lestari,2,10100291,0.01%,https://www.youtube.com/watch?v=SKV13bVJKJ4,2020-02-27
32,n/a,Kamariya Hila Rahi Hai,Pawan Singh & Payal Dev,1,10057205,n/a,https://www.youtube.com/watch?v=kayOHvB-vX8,2020-02-27
33,58,Adicto (Official Video),Tainy & Anuel AA & Ozuna,24,9876681,0.2%,https://www.youtube.com/watch?v=58u-zkDLNPg,2020-02-27
34,28,Call Kare Kya,Akshara Singh,2,9811015,-0.13%,https://www.youtube.com/watch?v=RcniM3ewEdE,2020-02-27
35,32,Garmi,Badshah & Neha Kakkar,8,9738984,-0.08%,https://www.youtube.com/watch?v=q_0uF80IZXM,2020-02-27
36,45,Old Town Road (Official Video),Lil Nas X,30,9668372,0.04%,https://www.youtube.com/watch?v=r7qovpFAGrQ,2020-02-27
37,30,Ramuloo Ramulaa,Anurag Kulkarni Mangli,18,9653728,-0.11%,https://www.youtube.com/watch?v=wFAj0pW6xX0,2020-02-27
38,25,#AlaVaikunthapurramuloo - Samajavaragamana Full Video Song (4K) | Allu Arjun | Trivikram | Thaman S,Aditya Music,2,9578021,-0.17%,https://www.youtube.com/watch?v=OCg6BWlAXSw,2020-02-27
39,33,"Surma Surma (From ""Surma Surma"")",Guru Randhawa & Jay Sean,2,9503635,-0.08%,https://www.youtube.com/watch?v=FW_3b5iPhIE,2020-02-27
40,41,Memories (Official Video),Maroon 5,21,9482560,-0.03%,https://www.youtube.com/watch?v=SlPhMPnQ58k,2020-02-27
41,16,Hơn Cả Yêu,Đức Phúc,3,9388712,-0.37%,https://www.youtube.com/watch?v=__kGJZ-kPno,2020-02-27
