Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,21,Hello Koun,Ritesh Pandey Official,2,47263443,2.65%,https://www.youtube.com/watch?v=0hGGaVCCqPk,2019-12-19
2,2,Dance Monkey,Tones And I,14,36073394,-0.19%,https://www.youtube.com/watch?v=q0hyYWKXF0Q,2019-12-19
3,1,Memories (Official Video),Maroon 5,11,31709597,-0.41%,https://www.youtube.com/watch?v=SlPhMPnQ58k,2019-12-19
4,4,Fantasias,Farruko & Rauw Alejandro,11,29273269,-0.01%,https://www.youtube.com/watch?v=8jwbnGrX7-c,2019-12-19
5,n/a,No seas Celoso,Kim Loaiza,1,25111803,n/a,https://www.youtube.com/watch?v=m-QxD0vuABM,2019-12-19
6,5,Tusa (Official Video),KAROL G & Nicki Minaj,6,23644862,0.04%,https://www.youtube.com/watch?v=tbneQDc2H3I,2019-12-19
7,8,Black Eyed Peas J Balvin - RITMO (Bad Boys For Life) (Official Music Video),J Balvin & Black Eyed Peas,10,21221709,-0.02%,https://www.youtube.com/watch?v=EzKkl64rRbM,2019-12-19
8,11,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,22,18828398,0%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,2019-12-19
9,9,Que Tire Pa Lante,Daddy Yankee,9,18418200,-0.07%,https://www.youtube.com/watch?v=fAgvmh1jaCE,2019-12-19
10,14,Lehanga,Jass Manak,19,16026309,-0.02%,https://www.youtube.com/watch?v=RKioDWlajvo,2019-12-19
11,15,Fantasias (Unplugged),Farruko & Rauw Alejandro,6,15944595,-0.03%,https://www.youtube.com/watch?v=_tQtfkce3Dc,2019-12-19
12,10,Yaad Piya Ki Aane Lagi,Neha Kakkar & Tanishk Bagchi,5,15719606,-0.19%,https://www.youtube.com/watch?v=eN6AYHAT8UM,2019-12-19
13,17,La Mejor Versión De Mi (Remix),Natti Natasha & Romeo Santos,11,15318971,0.03%,https://www.youtube.com/watch?v=R9rVapGCf2c,2019-12-19
