Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
1,1,Despacito,Luis Fonsi,39,67568563,-0.03%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,2017-10-12
2,2,Mi Gente (Official Video),J Balvin Willy William,15,60764191,-0.04%,https://www.youtube.com/watch?v=wnJ6LuUFpMo,2017-10-12
3,3,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,8,53429182,0.06%,https://www.youtube.com/watch?v=VqEbCxg2bNI,2017-10-12
4,4,Mayores (Official Video),Becky G,13,46817575,0.05%,https://www.youtube.com/watch?v=GMFewiplIbw,2017-10-12
5,7,New Rules,Dua Lipa,14,41201064,0.06%,https://www.youtube.com/watch?v=k2qgadSvNyU,2017-10-12
6,6,Look What You Made Me Do,Taylor Swift,7,39192521,-0.05%,https://www.youtube.com/watch?v=3tmd-ClpJxA,2017-10-12
7,5,Shape of You,Ed Sheeran,37,39168441,-0.07%,https://www.youtube.com/watch?v=JGwWNGJdvx8,2017-10-12
8,8,Vuelve,Bad Bunny & Daddy Yankee,2,35580037,-0.03%,https://www.youtube.com/watch?v=YxZXLWIx6ik,2017-10-12
9,13,Too Good At Goodbyes,Sam Smith,4,34111720,0.07%,https://www.youtube.com/watch?v=J_ub7Etch2U,2017-10-12
10,9,Báilame (Remix),Yandel & Bad Bunny & Nacho,9,33423612,-0.09%,https://www.youtube.com/watch?v=T7VewKI44rQ,2017-10-12
11,12,Dusk Till Dawn (Official Video),ZAYN,6,33287400,0.02%,https://www.youtube.com/watch?v=tt2k8PGm-TI,2017-10-12
12,11,Una Lady Como Tú,Manuel Turizo,17,32493332,-0.04%,https://www.youtube.com/watch?v=VYtJAuoZxcc,2017-10-12
13,10,Krippy Kush,Bad Bunny & Farruko & Rvssian,10,32024656,-0.09%,https://www.youtube.com/watch?v=j1_JW7An2l0,2017-10-12
14,34,Perfect,Ed Sheeran,3,29098342,0.69%,https://www.youtube.com/watch?v=iKzRIweSBLA,2017-10-12
15,14,Perro Fiel (Official Video),Shakira,4,28459395,-0.05%,https://www.youtube.com/watch?v=SHq2qrFUlGY,2017-10-12
16,17,Me Rehúso,Danny Ocean,25,25503891,0.06%,https://www.youtube.com/watch?v=aDCcLQto5BM,2017-10-12
17,n/a,Eminem Rips Donald Trump In BET Hip Hop Awards Freestyle Cypher,BETNetworks,1,25084373,n/a,https://www.youtube.com/watch?v=LunHybOKIjU,2017-10-12
18,16,Felices los 4 (Official Video),Maluma,25,24081406,-0.01%,https://www.youtube.com/watch?v=t_jHrUE5IOk,2017-10-12
19,15,El farsante,Ozuna,14,23889496,-0.05%,https://www.youtube.com/watch?v=6DRkf3kZMXw,2017-10-12
20,19,Escápate Conmigo (Official Video),Wisin,28,23216040,0.05%,https://www.youtube.com/watch?v=3X9wEwulYhk,2017-10-12
21,18,Bodak Yellow,Cardi B,11,22259865,0.01%,https://www.youtube.com/watch?v=PEGccV-NOm8,2017-10-12
22,26,Se preparó,Ozuna,9,21895594,0.14%,https://www.youtube.com/watch?v=KWGrPNqz4uc,2017-10-12
23,20,Robarte un Beso (Official Video),Sebastián Yatra & Carlos Vives,11,21827239,0.03%,https://www.youtube.com/watch?v=Mtau4v6foHA,2017-10-12
24,24,Ahora Me Llama (Official Video),KAROL G & Bad Bunny,17,20031862,0.01%,https://www.youtube.com/watch?v=4NNRy_Wz16k,2017-10-12
25,22,Si Tu Lo Dejas,Bad Bunny & Farruko & Nicky Jam & Rvssian & King Sosa,10,18305076,-0.1%,https://www.youtube.com/watch?v=1AlOPDR46Zg,2017-10-12
26,27,Swalla,Jason Derulo,30,18302950,-0.02%,https://www.youtube.com/watch?v=NGLxoKOvzu4,2017-10-12
27,29,Unforgettable,French Montana,26,18262975,-0.01%,https://www.youtube.com/watch?v=CTFtOOh47oo,2017-10-12
28,35,Bonita (Official Video),J Balvin & Jowell & Randy,13,17990588,0.04%,https://www.youtube.com/watch?v=SqpvOqRieYY,2017-10-12
29,28,Attention,Charlie Puth,25,17740953,-0.03%,https://www.youtube.com/watch?v=nfs8NYg7yQM,2017-10-12
30,23,Rockabye,Clean Bandit,48,17471439,-0.12%,https://www.youtube.com/watch?v=papuvlVeZg8,2017-10-12
31,31,Cásate Conmigo (Official Video),Silvestre Dangond & Nicky Jam,4,17190066,-0.05%,https://www.youtube.com/watch?v=cpN78ZjnCZY,2017-10-12
32,32,I'm the One,DJ Khaled,24,17189553,-0.04%,https://www.youtube.com/watch?v=weeI1G46q0o,2017-10-12
33,30,Wild Thoughts (Official Video),DJ Khaled,17,17147451,-0.06%,https://www.youtube.com/watch?v=fyaI4-5849w,2017-10-12
34,36,DNA,BTS,4,16921029,-0.02%,https://www.youtube.com/watch?v=MBdVXkSdhwU,2017-10-12
35,25,Chantaje (Official Video),Shakira,47,16586194,-0.15%,https://www.youtube.com/watch?v=6Mgqbai3fKo,2017-10-12
36,37,Thunder,Imagine Dragons,14,16246053,0.02%,https://www.youtube.com/watch?v=fKopy74weus,2017-10-12
37,33,Swish Swish (Official),Katy Perry,8,16041262,-0.11%,https://www.youtube.com/watch?v=iGk5fR-t5AU,2017-10-12
38,51,Corpo Sensual,Pabllo Vittar,5,15835962,0.22%,https://www.youtube.com/watch?v=q6Lw6k7k9Rk,2017-10-12
39,40,Tu foto,Ozuna,22,15325284,0.05%,https://www.youtube.com/watch?v=afUx6AIG3Tg,2017-10-12
40,39,That's What I Like,Bruno Mars,33,14516110,-0.02%,https://www.youtube.com/watch?v=PMivT7MJ41M,2017-10-12
41,38,Ahora Dice (Official Video) ft. J. Balvin Ozuna Arcángel,Chris Jedi,29,14418374,-0.04%,https://www.youtube.com/watch?v=c73Cu3TQnlg,2017-10-12
42,58,Olha A Explosão,MC Kevinho,12,14063498,0.13%,https://www.youtube.com/watch?v=3yd_eoMOvqk,2017-10-12
43,68,Joga O Bum Bum Tam Tam,MC Fioti,24,14020801,0.18%,https://www.youtube.com/watch?v=_P7S2lKif-A,2017-10-12
44,43,La Rompe Corazones,Daddy Yankee,8,13957431,0%,https://www.youtube.com/watch?v=ks1CBTwtaU8,2017-10-12
45,41,Something Just Like This (Lyric),The Chainsmokers & Coldplay,34,13916880,-0.03%,https://www.youtube.com/watch?v=FM7MFYoylVs,2017-10-12
46,62,Happy Happy,Nacho,3,13761818,0.13%,https://www.youtube.com/watch?v=xBUyILhxcZI,2017-10-12
47,42,We Don't Talk Anymore,Charlie Puth,63,13628937,-0.04%,https://www.youtube.com/watch?v=3AtDnEC4zak,2017-10-12
48,86,NA,NA,2,13539598,0.29%,n/a,2017-10-12
49,44,Sorry Not Sorry (Official Video),Demi Lovato,13,13036329,-0.03%,https://www.youtube.com/watch?v=-MsvER1dpjM,2017-10-12
