Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,X,Nicky Jam & J Balvin,4,87736628,0.24%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
2,2,God's Plan,Drake,6,50921375,-0.05%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
3,3,Dura,Daddy Yankee,10,45706884,-0.06%,https://www.youtube.com/watch?v=sGIm0-dQd8M
4,4,El Farsante (Remix),Ozuna & Romeo Santos,9,44333174,-0.02%,https://www.youtube.com/watch?v=wfWkmURBNv8
5,5,Amorfoda,Bad Bunny,7,40714775,0.03%,https://www.youtube.com/watch?v=kLpH1nSLJSs
6,6,Échame La Culpa,Luis Fonsi & Demi Lovato,19,36286350,-0.05%,https://www.youtube.com/watch?v=TyHvyGVs42U
7,20,Freaky Friday,Lil Dicky & Chris Brown,2,35527650,0.7%,https://www.youtube.com/watch?v=aZla1ttZHaw
8,9,Déjala Que Vuelva,Piso 21,23,32932981,0.05%,https://www.youtube.com/watch?v=y7d9VLRO3vc
9,7,Corazón (Official Video),Maluma,16,31652895,-0.05%,https://www.youtube.com/watch?v=GmHrjFIWl6U
10,8,Me Niego,Reik,6,28567972,-0.14%,https://www.youtube.com/watch?v=JyqD_zfXfi8
11,15,Síguelo bailando,Ozuna,20,27918708,0.05%,https://www.youtube.com/watch?v=Dvpd9_5vuks
12,12,Perfect,Ed Sheeran,21,27413598,0.01%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
13,13,Havana (Audio),Camila Cabello,26,25549252,-0.05%,https://www.youtube.com/watch?v=HCjNJDNzw8Y
14,10,Bella (Remix),Maluma & Wolfine,9,25116150,-0.2%,https://www.youtube.com/watch?v=jjuSfhYiup8
15,14,El Préstamo (Official Video),Maluma,3,24927600,-0.08%,https://www.youtube.com/watch?v=-BQJo3vK8O8
16,n/a,Bipolar (Video Oficial),Ozuna & Chris Jedi & Brytiago,3,20100807,n/a,https://www.youtube.com/watch?v=y0PMqR7IbAQ
17,64,EL BAÑO,Enrique Iglesias,11,19188274,0.74%,https://www.youtube.com/watch?v=gu9_m0vm7fM
18,27,Meant to Be,Bebe Rexha,21,18803494,0.07%,https://www.youtube.com/watch?v=zDo0H8Fm7d0
19,34,Walk It Talk It,Migos,2,18769934,0.15%,https://www.youtube.com/watch?v=fGqdIPer-ms
20,17,Delicate,Taylor Swift,3,18737086,-0.26%,https://www.youtube.com/watch?v=tCXGJQYZ9JA
21,n/a,Psycho,Post Malone,1,18679082,n/a,https://www.youtube.com/watch?v=au2n7VVGv_c
22,21,Loca Remix,KHEA & Bad Bunny & Cazzu & Duki,2,17231396,-0.14%,https://www.youtube.com/watch?v=oSDbm37N-l0
23,24,Esperándote,Manuel Turizo,16,16671976,-0.07%,https://www.youtube.com/watch?v=ooHII67__Sg
24,38,Largado Às Traças,Zé Neto & Cristiano,5,16669995,0.07%,https://www.youtube.com/watch?v=WcTRQXtXJPs
25,30,New Rules,Dua Lipa,38,16496821,0%,https://www.youtube.com/watch?v=k2qgadSvNyU
26,35,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,32,16037847,0%,https://www.youtube.com/watch?v=VqEbCxg2bNI
27,32,Lahore (From "Lahore"),Guru Randhawa,15,15584453,-0.05%,https://www.youtube.com/watch?v=dZ0fwJojhrs
28,50,Fuleragem,MC WM,3,15361444,0.18%,https://www.youtube.com/watch?v=4N2iMmHcHys
29,31,Solita,DJ Luian & Almighty & Mambo Kingz,10,15126100,-0.08%,https://www.youtube.com/watch?v=j-sz8M8gc6U
30,23,Dime si te acuerdas,Bad Bunny,4,14798359,-0.24%,https://www.youtube.com/watch?v=qS6F64mj6LY
31,41,IDGAF,Dua Lipa,11,14109210,-0.06%,https://www.youtube.com/watch?v=Mgfe5tIwOj0
32,42,Joga O Bum Bum Tam Tam,MC Fioti,48,14098241,-0.05%,https://www.youtube.com/watch?v=_P7S2lKif-A
33,33,Bom Diggy,Jasmin Walia & Zack Knight,7,13881264,-0.15%,https://www.youtube.com/watch?v=yIIGQB6EMAM
34,44,No Hay Nadie Más (Official Video),Sebastián Yatra,9,13625743,-0.05%,https://www.youtube.com/watch?v=sD9_l3oDOag
35,45,Thunder,Imagine Dragons,38,13474032,-0.03%,https://www.youtube.com/watch?v=fKopy74weus
36,22,Te Amo,Piso 21,2,13305297,-0.33%,https://www.youtube.com/watch?v=nP8ZVJxiJlU
37,11,A Partir De Hoy,David Bisbal & Sebastián Yatra,2,13248756,-0.52%,https://www.youtube.com/watch?v=Iwz4P8HfGVM
38,n/a,Dime,Revol & Bad Bunny & J Balvin,1,12916460,n/a,https://www.youtube.com/watch?v=DqSBQqj94JU
39,29,21 Savage Offset Metro Boomin - Ric Flair Drip (Official Music Video),21 Savage,4,12659153,-0.24%,https://www.youtube.com/watch?v=LPTlvQ1Zet0
40,n/a,District 9,Stray Kids,1,12450269,n/a,https://www.youtube.com/watch?v=u6unJQownW4
41,51,Gucci Gang,Lil Pump,23,12279019,-0.05%,https://www.youtube.com/watch?v=4LfJnj66HVQ
42,n/a,Wandering Souls,Jonas Wak & NVLS,1,12188650,n/a,https://www.youtube.com/watch?v=j4bA-80kNyg
43,46,Apelido Carinhoso,Gusttavo Lima,12,12058041,-0.11%,https://www.youtube.com/watch?v=B9Mi1-qn_PQ
44,65,Daru Badnaam,Pratik Studio & Kamal Kahlon & Param Singh,4,11781419,0.08%,https://www.youtube.com/watch?v=bzW9fmwcmG4
45,49,Finesse (remix),Bruno Mars,13,11650917,-0.11%,https://www.youtube.com/watch?v=LsoLEjrDogU
46,55,Mayores (Official Video),Becky G,37,11565256,-0.03%,https://www.youtube.com/watch?v=GMFewiplIbw
47,n/a,Plug Walk,Rich The Kid,2,11389172,n/a,https://www.youtube.com/watch?v=ToY6sjSV8h8
48,43,Say Something (Official Video),Justin Timberlake,9,11365890,-0.21%,https://www.youtube.com/watch?v=8MPbR6Cbwi4
49,52,Envolvimento,MC Loma e as Gêmeas Lacração,7,10965374,-0.15%,https://www.youtube.com/watch?v=lgJOJAmXlBw
50,58,Too Good At Goodbyes,Sam Smith,28,10719543,-0.06%,https://www.youtube.com/watch?v=J_ub7Etch2U
51,n/a,Fly,Marshmello,2,10380844,n/a,https://www.youtube.com/watch?v=oRArmtMA9AI
52,n/a,Qué Ironía,Darell & Miky Woodz & J Alvarez & Darkiel,1,10361111,n/a,https://www.youtube.com/watch?v=K1LWhyUjXdM
53,36,Sobredosis (Official Video),Romeo Santos,5,10164119,-0.36%,https://www.youtube.com/watch?v=JNkTNAknE4I
54,76,Noor Alzain And Mohamed Alfaras - Ydk Blras (Offical Video) | نور الزين ومحمد الفارس - يدك بالراس,Noor Alzeen,3,10098280,0.01%,https://www.youtube.com/watch?v=zNOgNM0cRKI
