Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,13,31203451,-0.06%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
2,57,Ek Toh Kum Zindagani (From "Marjaavaan"),Neha Kakkar & Yash Narvekar & Tanishk Bagchi,2,27298287,2.26%,https://www.youtube.com/watch?v=a39rulFFJlM
3,3,Con Altura (Official Video),ROSALÍA,29,27034259,-0.02%,https://www.youtube.com/watch?v=p7bfOZek9t4
4,85,Memories (Official Video),Maroon 5,2,26108628,2.91%,https://www.youtube.com/watch?v=SlPhMPnQ58k
5,4,Adicto (Official Video),Tainy & Anuel AA & Ozuna,8,25551258,-0.01%,https://www.youtube.com/watch?v=58u-zkDLNPg
6,5,Lehanga,Jass Manak,10,23509395,-0.04%,https://www.youtube.com/watch?v=RKioDWlajvo
7,12,Tutu (Official Video),Pedro Capó & Camilo,10,22797658,0.2%,https://www.youtube.com/watch?v=5AkDqm-cEgg
8,n/a,Oye,Sebastián Yatra & TINI,1,22078953,n/a,https://www.youtube.com/watch?v=azfKhDMIrZo
9,n/a,Lights Up (Official Video),Harry Styles,1,21174901,n/a,https://www.youtube.com/watch?v=9NZvM1918_E
10,9,Señorita,Shawn Mendes & Camila Cabello,17,19777781,-0.08%,https://www.youtube.com/watch?v=Pkh8UtuejGw
11,10,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,22,19648787,-0.03%,https://www.youtube.com/watch?v=w2C6RhQBYlg
12,6,Qué Pena (Official Video),Maluma & J Balvin,3,19464589,-0.2%,https://www.youtube.com/watch?v=Geyg_F5pfHE
13,2,HIGHEST IN THE ROOM (Official Music Video),Travis Scott,2,18283974,-0.36%,https://www.youtube.com/watch?v=tfSS1e3kYeo
14,15,La Mejor Versión De Mi (Remix),Natti Natasha & Romeo Santos,2,17747985,0.06%,https://www.youtube.com/watch?v=R9rVapGCf2c
15,22,Dance Monkey,Tones And I,5,17280302,0.25%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
16,7,10000 Hours,Dan + Shay & Justin Bieber,2,17237100,-0.29%,https://www.youtube.com/watch?v=Y2E71oe0aSM
17,16,Con Calma (Remix),Daddy Yankee,38,16063002,-0.03%,https://www.youtube.com/watch?v=DiItGE3eAyQ
18,23,Shaitan Ka Saala,Vishal Dadlani & Sohail Sen,2,14752168,0.08%,https://www.youtube.com/watch?v=oCBDl58lBoU
19,13,Pachtaoge,Arijit Singh,8,14408574,-0.2%,https://www.youtube.com/watch?v=PVxc5mIHVuQ
20,49,8 Parche,Gur Sidhu & Baani Sandhu,4,13989528,0.53%,https://www.youtube.com/watch?v=8WWv5_k8D14
21,n/a,Black Eyed Peas J Balvin - RITMO (Bad Boys For Life) (Official Music Video),J Balvin & Black Eyed Peas,1,13764445,n/a,https://www.youtube.com/watch?v=EzKkl64rRbM
