Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,3,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,12,33239004,-0.08%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
2,n/a,HIGHEST IN THE ROOM (Official Music Video),Travis Scott,1,28621224,n/a,https://www.youtube.com/watch?v=tfSS1e3kYeo
3,4,Con Altura (Official Video),ROSALÍA,28,27598567,-0.07%,https://www.youtube.com/watch?v=p7bfOZek9t4
4,2,Adicto (Official Video),Tainy & Anuel AA & Ozuna,7,25791125,-0.42%,https://www.youtube.com/watch?v=58u-zkDLNPg
5,6,Lehanga,Jass Manak,9,24582054,0.03%,https://www.youtube.com/watch?v=RKioDWlajvo
6,9,Qué Pena (Official Video),Maluma & J Balvin,2,24439144,0.08%,https://www.youtube.com/watch?v=Geyg_F5pfHE
7,n/a,10000 Hours,Dan + Shay & Justin Bieber,1,24287790,n/a,https://www.youtube.com/watch?v=Y2E71oe0aSM
8,n/a,Jopping (instrumental),SuperM,1,24146050,n/a,https://www.youtube.com/watch?v=pAnK1y7qjuE
9,5,Señorita,Shawn Mendes & Camila Cabello,16,21564169,-0.12%,https://www.youtube.com/watch?v=Pkh8UtuejGw
10,7,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,21,20212893,-0.13%,https://www.youtube.com/watch?v=w2C6RhQBYlg
11,94,Tum Hi Aana (Happy Version) [From "Marjaavaan"],Jubin Nautiyal & Payal Dev,2,19552174,2.26%,https://www.youtube.com/watch?v=VFTSW817JlI
12,12,Tutu (Official Video),Pedro Capó & Camilo,9,18932914,-0.03%,https://www.youtube.com/watch?v=5AkDqm-cEgg
13,11,Pachtaoge,Arijit Singh,7,17997700,-0.11%,https://www.youtube.com/watch?v=PVxc5mIHVuQ
14,1,Chicken Noodle Soup,j-hope,2,17137849,-0.7%,https://www.youtube.com/watch?v=i23NEQEFpgQ
