Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Ready For Love,BLACKPINK,1,43704962,n/a,https://www.youtube.com/watch?v=7WyHtSlvHD4
2,1,Quevedo: Bzrp Music Sessions Vol. 52,Quevedo & Bizarrap,5,31510576,-0.03%,https://www.youtube.com/watch?v=A_g3lMcWVy0
3,2,Me porto bonito,Bad Bunny,7,29756210,0.04%,https://www.youtube.com/watch?v=saGYMhApaH8
4,3,Tití me preguntó,Bad Bunny,10,24812936,-0.01%,https://www.youtube.com/watch?v=Cr8K88UcO0s
5,5,PROVENZA,KAROL G,15,17438438,-0.01%,https://www.youtube.com/watch?v=ca48oMV59LU
6,4,Kesariya (From “Brahmastra”),Arijit Singh,3,16048598,-0.12%,https://www.youtube.com/watch?v=BddP6PYo2gs
7,7,Te Felicito,Shakira & Rauw Alejandro,15,13713032,-0.07%,https://www.youtube.com/watch?v=4I25nV9hXGA
8,9,Arabic Kuthu - Video Song | Beast | Thalapathy Vijay | Pooja Hegde | Sun Pictures | Nelson | Anirudh,Sun TV,9,12422436,-0.05%,https://www.youtube.com/watch?v=KUN5Uf9mObQ
9,8,Left And Right,Charlie Puth,6,12183934,-0.1%,https://www.youtube.com/watch?v=a7GITgqwDVg
10,13,ขวานบิ่น,Singto Numchoke & Joke So Cool,4,11332428,0.07%,https://www.youtube.com/watch?v=pbRj27WexjE
11,10,Pipoco,Ana Castela,4,11154724,-0.1%,https://www.youtube.com/watch?v=69JAoslGYI8
12,11,Moscow Mule,Bad Bunny,13,10745610,-0.01%,https://www.youtube.com/watch?v=p38WgakuYDo
13,17,นะหน้าทอง,โจอี้ ภูวศิษฐ์,6,9999312,0.05%,https://www.youtube.com/watch?v=a1wW0AjQCI8
14,6,GIVENCHY,Duki,3,9595485,-0.35%,https://www.youtube.com/watch?v=ymvYySd_P2E
15,16,As It Was,Harry Styles,18,9582237,0%,https://www.youtube.com/watch?v=H5v3kku4y6Q
16,n/a,วาดไว้,BOWKYLION,1,9217775,n/a,https://www.youtube.com/watch?v=a0M_QUS3kC0
17,14,Min Awel Dekika,Elissa & Saad Lamjarred,13,8969218,-0.13%,https://www.youtube.com/watch?v=O--o-O-ABBw
18,15,Villano Antillano: Bzrp Music Sessions Vol. 51,Bizarrap & Villano Antillano,9,8839690,-0.12%,https://www.youtube.com/watch?v=wvz97-lNPH8
19,19,Envolver,Anitta,23,8669792,-0.03%,https://www.youtube.com/watch?v=hFCjGiawJi4
20,27,Pardesi Pardesi | Udit Narayan | Alka Yagnik | Sapna Awasthi | Raja Hindustani | 1996,Evergreen Bollywood Hits,7,8299860,0.04%,https://www.youtube.com/watch?v=_DCtJSlK-uk
21,26,Ra Ra Reddy.. I’m Ready!,Lipsika & Aditya Iyengar,4,8177938,0.02%,https://www.youtube.com/watch?v=v7sxUPc6TqA
22,67,I Like You (A Happier Song) w. Doja Cat [Official Music Video],Post Malone,2,8167241,0.52%,https://www.youtube.com/watch?v=7aekxC_monc
23,30,Tak Ingin Usai (Official Lyric Video),Keisya Levronka,9,8039170,0.03%,https://www.youtube.com/watch?v=FB1YNEOspyA
24,51,La Bachata,Manuel Turizo,3,8001558,0.27%,https://www.youtube.com/watch?v=TiM_TFpT_DE
25,18,295 (Official Audio) | Sidhu Moose Wala | The Kidd | Moosetape,Sidhu Moose Wala,15,7840827,-0.15%,https://www.youtube.com/watch?v=n_FCrCQ6-bA
