Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,9,64547415,0.02%,https://www.youtube.com/watch?v=9jI-z9QN6g8
2,n/a,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,1,51959531,n/a,https://www.youtube.com/watch?v=aJOTlE1K90k
3,4,Sin Pijama (Official Video),Natti Natasha & Becky G,7,41222858,0.07%,https://www.youtube.com/watch?v=zEf423kYfqk
4,10,I Like It,Bad Bunny & Cardi B & J Balvin,2,39993584,0.65%,https://www.youtube.com/watch?v=xTlNMmZKwpA
5,2,X,Nicky Jam & J Balvin,14,38216165,-0.04%,https://www.youtube.com/watch?v=_I_D_8Z4sJE
6,14,Lagi Syantik,Siti Badriah,4,32384728,0.52%,https://www.youtube.com/watch?v=Tet6_BlStEM
7,5,no tears left to cry (Official Video),Ariana Grande,7,29695583,-0.17%,https://www.youtube.com/watch?v=ffxKSjUwKdU
8,6,This Is America (Official Video),Childish Gambino,5,29648034,-0.17%,https://www.youtube.com/watch?v=VYOjWnS4cMY
9,3,Dame Tu Cosita,El Chombo,9,26495380,-0.33%,https://www.youtube.com/watch?v=FzG4uDgje3M
10,9,Mi Cama (Official Video),KAROL G,4,25068213,0.03%,https://www.youtube.com/watch?v=8-mloCL49vs
11,12,One Kiss (Official Video),Calvin Harris & Dua Lipa,5,22425093,-0.07%,https://www.youtube.com/watch?v=DkeiKbqa02g
12,13,Échame La Culpa,Luis Fonsi & Demi Lovato,29,22352591,-0.06%,https://www.youtube.com/watch?v=TyHvyGVs42U
13,8,Psycho,Post Malone,11,21150963,-0.19%,https://www.youtube.com/watch?v=au2n7VVGv_c
14,15,Dura,Daddy Yankee,20,20404891,-0.04%,https://www.youtube.com/watch?v=sGIm0-dQd8M
15,20,Te Amo,Piso 21,12,18801516,0%,https://www.youtube.com/watch?v=nP8ZVJxiJlU
16,18,Amor de Verdade,Mc Rita & MC Kekel & MC Rita,10,18518728,-0.07%,https://www.youtube.com/watch?v=8_oE-iQeFeE
17,17,Déjala Que Vuelva,Piso 21,33,18366931,-0.1%,https://www.youtube.com/watch?v=y7d9VLRO3vc
18,25,เฮ็ดทุกวิถีทาง (Backing Track),เบิ้ล ปทุมราช,2,17592935,0.07%,https://www.youtube.com/watch?v=fgFFuzmK2xU
19,31,New Rules,Dua Lipa,48,17323558,0.19%,https://www.youtube.com/watch?v=k2qgadSvNyU
20,23,Síguelo bailando,Ozuna,28,17030800,0.03%,https://www.youtube.com/watch?v=Dvpd9_5vuks
21,n/a,Humility,Gorillaz,1,16884851,n/a,https://www.youtube.com/watch?v=E5yFcdPAGv0
22,19,Call Out My Name (Official Video),The Weeknd,8,16630670,-0.15%,https://www.youtube.com/watch?v=M4ZoCHID9GI
23,11,God's Plan,Drake,16,16060972,-0.34%,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
24,n/a,Back To You,Selena Gomez,1,15133466,n/a,https://www.youtube.com/watch?v=VY1eFxgRR-k
25,n/a,Made In India,Guru Randhawa,1,14808665,n/a,https://www.youtube.com/watch?v=pnMQLrS5sTE
26,n/a,Welcome to the Party,French Montana & Diplo & Lil Pump,1,14599213,n/a,https://www.youtube.com/watch?v=QgOXIEhHU1Y
27,39,Boo'd Up,Ella Mai,4,14427611,0.05%,https://www.youtube.com/watch?v=6YNZlXfW6Ho
28,n/a,FRIENDS (A Boogie Wit da Hoodie remix),Marshmello & Anne-Marie,6,14420551,n/a,https://www.youtube.com/watch?v=jzD_yyEcp0M
29,n/a,Main Badhiya Tu Bhi Badhiya,Sonu Nigam & Sunidhi Chauhan,1,14366725,n/a,https://www.youtube.com/watch?v=kZUxD_pEqgg
30,37,Perfect,Ed Sheeran,30,14359339,0.03%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
31,n/a,No Me Acuerdo (Official Video),Natti Natasha & Thalía,1,14354030,n/a,https://www.youtube.com/watch?v=iQEVguV71sI
32,29,Freaky Friday,Lil Dicky & Chris Brown,12,14310611,-0.08%,https://www.youtube.com/watch?v=aZla1ttZHaw
33,n/a,Whatever It Takes (Official Music Video),Imagine Dragons,22,13690536,n/a,https://www.youtube.com/watch?v=gOsM-DYAEhY
34,32,Esskeetit,Lil Pump,8,13690351,-0.05%,https://www.youtube.com/watch?v=DPxL7dO5XPc
35,n/a,Yalnız Çiçek,Aleyna Tilki,1,13571245,n/a,https://www.youtube.com/watch?v=gi80-tmEduI
36,45,Ao Vivo E A Cores,Matheus & Kauan & Anitta,4,13454765,0.02%,https://www.youtube.com/watch?v=iyI9RMkEzbQ
37,49,Asesina,Brytiago & Darell,3,13436888,0.05%,https://www.youtube.com/watch?v=AhQcNVyndSM
