Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,8,46532318,-0.07%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
2,n/a,Panini (Official Video),Lil Nas X,1,43444502,n/a,https://www.youtube.com/watch?v=bXcSLI58-h8
3,1,Pachtaoge,Arijit Singh,3,34308503,-0.32%,https://www.youtube.com/watch?v=PVxc5mIHVuQ
4,3,Con Altura (Official Video),ROSALÍA,24,33160550,-0.04%,https://www.youtube.com/watch?v=p7bfOZek9t4
5,5,Señorita,Shawn Mendes & Camila Cabello,12,29918150,-0.02%,https://www.youtube.com/watch?v=Pkh8UtuejGw
6,10,all the good girls go to hell (Official Music Video),Billie Eilish,2,28423532,0.69%,https://www.youtube.com/watch?v=-PZsSWwc9xA
7,17,Çok Sevdim Yalan Oldu,Fatih Bulut,2,28046222,0.95%,https://www.youtube.com/watch?v=UEbSQiYFRBM
8,6,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,17,25880488,-0.06%,https://www.youtube.com/watch?v=w2C6RhQBYlg
9,4,Adicto (Official Video),Tainy & Anuel AA & Ozuna,3,25034239,-0.27%,https://www.youtube.com/watch?v=58u-zkDLNPg
10,7,Lehanga,Jass Manak,5,23635933,0.05%,https://www.youtube.com/watch?v=RKioDWlajvo
11,n/a,El Favor,Dimelo Flow,1,21771818,n/a,https://www.youtube.com/watch?v=GqLY0ot1ygY
12,n/a,Susamam,Şanışer,1,21419736,n/a,https://www.youtube.com/watch?v=L5K3IxINr7A
13,8,Con Calma (Remix),Daddy Yankee,33,20858213,-0.07%,https://www.youtube.com/watch?v=DiItGE3eAyQ
14,n/a,Shameless (Official Video),Camila Cabello,1,18749147,n/a,https://www.youtube.com/watch?v=Fp_P_e1cPOE
15,14,Tutu (Official Video),Pedro Capó & Camilo,5,17319262,0.11%,https://www.youtube.com/watch?v=5AkDqm-cEgg
16,n/a,Fantasias,Farruko & Rauw Alejandro,1,16824903,n/a,https://www.youtube.com/watch?v=8jwbnGrX7-c
17,13,Calma (Remix - Official Video),Pedro Capó & Farruko,47,16501817,0.05%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
18,11,bad guy (Official Music Video),Billie Eilish,24,16432798,-0.01%,https://www.youtube.com/watch?v=DyDfgMOUjCI
19,19,Ishq Tera (From "Ishq Tera"),Guru Randhawa,2,16182805,0.21%,https://www.youtube.com/watch?v=3KXZduvOfDo
20,12,Yo x Ti Tu x Mi (Official Video),Ozuna & ROSALÍA,5,14312919,-0.11%,https://www.youtube.com/watch?v=2j3x0VYnehg
21,n/a,Deséame Suerte,Jhay Cortez & Karol G & Fino Como El Haze,1,14223985,n/a,https://www.youtube.com/watch?v=oI91Wi2z6G4
22,41,Lalala (Official Video),Y2K & ​bbno$,3,12989811,0.26%,https://www.youtube.com/watch?v=N2Y2vQ-1m7M
23,16,O Saki Saki (From "Batla House"),B Praak & Tulsi Kumar & Neha Kakkar,9,12806336,-0.14%,https://www.youtube.com/watch?v=6wNFJIbTxNk
24,n/a,Kein Plan,Loredana,1,12362791,n/a,https://www.youtube.com/watch?v=pG1QsTYfIhw
25,45,Chicharrón ft. Cauty (Official Video),Guaynaa,3,12286988,0.21%,https://www.youtube.com/watch?v=UsWiMOelYxI
26,31,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,17,12154533,0.02%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
27,n/a,Slide Away (Official Video),Miley Cyrus,1,12085468,n/a,https://www.youtube.com/watch?v=rrvFv6j3-sM
28,25,Callaita,Bad Bunny & Tainy,15,12007021,-0.04%,https://www.youtube.com/watch?v=acEOASYioGY
29,62,Amor A Primera Vista,Belinda & Los Ángeles Azules & Lalo Ebratt,5,11702222,0.4%,https://www.youtube.com/watch?v=SlgtjRq5AXs
30,39,รักติดไซเรน,PEARWAH & Ice Paris,2,11669111,0.1%,https://www.youtube.com/watch?v=ILU9NbWn4t0
31,18,Psycho Saiyaan (From "Saaho"),T-Series,10,11402817,-0.17%,https://www.youtube.com/watch?v=G81Ospnlctw
32,51,Circles,Post Malone,2,11319401,0.2%,https://www.youtube.com/watch?v=wXhTHyIgQ_U
33,21,11 PM (Official Video),Maluma,17,11280388,-0.13%,https://www.youtube.com/watch?v=IBaSizQyC5g
34,20,Queen of Mean (From "Descendants 3"),Sarah Jeffery,6,11120756,-0.17%,https://www.youtube.com/watch?v=r9o1QS-itsU
35,50,Soltera (remix),Lunay & Bad Bunny & Daddy Yankee,18,10813376,0.13%,https://www.youtube.com/watch?v=8zQTfGbyY5I
36,n/a,Pachtaoge,Arijit Singh,1,10661469,n/a,https://www.youtube.com/watch?v=oTnF5sNJnbE
37,30,Si Se Da (Remix),Myke Towers & Farruko & Arcangel & Sech & Zion,6,10482293,-0.12%,https://www.youtube.com/watch?v=CbEst0K063c
38,43,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,49,10386406,0.01%,https://www.youtube.com/watch?v=ixkoVwKQaJg
39,n/a,Centavito (Official Video),Romeo Santos,8,10301995,n/a,https://www.youtube.com/watch?v=RjMWh1vve6E
40,42,Bir Daha Yak,Sura İskenderli,4,10070453,-0.02%,https://www.youtube.com/watch?v=_jfH5GhQ674
41,49,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,47,10001312,0.03%,https://www.youtube.com/watch?v=ApXoWvfEYVU
42,34,Dheeme Dheeme,Tony Kakkar,17,9915900,-0.15%,https://www.youtube.com/watch?v=9mWdw-09dso
