Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Agua (Music From "Sponge On The Run" Movie),Tainy & J Balvin,6,38287849,-0.07%,https://www.youtube.com/watch?v=QLz9VaksClg
2,n/a,Laugh Now Cry Later (Official Music Video),Drake,1,36524195,n/a,https://www.youtube.com/watch?v=JFm7YDVlqnI
3,1,WAP,Cardi B,2,31496059,-0.62%,https://www.youtube.com/watch?v=hsm4poTWjMs
4,3,Life Is Good (Official Music Video),Future,32,30818168,-0.07%,https://www.youtube.com/watch?v=l0U7SxXHkPY
5,4,Tattoo (Remix with Camilo),Rauw Alejandro & Camilo,6,27541855,-0.04%,https://www.youtube.com/watch?v=wJT-YKmlWJc
6,5,Feelings,Sumit Goswami,5,26651936,-0.07%,https://www.youtube.com/watch?v=AZmAgoir1Tc
7,6,How You Like That,BLACKPINK,8,23510764,-0.12%,https://www.youtube.com/watch?v=ioNng23DkIM
8,n/a,Not Shy,ITZY,1,21813416,n/a,https://www.youtube.com/watch?v=wTowEKjDGkU
9,11,Ay DiOs Mío! (Official Video),KAROL G,6,19980118,0.28%,https://www.youtube.com/watch?v=Ou2c2aj5Fcw
10,25,Oh Juliana,Niack & DJ Léo da 17 & Two Maloka,2,19118785,0.71%,https://www.youtube.com/watch?v=Tun92VU2OkU
11,8,La Jeepeta Remix (Lyric Video),Nio Garcia & Brray & Juanka & Anuel AA & Myke Towers,17,18318016,-0.05%,https://www.youtube.com/watch?v=yErttA9tEro
12,10,Mamichula,Trueno & Nicki Nicole & Bizarrap,4,15302388,-0.05%,https://www.youtube.com/watch?v=NUteQQCMa_k
13,12,Khairiyat (Bonus Track),Arijit Singh,10,15028588,-0.01%,https://www.youtube.com/watch?v=hoNb6HuNmU0
14,15,La Curiosidad,Myke Towers & DJ Nelson & Jay Wheeler,5,14738606,0.06%,https://www.youtube.com/watch?v=Q_gIYp078so
15,17,Caramelo,Ozuna,10,14671365,0.08%,https://www.youtube.com/watch?v=BFlG5sD540k
16,28,Hawái (Official Video),Maluma,3,14507020,0.36%,https://www.youtube.com/watch?v=pK060iUFWXg
17,13,Dance Monkey,Tones And I,49,13973426,-0.05%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
18,73,,,6,13456890,1.01%,n/a
19,23,#AlaVaikunthapurramuloo - ButtaBomma Full Video Song (4K) | Allu Arjun | Thaman S | Armaan Malik,Aditya Music,26,13304224,0.09%,https://www.youtube.com/watch?v=2mDCVzruYzQ
20,19,Dil Tod Ke,B Praak & Rochak Kohli,6,13247923,0.05%,https://www.youtube.com/watch?v=ZTBwxy4wsBQ
21,7,PUNANI,6ix9ine,3,13188329,-0.37%,https://www.youtube.com/watch?v=AY1bA23hGMU
22,16,GOOBA,6ix9ine,15,12224633,-0.1%,https://www.youtube.com/watch?v=pPw_izFr5PA
23,20,Genda Phool,Badshah,22,11994353,-0.04%,https://www.youtube.com/watch?v=SD4Z8dlZPd8
24,n/a,Midnight Sky (Official Video),Miley Cyrus,1,11964741,n/a,https://www.youtube.com/watch?v=aS1no1myeTM
25,27,Jerusalema (Version Youtube),Master KG,5,11962958,0.08%,https://www.youtube.com/watch?v=fCZVL_8D048
26,n/a,100,SuperM,1,11643802,n/a,https://www.youtube.com/watch?v=nyzhtvtJWDQ
27,24,Cennetten Çiçek,Zehra,7,11565450,-0.04%,https://www.youtube.com/watch?v=4OkiH2yD-eQ
28,n/a,Pachtaoge (Female Version),Asees Kaur,1,11529920,n/a,https://www.youtube.com/watch?v=olLLDnTdGFg
29,21,Relación,Sech,12,11107432,-0.11%,https://www.youtube.com/watch?v=c6D8v6DhKc4
30,n/a,Tacos,Little Big,1,10862254,n/a,https://www.youtube.com/watch?v=nUwTnJ8yFXY
31,88,Mi Cuarto,Jerry Di,2,10628929,0.71%,https://www.youtube.com/watch?v=KuDP3cEbcTo
32,14,Meri Aashiqui,Jubin Nautiyal & Rochak Kohli,12,10348351,-0.29%,https://www.youtube.com/watch?v=SVjkxdjivts
33,n/a,Yes or No,Jass Manak,1,9992163,n/a,https://www.youtube.com/watch?v=EUq-tNlCo7s
34,29,Singapur,Chael Produciendo & El Alfa,8,9747135,-0.08%,https://www.youtube.com/watch?v=RCufThTuB3M
