Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Échame La Culpa,Luis Fonsi & Demi Lovato,10,67672762,-0.06%,https://www.youtube.com/watch?v=TyHvyGVs42U
2,2,Corazón (Official Video),Maluma,7,65160746,-0.06%,https://www.youtube.com/watch?v=GmHrjFIWl6U
3,4,Perfect,Ed Sheeran,12,56431075,-0.02%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
4,3,Havana (Audio),Camila Cabello,17,48580568,-0.21%,https://www.youtube.com/watch?v=HCjNJDNzw8Y
5,5,Shape of You,Ed Sheeran,52,44488826,0.02%,https://www.youtube.com/watch?v=JGwWNGJdvx8
6,8,Finesse (remix),Bruno Mars,4,37667867,0.05%,https://www.youtube.com/watch?v=LsoLEjrDogU
7,25,Que Tiro Foi Esse,Jojo Maronttinni,2,37044370,0.59%,https://www.youtube.com/watch?v=Qw4uBk7DOa8
8,7,Dusk Till Dawn (Official Video),ZAYN,21,35927046,-0.08%,https://www.youtube.com/watch?v=tt2k8PGm-TI
9,n/a,Dura,Daddy Yankee,1,35281550,n/a,https://www.youtube.com/watch?v=sGIm0-dQd8M
10,11,Déjala Que Vuelva,Piso 21,14,34695675,0.04%,https://www.youtube.com/watch?v=y7d9VLRO3vc
11,12,Síguelo bailando,Ozuna,11,33532964,0.03%,https://www.youtube.com/watch?v=Dvpd9_5vuks
12,n/a,Machika,Jeon & J Balvin & Anitta,1,32374350,n/a,https://www.youtube.com/watch?v=liczsmUSMA4
13,13,Amantes de una Noche,Bad Bunny & Natti Natasha,2,31566394,-0.02%,https://www.youtube.com/watch?v=FVRPzwb1Vi4
14,10,Despacito,Luis Fonsi,54,31370808,-0.1%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
15,9,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,23,30433497,-0.13%,https://www.youtube.com/watch?v=VqEbCxg2bNI
16,18,Sensualidad,Bad Bunny & Prince Royce & J Balvin & Hear This Music,12,26832252,-0.03%,https://www.youtube.com/watch?v=ovX1HloCgdA
17,14,EL BAÑO,Enrique Iglesias,2,25741619,-0.17%,https://www.youtube.com/watch?v=gu9_m0vm7fM
18,15,New Rules,Dua Lipa,29,25568442,-0.09%,https://www.youtube.com/watch?v=k2qgadSvNyU
19,17,Gucci Gang,Lil Pump,14,24584721,-0.12%,https://www.youtube.com/watch?v=4LfJnj66HVQ
20,23,Too Good At Goodbyes,Sam Smith,19,23995328,-0.01%,https://www.youtube.com/watch?v=J_ub7Etch2U
21,21,Lahore (From "Lahore"),Guru Randhawa,6,23868029,-0.03%,https://www.youtube.com/watch?v=dZ0fwJojhrs
22,22,Anitta & J Balvin - Downtown (Official Lyric Video) ft. Lele Pons & Juanpa Zurita,Lele Pons,6,23847104,-0.02%,https://www.youtube.com/watch?v=wzKL-bQKcgA
23,30,Havana,Camila Cabello,14,22174013,0.11%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
24,19,IDGAF,Dua Lipa,2,22166723,-0.19%,https://www.youtube.com/watch?v=Mgfe5tIwOj0
25,n/a,Vay Delikanlı Gönlüm,Veysel Mutlu,1,21818641,n/a,https://www.youtube.com/watch?v=jcWmC1oa4KQ
26,20,Swag Se Swagat,Julius Packiam & Neha Bhasin & Vishal - Shekhar,10,21575616,-0.14%,https://www.youtube.com/watch?v=xmU0s2QtaEY
27,24,Mayores (Official Video),Becky G,28,21325374,-0.09%,https://www.youtube.com/watch?v=GMFewiplIbw
28,6,End Game,Taylor Swift,2,20712925,-0.52%,https://www.youtube.com/watch?v=dfnCAmr569k
29,27,El farsante,Ozuna,29,20568348,-0.06%,https://www.youtube.com/watch?v=6DRkf3kZMXw
30,33,Joga O Bum Bum Tam Tam,MC Fioti,39,20143653,0.03%,https://www.youtube.com/watch?v=_P7S2lKif-A
31,n/a,Solita,DJ Luian & Almighty & Mambo Kingz,1,20106034,n/a,https://www.youtube.com/watch?v=j-sz8M8gc6U
32,26,Bella y Sensual (Official Video),Nicky Jam & Romeo Santos,9,19962083,-0.11%,https://www.youtube.com/watch?v=RSRzIrOqaN4
33,43,La modelo,Cardi B & Ozuna,6,19377813,0.29%,https://www.youtube.com/watch?v=X8sSXU-J8fI
34,28,Mi Gente (Official Video),J Balvin Willy William,30,19296006,-0.09%,https://www.youtube.com/watch?v=wnJ6LuUFpMo
35,32,Thunder,Imagine Dragons,29,18957163,-0.05%,https://www.youtube.com/watch?v=fKopy74weus
36,16,Người Lạ Ơi (Hoaprox Remix),Châu Đăng Khoa,3,18187406,-0.35%,https://www.youtube.com/watch?v=g20t_K9dlhU
37,n/a,,,1,18104302,n/a,n/a
38,35,Perfect - Ed Sheeran (Lyrics),DopeLyrics,7,17915105,0.02%,https://www.youtube.com/watch?v=UDDMYw_IZnE
39,34,Me Rehúso,Danny Ocean,40,17493242,-0.03%,https://www.youtube.com/watch?v=aDCcLQto5BM
40,98,Gaddi Ch Yaar,Dream Team Music,2,17262772,0.83%,https://www.youtube.com/watch?v=TTckVh0iR78
41,29,Vai malandra (Participação especial Tropkillaz e DJ Yuri Martins),Anitta & Maejor,6,16865762,-0.19%,https://www.youtube.com/watch?v=kDhptBT_-VI
42,77,Amantes,Greeicy,6,16848766,0.53%,https://www.youtube.com/watch?v=t_shSXXV91w
