Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Shut Down,BLACKPINK,3,22350709,-0.23%,https://www.youtube.com/watch?v=POe9SOEKotk
2,3,Me porto bonito,Bad Bunny,16,17196171,-0.05%,https://www.youtube.com/watch?v=saGYMhApaH8
3,2,Pink Venom,BLACKPINK,7,16962927,-0.13%,https://www.youtube.com/watch?v=gQlMMD8auMs
4,4,La Bachata,Manuel Turizo,12,16508808,0.03%,https://www.youtube.com/watch?v=TiM_TFpT_DE
5,6,Kesariya (From “Brahmastra”),Arijit Singh,12,15616585,0.04%,https://www.youtube.com/watch?v=BddP6PYo2gs
6,5,Tití me preguntó,Bad Bunny,19,14868424,-0.04%,https://www.youtube.com/watch?v=Cr8K88UcO0s
7,7,Manike,Surya Ragunaathan & Yohani & Jubin Nautiyal,3,14790630,-0.01%,https://www.youtube.com/watch?v=_B6T8O15Ohk
8,8,GATÚBELA,KAROL G & Maldy,6,13264903,-0.1%,https://www.youtube.com/watch?v=SK37InR9j38
9,10,Quevedo: Bzrp Music Sessions Vol. 52,Quevedo & Bizarrap,14,12431588,-0.04%,https://www.youtube.com/watch?v=A_g3lMcWVy0
10,11,DESPECHÁ,ROSALÍA,9,11327599,-0.05%,https://www.youtube.com/watch?v=5g2hT4GmAGU
11,16,Calm Down,Rema & Selena Gomez,5,11179372,0.11%,https://www.youtube.com/watch?v=WcIcVapfqXw
12,12,PROVENZA,KAROL G,24,10844207,-0.06%,https://www.youtube.com/watch?v=ca48oMV59LU
13,9,Laal Ghaghra,Shilpi Raj & Pawan Singh,4,9630075,-0.27%,https://www.youtube.com/watch?v=qZId59qml_4
14,18,Neverita,Bad Bunny,7,9271840,-0.05%,https://www.youtube.com/watch?v=ARWg160eaX4
15,42,No Se Va (En Vivo),Grupo Frontera,3,8965338,0.47%,https://www.youtube.com/watch?v=VtKcDwz6hiM
16,21,Calm Down,Rema,20,8851906,-0.01%,https://www.youtube.com/watch?v=CQLsdm1ZYAw
17,82,Ekego Dil Mangawaiya Hazar Ba,Raj Bhai & Nagendra Ujala & Shilpi Raj,2,8328476,0.89%,https://www.youtube.com/watch?v=dmjT0P4j0to
