Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,12,57219572,0.12%,https://www.youtube.com/watch?v=ixkoVwKQaJg
2,1,Aankh Marey (From "Simmba"),Mika Singh & Kumar Sanu & Neha Kakkar,3,51238434,-0.04%,https://www.youtube.com/watch?v=_KhQT-LGb-4
3,n/a,Makhna (From "Makhna"),Sean & Singhsta & Yo Yo Honey Singh & Neha Kakkar & Allistair & Pinaki,1,48713732,n/a,https://www.youtube.com/watch?v=1bvYHkQxWmg
4,3,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,30,45736717,0.09%,https://www.youtube.com/watch?v=aJOTlE1K90k
5,4,Calma (Remix - Official Video),Pedro Capó & Farruko,10,36453234,0.13%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
6,5,Say My Name,David Guetta & Bebe Rexha & J Balvin,5,36184594,0.14%,https://www.youtube.com/watch?v=ft4jcPSLJfY
7,16,All I Want For Christmas Is You (Official Video),Mariah Carey,14,29942629,0.54%,https://www.youtube.com/watch?v=yXQViqx6GMY
8,6,MIA,Drake & Bad Bunny,12,28119528,-0.07%,https://www.youtube.com/watch?v=OSUxrSe5GbI
9,7,Adan y Eva,Paulo Londra,4,25668121,-0.09%,https://www.youtube.com/watch?v=aSjflT_J0Xo
10,9,Leja Re,Dhvani Bhanushali,4,24553434,-0.03%,https://www.youtube.com/watch?v=NNqLB7znMLU
11,13,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,38,24478054,0.19%,https://www.youtube.com/watch?v=9jI-z9QN6g8
12,12,BEBE,6ix9ine,17,24191799,0.11%,https://www.youtube.com/watch?v=ycV6cnK3SIs
13,27,Last Christmas,Wham!,11,23402537,0.57%,https://www.youtube.com/watch?v=E8gmARGvPlI
14,15,Ella Quiere Beber (Remix),Anuel AA,7,21973408,0.12%,https://www.youtube.com/watch?v=0w3XwPVxcsw
