Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Sorry,Justin Bieber,7,37962454,-0.04%,https://www.youtube.com/watch?v=fRh_vgS2dFE
2,2,Work from Home (Official Video),Fifth Harmony,6,32441578,0.04%,https://www.youtube.com/watch?v=5GL9JoH4Sws
3,3,PILLOWTALK,ZAYN,7,28613065,-0.02%,https://www.youtube.com/watch?v=C_3d6GntKbk
4,4,Work,Rihanna,7,27049099,-0.04%,https://www.youtube.com/watch?v=HL1UzIK-flA
5,8,Hasta el Amanecer,Nicky Jam,7,25098438,0.08%,https://www.youtube.com/watch?v=kkx-7fsiWgg
6,6,Love Yourself PURPOSE : The Movement,Justin Bieber,7,25097799,-0.04%,https://www.youtube.com/watch?v=oyEuk8j8imI
7,7,Alan Walker - Faded,Alan Walker,7,24713665,0.04%,https://www.youtube.com/watch?v=60ItHLz5WEA
8,5,Hello (Official Music Video),Adele,7,23667422,-0.15%,https://www.youtube.com/watch?v=YQHsXMglC9A
9,9,Stressed Out,twenty one pilots,7,22971194,0.03%,https://www.youtube.com/watch?v=pXRviuL6vMY
10,15,NO,Meghan Trainor,3,22759535,0.31%,https://www.youtube.com/watch?v=cMTAUr3Nm6I
11,10,See You Again,Wiz Khalifa,7,21109719,-0.04%,https://www.youtube.com/watch?v=RgKAFK5djSk
12,12,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,5,20667446,0.07%,https://www.youtube.com/watch?v=foE1mO2yM04
13,11,Hymn for the Weekend,Coldplay,7,20665678,0.01%,https://www.youtube.com/watch?v=YykjpeuMNEk
14,n/a,Dangerous Woman,Ariana Grande,1,18096669,n/a,https://www.youtube.com/watch?v=9WbCfHutDSE
15,13,What Do You Mean?,Justin Bieber,7,17747159,-0.06%,https://www.youtube.com/watch?v=DK_0jXPuIr0
16,14,Hotline Bling,Drake,7,17611384,-0.05%,https://www.youtube.com/watch?v=uxpDa-c-4Mc
17,16,Lean On,Major Lazer & DJ Snake,7,17035042,0.06%,https://www.youtube.com/watch?v=YqeW9_5kURI
18,17,Stitches (Official Music Video),Shawn Mendes,7,16051773,0.01%,https://www.youtube.com/watch?v=VbfpW0pbvaU
19,18,Uptown Funk (Official Video),Mark Ronson,7,15845511,0.02%,https://www.youtube.com/watch?v=OPf0YbXqDm0
20,33,Cheap Thrills (Official Lyric Video),Sia,4,13854167,0.35%,https://www.youtube.com/watch?v=nYh-n7EOtMA
21,23,Worth It (Official Video),Fifth Harmony,7,13522948,0.08%,https://www.youtube.com/watch?v=YBHQbu5rbdQ
22,25,7 Years,Lukas Graham,6,13281736,0.09%,https://www.youtube.com/watch?v=LHCob76kigA
23,22,Sugar,Maroon 5,7,13096042,0%,https://www.youtube.com/watch?v=09R8_2nJtjg
24,21,Watch Me (Whip / Nae Nae),Silentó,7,12923137,-0.03%,https://www.youtube.com/watch?v=vjW8wmF5VWc
25,41,Close,Nick Jonas,2,12668723,0.37%,https://www.youtube.com/watch?v=XgJFqVvb2Ws
26,24,Adventure of a Lifetime,Coldplay,7,12616883,0.04%,https://www.youtube.com/watch?v=QtXby3twMmI
27,20,The Hills,The Weeknd,7,12485156,-0.08%,https://www.youtube.com/watch?v=yzTuBuRdAyA
28,26,Picky,Joey Montana,7,12065298,0.13%,https://www.youtube.com/watch?v=RqpKDkVzlqU
29,32,Light It Up (Remix),Major Lazer,7,11594652,0.11%,https://www.youtube.com/watch?v=qDcFryDXQ7U
30,71,Panda,Desiigner,2,11385542,0.66%,https://www.youtube.com/watch?v=lsJLLEwUYZM
31,27,Lush Life,Zara Larsson,6,11303007,0.06%,https://www.youtube.com/watch?v=tD4HCZe-tew
32,31,How Deep Is Your Love,Calvin Harris & Disciples,7,11119674,0.06%,https://www.youtube.com/watch?v=EgqUJOudrcM
33,29,Try Everything,Shakira,5,10993367,0.04%,https://www.youtube.com/watch?v=c6rP-YP4c5I
34,36,Love Me Like You Do [blank],Ellie Goulding,7,10360028,0.06%,https://www.youtube.com/watch?v=AJtDXIazrMo
35,30,Chandelier (Official Video),Sia,7,10346451,-0.02%,https://www.youtube.com/watch?v=2vjPBrBU-TM
36,53,Por Fin Te Encontré,Cali y El Dandee & Juan Magán,7,10313548,0.24%,https://www.youtube.com/watch?v=_kxz7WX4mLU
37,34,Thinking out Loud,Ed Sheeran,7,10176538,0%,https://www.youtube.com/watch?v=lp-EO5I60KA
38,38,Me Myself & I,G-Eazy & Bebe Rexha,6,10104511,0.05%,https://www.youtube.com/watch?v=bSfpSOBD30U
39,28,Can't Feel My Face Official Video,The Weeknd,7,9970925,-0.06%,https://www.youtube.com/watch?v=KEI4qSrkPAs
40,49,Encantadora,Yandel,5,9830110,0.14%,https://www.youtube.com/watch?v=F877bV0Ai3E
41,87,Low Life (Official Music Video),Future,2,9710219,0.58%,https://www.youtube.com/watch?v=K_9tX4eHztY
42,40,One Call Away,Charlie Puth,7,9637144,0.03%,https://www.youtube.com/watch?v=BxuY9FET9Y4
43,42,แพ้ทาง,Labanoon,7,9535991,0.03%,https://www.youtube.com/watch?v=T_4RvW2zFww
