Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,MONEY (PERFORMANCE VIDEO),BLACKPINK,4,33639434,-0.05%,https://www.youtube.com/watch?v=dNCWe_6HAM8
2,4,Raataan Lambiyan,Jubin Nautiyal & Asees Kaur & Tanishk Bagchi,11,26671307,0.03%,https://www.youtube.com/watch?v=gvyUuxdRdR4
3,5,Dil Galti Kar Baitha Hai,Shardul Rathod & Jubin Nautiyal & Meet Bros.,3,23810273,0.02%,https://www.youtube.com/watch?v=1--qqQrimMA
4,6,LALISA,LISA,5,19224356,-0.13%,https://www.youtube.com/watch?v=awkkyBH2zEo
5,7,STAY (Official Video),Justin Bieber & The Kid Laroi,14,18628621,-0.02%,https://www.youtube.com/watch?v=kTJczUoc26U
6,n/a,Índigo (Official Video),Evaluna Montaner & Camilo,1,16420977,n/a,https://www.youtube.com/watch?v=DriCCFRQlj8
7,8,Savage,aespa,2,15628846,-0.18%,https://www.youtube.com/watch?v=WPdWvnAAurg
8,3,My Universe,Coldplay & BTS,3,14047940,-0.5%,https://www.youtube.com/watch?v=3YqPKLZF_WU
9,n/a,Ghost,Justin Bieber,1,13855623,n/a,https://www.youtube.com/watch?v=Fp8msa5uYsc
10,11,Lyric Video |Shershaah|Sidharth Kiara|Tanishk B.|Jubin|Asees,Jubin Nautiyal & Asees Kaur & Tanishk Bagchi,7,13844092,0.07%,https://www.youtube.com/watch?v=orYf6VDtj_k
11,1,The Feels,TWICE,2,13739329,-0.62%,https://www.youtube.com/watch?v=f5_wn8mexmM
12,9,Bachpan Ka Pyaar,Badshah & Aastha Gill & Sahdev Dirdo & Rico,10,12603804,-0.03%,https://www.youtube.com/watch?v=k7QniTYNsmQ
13,10,Pepas (Official Video),Farruko,10,12536417,-0.03%,https://www.youtube.com/watch?v=y8trd3gjJt0
14,13,Love Nwantiti (Acoustic Version),CKay,5,11740024,-0.05%,https://www.youtube.com/watch?v=QEbBuW8u1bA
15,12,Love Nwantiti Remix [Ah Ah Ah],CKay,5,11447347,-0.09%,https://www.youtube.com/watch?v=D-YDEyuDxWU
16,36,Lo Siento BB:/ (Official Video),Tainy & Bad Bunny & Julieta Venegas,2,11079612,0.44%,https://www.youtube.com/watch?v=NO7EtdR3Dyw
17,n/a,,,1,10792542,n/a,n/a
18,15,Kanta Laga,Tony Kakkar & Yo Yo Honey Singh & Neha Kakkar,6,10763806,-0.04%,https://www.youtube.com/watch?v=vMwjT26baE0
19,n/a,Full Song| Mimi |Kriti Pankaj T.| A.R. Rahman |Shreya |Amitabh,Shreya Ghoshal & A.R. Rahman,1,10760878,n/a,https://www.youtube.com/watch?v=nfNc0XJdZWk
20,14,Param Sundari,Shreya Ghoshal & A.R. Rahman,13,10749636,-0.11%,https://www.youtube.com/watch?v=w4ClQO0FFQg
21,17,Manike Mage Hithe,Chamath Sangeeth & Yohani & Satheeshan,10,10202661,-0.03%,https://www.youtube.com/watch?v=PgCliOxl41o
22,20,Terre Pyaar Mein,Himesh Reshammiya,8,10101502,0.05%,https://www.youtube.com/watch?v=ia5CdcuqSWk
23,19,Pepas (Audio),Farruko,13,10010216,0.02%,https://www.youtube.com/watch?v=kcYS_cUwr-8
24,n/a,Tamed-Dashed (Japanese Ver.),ENHYPEN,1,9854034,n/a,https://www.youtube.com/watch?v=6IRsW_TkyVA
25,n/a,Chura Liya,Sachet Parampara & Sachet Tandon,1,9729439,n/a,https://www.youtube.com/watch?v=Gf0oGsA7DSE
26,22,Yonaguni,Bad Bunny,19,9346197,-0.01%,https://www.youtube.com/watch?v=doLMt10ytHY
27,n/a,Srivalli,Sid Sriram,1,9294897,n/a,https://www.youtube.com/watch?v=5IEbR79kBPY
28,24,INDUSTRY BABY (Official Video),Jack Harlow & Lil Nas X,12,9242129,-0.02%,https://www.youtube.com/watch?v=UTHLKHL_whs
29,n/a,Boyz (Official Video),Nicki Minaj & Jesy Nelson,1,9233098,n/a,https://www.youtube.com/watch?v=u884fEIPY3g
30,21,Qué Más Pues? (Official Video),J Balvin & Maria Becerra,20,8847799,-0.07%,https://www.youtube.com/watch?v=zisuhZqTeH4
31,16,Life Goes On,Oliver Tree,7,8763912,-0.18%,https://www.youtube.com/watch?v=8F2s8ivKXNY
32,n/a,Who Want Smoke?? (Directed by Cole Bennett),Nardo Wick,1,8719227,n/a,https://www.youtube.com/watch?v=U2SNwtE-0Us
33,52,Per Vachaalum Vaikkaama (From "Dikkiloona"),S. Janaki & Yuvan Shankar Raja & Ilaiyaraaja & Malaysia Vasudevan,4,8685236,0.27%,https://www.youtube.com/watch?v=-BUDo3mow00
34,26,Paani Paani - Lofi,Badshah & Aastha Gill,18,8478300,-0.04%,https://www.youtube.com/watch?v=nFjVlf2r9_Q
35,59,Coração Cachorro,Matheus Fernandes & Ávine Vinny,2,8441648,0.32%,https://www.youtube.com/watch?v=pGttcnBBzW4
36,23,Sakhiyan2.0,Maninder Buttar Zara Khan,9,8326936,-0.12%,https://www.youtube.com/watch?v=PO6nynliE0Q
37,77,Ptazeta: Bzrp Music Sessions Vol. 45,Ptazeta & Bizarrap,2,7970716,0.53%,https://www.youtube.com/watch?v=yLX87IkvT8I
