Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,1,60538434,n/a,https://www.youtube.com/watch?v=CocEMWdc7Ck
2,1,Besharam Rang,Shilpa Rao & Caralisa Monteiro & Vishal Dadlani & Sheykhar Ravjiani,4,25107330,-0.19%,https://www.youtube.com/watch?v=huxhqphtDrM
3,3,Maan Meri Jaan,King,9,24641083,0.01%,https://www.youtube.com/watch?v=VuG7ge_8I2Y
4,2,Jhoome Jo Pathaan,Vishal - Shekhar & Arijit Singh & Sukriti Kakkar & Vishal Dadlani & Sheykhar Ravjiani,3,20989087,-0.15%,https://www.youtube.com/watch?v=YxWlaYCA8MU
5,4,Calm Down,Rema & Selena Gomez,19,14987666,0.09%,https://www.youtube.com/watch?v=WcIcVapfqXw
6,21,Bebe Dame,Fuerza Regida & Grupo Frontera,2,14461931,0.51%,https://www.youtube.com/watch?v=Oie--p6YqJo
7,6,Qué Agonía,Ángela Aguilar & Yuridia,12,14214116,0.08%,https://www.youtube.com/watch?v=Q8xIa7KcI1A
8,9,QUE VUELVAS,Grupo Frontera & Carin Leon,4,13239578,0.08%,https://www.youtube.com/watch?v=gG3516BF5_w
9,5,Calm Down,Rema,34,11037711,-0.18%,https://www.youtube.com/watch?v=CQLsdm1ZYAw
10,51,Leão,Marília Mendonça,2,10895965,0.73%,https://www.youtube.com/watch?v=tI55Zu9uZEM
11,12,La jumpa,Arcangel & Bad Bunny,6,10741367,-0.04%,https://www.youtube.com/watch?v=S0_888ZjlAA
12,10,No Se Va (En Vivo),Grupo Frontera,17,10568346,-0.13%,https://www.youtube.com/watch?v=VtKcDwz6hiM
13,19,Ranjithame,M.M. Manasi & Thalapathy Vijay,10,10387718,-0.01%,https://www.youtube.com/watch?v=zuVV9Y55gvc
14,15,La Bachata,Manuel Turizo,26,10141383,-0.08%,https://www.youtube.com/watch?v=TiM_TFpT_DE
15,n/a,Panche Ke Nache Aiha,Shilpi Raj & Pawan Singh,1,9882883,n/a,https://www.youtube.com/watch?v=0c7vj-y5QCs
16,16,Roça Em Mim,Zé Felipe & Luan Pereira & Ana Castela,8,9858848,-0.1%,https://www.youtube.com/watch?v=5fI3cK7iDeg
17,8,Gatita,Bellakath,6,9835476,-0.2%,https://www.youtube.com/watch?v=msVB4L2Hrfk
18,20,Hey mor,Ozuna,13,9629219,-0.01%,https://www.youtube.com/watch?v=7ouFkoU8Ap8
19,7,Me porto bonito,Bad Bunny,30,9467089,-0.25%,https://www.youtube.com/watch?v=saGYMhApaH8
20,17,DESPECHÁ,ROSALÍA,23,9144840,-0.15%,https://www.youtube.com/watch?v=5g2hT4GmAGU
21,28,12 Ladke,Tony Kakkar & Neha Kakkar,4,9107663,0.04%,https://www.youtube.com/watch?v=UBOHA9a5NIQ
22,11,का पॉवरफुल #VIDEO | हरी हरी ओढ़नी | Bhojpuri Song,Anupma Yadav & Pawan Singh,10,8863492,-0.24%,https://www.youtube.com/watch?v=sABN7goDbZ8
23,24,Shut Down,BLACKPINK,17,8810527,-0.03%,https://www.youtube.com/watch?v=POe9SOEKotk
24,27,Feliz Cumpleaños Ferxxo,Feid,21,8746833,-0.02%,https://www.youtube.com/watch?v=jRxDUsGmwuc
25,29,Pink Venom,BLACKPINK,21,8557212,-0.02%,https://www.youtube.com/watch?v=gQlMMD8auMs
26,14,Tití me preguntó,Bad Bunny,33,8076107,-0.27%,https://www.youtube.com/watch?v=Cr8K88UcO0s
27,23,GATÚBELA,KAROL G & Maldy,20,8059545,-0.12%,https://www.youtube.com/watch?v=SK37InR9j38
