Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,2,Con Altura (Official Video),ROSALÍA,12,49807968,0.11%,https://www.youtube.com/watch?v=p7bfOZek9t4
2,1,Con Calma (Remix),Daddy Yankee,21,45772778,-0.07%,https://www.youtube.com/watch?v=DiItGE3eAyQ
3,n/a,You Need To Calm Down,Taylor Swift,1,42023666,n/a,https://www.youtube.com/watch?v=Dkk9gvTmCXY
4,4,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,5,37825324,0.1%,https://www.youtube.com/watch?v=w2C6RhQBYlg
5,6,Calma (Remix - Official Video),Pedro Capó & Farruko,35,30768128,-0.04%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
6,7,Te robaré,Nicky Jam & Ozuna,11,30503661,0.04%,https://www.youtube.com/watch?v=aA_kuFTV-P8
7,5,Otro trago,Sech,8,25796263,-0.24%,https://www.youtube.com/watch?v=t_qn-f7XfJo
8,11,Callaita,Bad Bunny & Tainy,3,25499142,0.13%,https://www.youtube.com/watch?v=acEOASYioGY
9,n/a,Olabilir,MERO,1,25133907,n/a,https://www.youtube.com/watch?v=W1obTj5uso8
10,12,11 PM (Official Video),Maluma,5,24184644,0.08%,https://www.youtube.com/watch?v=IBaSizQyC5g
11,10,bad guy (Official Music Video),Billie Eilish,12,22510038,0%,https://www.youtube.com/watch?v=DyDfgMOUjCI
12,18,Boy With Luv,BTS,10,20642037,0.15%,https://www.youtube.com/watch?v=XsX3ATc3FbA
13,n/a,Cúrame (Official Video),Prince Royce,1,19578501,n/a,https://www.youtube.com/watch?v=8DdKe4bPELU
14,14,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,5,19103461,-0.13%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
15,13,Vaaste,Nikhil D'Souza & Dhvani Bhanushali,11,18929395,-0.15%,https://www.youtube.com/watch?v=BBAyRBTfsOU
16,9,Te soñé de nuevo,Ozuna,2,17764793,-0.32%,https://www.youtube.com/watch?v=eKaD_-Tl544
17,17,HP (Official Video),Maluma,16,17229957,-0.1%,https://www.youtube.com/watch?v=iMEhjsiHbwM
18,21,I Don't Care,Ed Sheeran & Justin Bieber,5,16090942,0.04%,https://www.youtube.com/watch?v=y83x7MgzWOA
19,19,Secreto,KAROL G & Anuel AA,23,15998338,-0.07%,https://www.youtube.com/watch?v=gFZfwWZV074
20,20,Kill This Love,BLACKPINK,12,15894284,-0.07%,https://www.youtube.com/watch?v=2S24-y0Ij3Y
21,22,Todo Mundo Vai Sofrer (Ao Vivo),Marília Mendonça,5,15810230,0.04%,https://www.youtube.com/watch?v=ILADw1aretk
22,n/a,أصيل هميم - سر الحياة | 2019 | Aseel Hameem - Ser Alhayah,Aseel Hameem,1,15772500,n/a,https://www.youtube.com/watch?v=uVxij4NespQ
23,n/a,Jugraafiya,Shreya Ghoshal & Udit Narayan,1,15596443,n/a,https://www.youtube.com/watch?v=yyUodifWNxU
24,25,Dheeme Dheeme,Tony Kakkar,5,15193985,0.05%,https://www.youtube.com/watch?v=9mWdw-09dso
25,16,Tal vez,Paulo Londra,12,14606548,-0.25%,https://www.youtube.com/watch?v=NPpELzyP4rw
26,n/a,You Need To Calm Down (Lyric Video),Taylor Swift,1,14335381,n/a,https://www.youtube.com/watch?v=GWtfOHBF1_w
27,n/a,Tera Ban Jaunga (From "Kabir Singh"),Akhil Sachdeva & Tulsi Kumar,1,14002864,n/a,https://www.youtube.com/watch?v=avVg3pLj_Po
28,n/a,Zimzalabim,Red Velvet,1,14001600,n/a,https://www.youtube.com/watch?v=YBnGBb1wg98
29,31,Not Ok,Chelsea Cutler & Kygo,3,13752401,0.1%,https://www.youtube.com/watch?v=MFdzgnMOmlw
30,23,Soltera (remix),Lunay & Bad Bunny & Daddy Yankee,6,13599602,-0.08%,https://www.youtube.com/watch?v=8zQTfGbyY5I
31,n/a,I'm OK,Little Big,1,13533478,n/a,https://www.youtube.com/watch?v=SsFI40bXROs
32,27,ชอบแบบนี้,หนามเตย,7,13440241,-0.01%,https://www.youtube.com/watch?v=n32PxBLrut4
33,n/a,Loco Contigo,DJ Snake & J Balvin,1,13304270,n/a,https://www.youtube.com/watch?v=zNl00mOSnJI
34,n/a,Bounce Back (Official Video),Little Mix,1,13290533,n/a,https://www.youtube.com/watch?v=fnGHESypBuU
35,3,Zindagi Di Paudi (From "Blessed"),Millind Gaba,3,13270109,-0.63%,https://www.youtube.com/watch?v=NzpkclSyDNs
36,26,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,35,12933653,-0.05%,https://www.youtube.com/watch?v=ApXoWvfEYVU
37,29,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,37,12933170,0%,https://www.youtube.com/watch?v=ixkoVwKQaJg
38,28,Ve Maahi (Kesari),Asees Kaur,13,12044641,-0.09%,https://www.youtube.com/watch?v=j6muwUGdvXw
39,34,Ocean,KAROL G,7,11706572,-0.05%,https://www.youtube.com/watch?v=gyY5Z0TUWRY
40,48,Cobaia (Ao Vivo),Lauana Prado,14,11266304,0.17%,https://www.youtube.com/watch?v=-ZByWa9hH5s
