Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,10,El Jefe,Shakira & Fuerza Regida,2,3858241,1.13%,https://www.youtube.com/watch?v=7oTlx5YC2P4
2,1,Rich Men North Of Richmond,Oliver Anthony Music,6,2974025,-0.09%,https://www.youtube.com/watch?v=sqSA-SY5Hro
3,3,EL AMOR DE SU VIDA,Grupo Frontera & Grupo Firme,8,2781375,0.07%,https://www.youtube.com/watch?v=Vr1M_l-1wjc
4,4,Paint The Town Red,Doja Cat,8,2288978,0.03%,https://www.youtube.com/watch?v=m4_9TFeMfJE
5,5,Favorite Song,Toosii,28,2181490,0.06%,https://www.youtube.com/watch?v=4D89Qr5vH6U
6,2,Por Mi México (Remix),MC Davo & Dharius & C-Kan & Lefty Sm & Neto Peña & Santa Fe Klan,5,2134102,-0.25%,https://www.youtube.com/watch?v=HEi7DYfYIXg
7,n/a,Agora Hills,Doja Cat,1,2032167,n/a,https://www.youtube.com/watch?v=0c66ksfigtU
8,6,MI EX TENÍA RAZÓN (Official Video),KAROL G,7,2009760,0.03%,https://www.youtube.com/watch?v=VBcs8DZxBGc
9,7,All My Life,Lil Durk,20,1954970,0.01%,https://www.youtube.com/watch?v=Z4N8lzKNfy4
10,12,La Bebe (Remix),Yng Lvcas & Peso Pluma,27,1938149,0.09%,https://www.youtube.com/watch?v=3mchJ-EW9rM
11,11,LADY GAGA,Peso Pluma & Gabito Ballesteros & Junior H,10,1897683,0.05%,https://www.youtube.com/watch?v=3Wnso2A4PZE
12,27,Según Quién,Maluma & Carin Leon,2,1896646,0.48%,https://www.youtube.com/watch?v=69lO08ar-mI
13,14,un x100to,Grupo Frontera & Bad Bunny,24,1863609,0.07%,https://www.youtube.com/watch?v=3inw26U-os4
14,9,Ella Baila Sola,Eslabón Armado & Peso Pluma,25,1727585,-0.05%,https://www.youtube.com/watch?v=lZiaYpD9ZrI
15,16,Last Night,Morgan Wallen,31,1706047,0.09%,https://www.youtube.com/watch?v=bUjPPBxbQrQ
16,15,Thang For You,Rylo Rodriguez,14,1686138,0%,https://www.youtube.com/watch?v=hpK16l6fDsg
17,71,ONE MORE TIME,blink-182,2,1649280,1.06%,https://www.youtube.com/watch?v=fSKQRDq3RkM
18,18,Primera Cita,Carin Leon,14,1608004,0.06%,https://www.youtube.com/watch?v=jhMiIUb2GEA
19,19,Qué Onda Perdida,Grupo Firme & Gerardo Coronel,26,1606876,0.07%,https://www.youtube.com/watch?v=1WPWhghNipM
20,n/a,UN PREVIEW,Bad Bunny,1,1525427,n/a,https://www.youtube.com/watch?v=Ll2rA7IpeNI
21,20,Put It On Da Floor Again,Latto,17,1520826,0.04%,https://www.youtube.com/watch?v=-WtNCR3EDS4
22,21,RUBICON,Peso Pluma,14,1494372,0.03%,https://www.youtube.com/watch?v=2t4s1peIZfU
23,n/a,MIA,Yailin la Mas Viral,1,1449473,n/a,https://www.youtube.com/watch?v=68jHWZ-MxhU
24,25,LALA,Myke Towers,9,1441052,0.06%,https://www.youtube.com/watch?v=BVdngsy95mY
25,23,Johnny Dang (ChopNotSlop Remix),That Mexican OT,18,1439026,0.04%,https://www.youtube.com/watch?v=tvmUrOSahsc
26,30,Good Good,Usher & Summer Walker & 21 Savage,5,1438897,0.16%,https://www.youtube.com/watch?v=7jA-tE-4BYI
27,52,Great Gatsby,Rod Wave,2,1385856,0.38%,https://www.youtube.com/watch?v=nM6ayGKXFCw
28,8,Bongos,Cardi B,3,1354636,-0.26%,https://www.youtube.com/watch?v=Ux1f1Q8Zxhk
29,n/a,Testimony,YoungBoy Never Broke Again,1,1330981,n/a,https://www.youtube.com/watch?v=M5yUREDeIuI
30,29,Deli,Ice Spice,10,1275810,0.02%,https://www.youtube.com/watch?v=UqmUxkRPBS0
31,38,TQG,Shakira & KAROL G,31,1262924,0.11%,https://www.youtube.com/watch?v=jZGpkLElSu8
32,31,QUE VUELVAS,Grupo Frontera & Carin Leon,42,1252659,0.01%,https://www.youtube.com/watch?v=gG3516BF5_w
33,36,Tulum,Peso Pluma & Grupo Frontera,13,1244472,0.08%,https://www.youtube.com/watch?v=mG_RN0oB4oE
34,22,Call Your Friends,Rod Wave,6,1225853,-0.11%,https://www.youtube.com/watch?v=kC8YEw9h2-Q
35,28,Snooze,SZA,5,1187427,-0.07%,https://www.youtube.com/watch?v=LDY_XyxBu8A
36,13,Checkmate,Rod Wave,3,1153868,-0.34%,https://www.youtube.com/watch?v=FRuKYOzeoRk
37,47,Qué Agonía,Ángela Aguilar & Yuridia,44,1116339,0.05%,https://www.youtube.com/watch?v=Q8xIa7KcI1A
38,39,Peaches & Eggplants (Official Video),Young Nudy,14,1107576,-0.02%,https://www.youtube.com/watch?v=pGsetzZscws
39,46,B**** Let's Do It,YoungBoy Never Broke Again,21,1098153,0.03%,https://www.youtube.com/watch?v=pjXdDjUWkjk
40,49,PRC,Peso Pluma & Natanael Cano,29,1092199,0.05%,https://www.youtube.com/watch?v=kJflWOiAc6I
41,n/a,Thinkin’ Bout Me,Morgan Wallen,21,1084355,n/a,https://www.youtube.com/watch?v=5DCdL1zdpdM
42,45,Bebe Dame,Fuerza Regida & Grupo Frontera,32,1067785,-0.01%,https://www.youtube.com/watch?v=Oie--p6YqJo
43,41,Fight The Feeling,Rod Wave,24,1059775,-0.05%,https://www.youtube.com/watch?v=6dW4d0IcQ3k
44,40,Where You Are (From "Moana"/Sing-Along),Auliʻi Cravalho & Louise Bush & Christopher Jackson & Nicole Scherzinger & Rachel House,6,1056620,-0.06%,https://www.youtube.com/watch?v=RTWhvp_OD6s
45,34,Peaches & Eggplants (Remix),Young Nudy,3,1054795,-0.1%,https://www.youtube.com/watch?v=fTXsU-ZiIZA
46,43,Ahogándome en Alcohol,Lefty Sm & Luis R Conriquez,4,1043854,-0.03%,https://www.youtube.com/watch?v=8SzLgRtiGTo
47,56,"NEED A FAVOR" (Official Music Video),Jelly Roll,17,1042953,0.07%,https://www.youtube.com/watch?v=P1nRboaLTzU
48,50,fukumean,Gunna,13,1031775,0.01%,https://www.youtube.com/watch?v=l21wGxlWwPw
49,54,NUEVA VIDA (Bandidos Version),Peso Pluma,14,1009502,0.02%,https://www.youtube.com/watch?v=qkXIRZKSQ3k
50,48,Barbie World,Nicki Minaj & Ice Spice,14,1006974,-0.04%,https://www.youtube.com/watch?v=CUj2AWEJnwQ
51,44,BIPOLAR,Peso Pluma & Jasiel Nuñez & Junior H,3,992920,-0.08%,https://www.youtube.com/watch?v=xjkeSrj-u-A
52,17,Boyz Don't Cry,Rod Wave,3,974631,-0.37%,https://www.youtube.com/watch?v=-Hu_Q4W8M6g
53,60,LADY GAGA,Peso Pluma & Gabito Ballesteros & Junior H,13,966046,0.07%,https://www.youtube.com/watch?v=S_ppaN7zmdg
54,59,SkeeYee (Radio Edit),Sexyy Red,15,917537,0.01%,https://www.youtube.com/watch?v=Id5Mh2T7rWc
55,32,Red Flags,Tom Cardy,11,916751,-0.25%,https://www.youtube.com/watch?v=GFokXnCCMf8
56,57,QLONA,KAROL G & Peso Pluma,7,911947,-0.05%,https://www.youtube.com/watch?v=BeUOBoSPWvA
57,67,SABOR FRESA,Fuerza Regida,14,911752,0.09%,https://www.youtube.com/watch?v=r83dUG7YbKA
58,42,Come See Me,Rod Wave,4,899656,-0.18%,https://www.youtube.com/watch?v=GHVDVz5Kcqg
59,53,I Want to Go Home,Oliver Anthony Music,5,887489,-0.1%,https://www.youtube.com/watch?v=xB9n0XA8dks
60,n/a,Race War,Tom MacDonald & Adam Calhoun,1,879147,n/a,https://www.youtube.com/watch?v=L1cpZj9RKwc
61,68,Turn Your Clic Up,Quavo & Future,11,878098,0.05%,https://www.youtube.com/watch?v=zLC-7Il-uYg
62,61,Que Bonita,Lefty Sm,3,865466,-0.02%,https://www.youtube.com/watch?v=w07y9YG-w_A
63,91,Steal The Show,Lauv,10,860273,0.35%,https://www.youtube.com/watch?v=DwuJeGYlYyw
64,66,Blank Space,Taylor Swift,16,853125,0.01%,https://www.youtube.com/watch?v=e-ORhEE9VVg
65,64,Bye,Peso Pluma,18,848622,0%,https://www.youtube.com/watch?v=8ttz1wdViys
66,72,Mood Malandro,Código FN & Gabito Ballesteros,5,824306,0.03%,https://www.youtube.com/watch?v=WQlUr8E31Bw
67,69,Try That In A Small Town,Jason Aldean,11,810710,-0.02%,https://www.youtube.com/watch?v=b1_RKu-ESCY
68,74,TQM,Fuerza Regida,19,786378,0.03%,https://www.youtube.com/watch?v=DzTNN5Zzpok
69,70,F*ck U Thought,Lil Durk,6,778321,-0.05%,https://www.youtube.com/watch?v=-jEShhcnxIM
70,81,On My Mama,Victoria Monét,6,776810,0.11%,https://www.youtube.com/watch?v=KdJ-Qwu3y4Y
71,80,Hotel California (Live at Capital Centre Washington D.C. 3/21/1977),Eagles,13,771192,0.1%,https://www.youtube.com/watch?v=09839DpTctU
72,35,Long Journey,Rod Wave,2,740048,-0.36%,https://www.youtube.com/watch?v=vhUD-j1JWGo
73,n/a,Te felicito,Gerardo Coronel,24,738563,n/a,https://www.youtube.com/watch?v=UDk6PpZUXSM
74,77,PESO PLUMA: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,18,738390,0.03%,https://www.youtube.com/watch?v=v5_SYkFpFiY
75,89,Mama,Rob49 & Tay B & Skilla Baby,4,730611,0.13%,https://www.youtube.com/watch?v=6Uq8wJ2effg
76,55,Turks & Caicos,Rod Wave,2,729429,-0.25%,https://www.youtube.com/watch?v=ltxOOGKZLs0
77,85,Abcdario,Edén Muñoz & Junior H,15,721825,0.05%,https://www.youtube.com/watch?v=aLXONLMWe44
78,26,September,Earth Wind & Fire,8,711222,-0.45%,https://www.youtube.com/watch?v=Gs069dndIYk
79,n/a,CG5 - we live we love we lie (song),CG5,1,708882,n/a,https://www.youtube.com/watch?v=kvaSWGOAb-Y
80,84,PLEBADA,Peso Pluma & El Alfa,16,701213,0.02%,https://www.youtube.com/watch?v=f7XYWF4fpik
81,n/a,Y.O.Universe,VCHA,1,694794,n/a,https://www.youtube.com/watch?v=M8EsxRh0zOc
82,76,What Was I Made For? (Official Music Video),Billie Eilish,12,683812,-0.05%,https://www.youtube.com/watch?v=cW8VLC9nnTo
83,37,Hellcats SRTs 2,Sexyy Red,2,671069,-0.41%,https://www.youtube.com/watch?v=cn8jMvmCEzQ
84,97,No Es Mentira (Version Norteña),Los Primos del Este,2,670279,0.08%,https://www.youtube.com/watch?v=-Cc9o0bPlEk
85,90,Daylight,David Kushner,6,668754,0.04%,https://www.youtube.com/watch?v=MoN9ql6Yymw
86,94,Someone You Loved,Lewis Capaldi,8,665133,0.05%,https://www.youtube.com/watch?v=zABLecsR5UE
87,96,Mi Bello Angel,Natanael Cano,9,664530,0.07%,https://www.youtube.com/watch?v=hkrBbBJg3S4
88,n/a,Big Dawg (Official Music Video),CMG The Label & Moneybagg Yo & Sexyy Red,1,659401,n/a,https://www.youtube.com/watch?v=8VIXb1fxfIE
89,82,Barbie Girl,Aqua,12,655055,-0.06%,https://www.youtube.com/watch?v=ZyhrYis509A
90,87,Lagunas,Peso Pluma & Jasiel Nuñez,11,652467,0.01%,https://www.youtube.com/watch?v=fGIWsQDif_M
91,95,In the End,Linkin Park,13,642685,0.02%,https://www.youtube.com/watch?v=eVTXPUF4Oz4
92,86,You (Official Music Video),Lloyd,11,636625,-0.05%,https://www.youtube.com/watch?v=YVLHaqeJzEk
93,51,get him back!,Olivia Rodrigo,3,632975,-0.38%,https://www.youtube.com/watch?v=ZsJ-BHohXRI
94,n/a,Frágil,Yahritza Y Su Esencia & Grupo Frontera,18,627915,n/a,https://www.youtube.com/watch?v=MtPgcgcZZEc
95,n/a,F My BM (Official Music Video),Moneybagg Yo,10,626350,n/a,https://www.youtube.com/watch?v=8thShXdjsf0
96,n/a,Dance The Night (From Barbie The Album),Dua Lipa,10,625704,n/a,https://www.youtube.com/watch?v=OiC1rgCPmUQ
