Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,thank u next (Official Video),Ariana Grande,1,39523454,n/a,https://www.youtube.com/watch?v=gl1aHhXnN1k
2,2,SICKO MODE,Travis Scott,7,8152660,0.39%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
3,31,Good Form,Nicki Minaj,2,7669239,2.05%,https://www.youtube.com/watch?v=M8GX0cZ-xtw
4,1,Mo Bamba,Sheck Wes,13,7205420,-0.01%,https://www.youtube.com/watch?v=VWoIpDVkOH0
5,3,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,28,6241310,0.1%,https://www.youtube.com/watch?v=aJOTlE1K90k
6,14,That's On Me (Remix),Yella Beezy,6,5814560,0.63%,https://www.youtube.com/watch?v=s8QSTerhk8E
7,6,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,9,5489826,0.12%,https://www.youtube.com/watch?v=ixkoVwKQaJg
8,5,Wake Up in the Sky,Gucci Mane & Bruno Mars & Kodak Black,6,5414528,0.04%,https://www.youtube.com/watch?v=U68MJz9DrI4
9,8,FEFE,6ix9ine,19,4807103,0.03%,https://www.youtube.com/watch?v=V_MXGdSBbAI
10,10,MIA,Drake & Bad Bunny,9,4775138,0.11%,https://www.youtube.com/watch?v=OSUxrSe5GbI
11,7,Taste (Official Video),Tyga,28,4762163,0.02%,https://www.youtube.com/watch?v=LjxulQ1bEWg
12,4,Better (Official Video),Khalid,4,4718804,-0.12%,https://www.youtube.com/watch?v=x3bfa3DZ8JM
13,13,Leave Me Alone,Flipp Dinero,2,3962025,0.04%,https://www.youtube.com/watch?v=qu0CxX8GJj8
14,20,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,7,3614132,0.14%,https://www.youtube.com/watch?v=ApXoWvfEYVU
15,18,Boo'd Up,Ella Mai,32,3325876,-0.01%,https://www.youtube.com/watch?v=6YNZlXfW6Ho
16,19,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,34,3285776,0%,https://www.youtube.com/watch?v=9jI-z9QN6g8
17,12,when the party's over (Official Music Video),Billie Eilish,6,3230921,-0.17%,https://www.youtube.com/watch?v=pbMwTqkKSps
18,23,Freestyle,Lil Baby,18,3156110,0.01%,https://www.youtube.com/watch?v=MHryuYVyHhk
19,17,Arms Around You,Lil Pump & XXXTENTACION,3,3143747,-0.09%,https://www.youtube.com/watch?v=tLNOce4Y4uc
20,15,Ring,Cardi B,16,3060085,-0.14%,https://www.youtube.com/watch?v=kcRWyLMVrFM
21,9,ZEZE,Kodak Black,2,2974790,-0.35%,https://www.youtube.com/watch?v=EfHNIPXTxy0
22,26,Eastside (acoustic),Khalid & Halsey,18,2967210,0.07%,https://www.youtube.com/watch?v=56WBK4ZK_cw
23,27,STOOPID,6ix9ine,9,2947202,0.06%,https://www.youtube.com/watch?v=VDa5iGiPgGs
24,n/a,Nothing Breaks Like a Heart (Official Video),Mark Ronson,1,2920472,n/a,https://www.youtube.com/watch?v=A9hcJgtnm6Q
25,11,Dangerous,Meek Mill,4,2847393,-0.33%,https://www.youtube.com/watch?v=stcIiJbwpio
26,47,Culpables (Official Video),KAROL G & Anuel AA,12,2748275,0.38%,https://www.youtube.com/watch?v=xfdG6vwIGGU
27,44,All I Want For Christmas Is You (Official Video),Mariah Carey,14,2743627,0.3%,https://www.youtube.com/watch?v=yXQViqx6GMY
28,21,Hypnotized,YoungBoy Never Broke Again,3,2740962,-0.13%,https://www.youtube.com/watch?v=bB6uYr599qE
29,24,I Like It,Bad Bunny & Cardi B & J Balvin,28,2735864,-0.02%,https://www.youtube.com/watch?v=xTlNMmZKwpA
30,32,BEBE,6ix9ine,14,2718173,0.1%,https://www.youtube.com/watch?v=ycV6cnK3SIs
31,28,Lucid Dreams,Juice WRLD,6,2667099,-0.03%,https://www.youtube.com/watch?v=mzB1VGEGcSU
32,30,Backin' It Up,Pardison Fontaine,11,2666927,0%,https://www.youtube.com/watch?v=hDfsD6G8E_g
33,16,Trip,Ella Mai,11,2593154,-0.25%,https://www.youtube.com/watch?v=W16bk86xIY0
34,n/a,,,1,2567433,n/a,n/a
35,35,YNW Melly - Murder On My Mind [Official Video],YNW Melly,17,2532821,0.06%,https://www.youtube.com/watch?v=hqDinxaPUK4
36,22,Armed And Dangerous,Juice WRLD,4,2524031,-0.2%,https://www.youtube.com/watch?v=cr82wSBZeeQ
37,42,High Hopes,Panic! At The Disco,11,2461880,0.11%,https://www.youtube.com/watch?v=IPXIgEAGe4U
38,36,Heaven,Kane Brown,49,2445688,0.03%,https://www.youtube.com/watch?v=dRX0wDNK6S4
39,25,Dope Lamp,YoungBoy Never Broke Again,4,2438984,-0.13%,https://www.youtube.com/watch?v=LcZMCcbcPSc
40,29,No Mentions,YoungBoy Never Broke Again,14,2424345,-0.09%,https://www.youtube.com/watch?v=OjAJl5IkJXQ
41,n/a,Say My Name,David Guetta & Bebe Rexha & J Balvin,1,2375193,n/a,https://www.youtube.com/watch?v=ft4jcPSLJfY
42,n/a,YOSEMITE,Travis Scott,1,2374402,n/a,https://www.youtube.com/watch?v=PJWHAiDARMQ
43,38,Genie,YoungBoy Never Broke Again,36,2309231,0.01%,https://www.youtube.com/watch?v=nQ1mmVG-G1g
44,43,Moonlight (Instrumental),XXXTENTACION,10,2259382,0.04%,https://www.youtube.com/watch?v=GX8Hg6kWQYI
45,45,Without Me,Halsey,6,2226463,0.09%,https://www.youtube.com/watch?v=ZAfAud_M_mg
46,40,lovely (Official Music Video),Khalid & Billie Eilish,21,2206505,-0.01%,https://www.youtube.com/watch?v=V1Pl8CzNzCw
47,41,Oye Mujer,Raymix,26,2188926,-0.02%,https://www.youtube.com/watch?v=qqqMyxv5al4
48,48,Bubalu,DJ Luian & Prince Royce & Anuel AA & Becky G & Mambo Kingz,5,2173955,0.09%,https://www.youtube.com/watch?v=atNGFSCjwuc
49,50,Ella Quiere Beber (Remix),Anuel AA,5,2169195,0.1%,https://www.youtube.com/watch?v=0w3XwPVxcsw
50,71,She Got the Best of Me,Luke Combs,5,2108758,0.39%,https://www.youtube.com/watch?v=a2a9fgPI_PI
51,n/a,Luz Apaga,Ozuna,1,2058189,n/a,https://www.youtube.com/watch?v=TWsq3QPv_Oc
52,51,La Adictiva - En Peligro De Extinción (Video Oficial),La Adictiva,12,2055708,0.1%,https://www.youtube.com/watch?v=B4BDh41Y8hQ
53,39,I Love It,Kanye West & Lil Pump,13,2050388,-0.1%,https://www.youtube.com/watch?v=cwQgjq0mCdE
54,46,You,Jacquees,3,2032530,-0.01%,https://www.youtube.com/watch?v=-PLCJqiKbjw
55,49,Drip Too Hard,Gunna & Lil Baby,7,1935911,-0.03%,https://www.youtube.com/watch?v=_YzD9KW82sk
56,n/a,Without Me (Live From The Victoria’s Secret 2018 Fashion Show),Halsey,1,1918695,n/a,https://www.youtube.com/watch?v=CWlbjXwUMJI
57,37,Dip,Nicki Minaj & Tyga,6,1888007,-0.2%,https://www.youtube.com/watch?v=YyWru2XOiK0
58,57,Better Now,Post Malone,9,1796817,0.03%,https://www.youtube.com/watch?v=UYwF-jdcVjY
59,58,Asesina (remix),Darell & Anuel AA & Ozuna & Daddy Yankee & Brytiago,5,1795882,0.04%,https://www.youtube.com/watch?v=-wgz-PgW8B4
60,n/a,No Limit REMIX,G-Eazy,22,1753534,n/a,https://www.youtube.com/watch?v=l_lblj8Cq0o
61,63,Venom,Eminem,9,1720063,0.03%,https://www.youtube.com/watch?v=8CdcCD5V-d8
62,95,Little Drummer Boy,Pentatonix,11,1708244,0.4%,https://www.youtube.com/watch?v=qJ_MGWio-vc
63,80,In Case You Didn't Know,Brett Young,43,1685910,0.25%,https://www.youtube.com/watch?v=7qaHdHpSjX8
64,83,Hallelujah (Official Video),Pentatonix,18,1670530,0.28%,https://www.youtube.com/watch?v=LRP8d7hhpoQ
65,52,Aerolínea Carrillo,T3R Elemento,7,1661644,-0.1%,https://www.youtube.com/watch?v=aIyqRdrHodE
66,n/a,no tears left to cry (Official Video),Ariana Grande,25,1650131,n/a,https://www.youtube.com/watch?v=ffxKSjUwKdU
67,54,I Am Who They Say I Am,YoungBoy Never Broke Again,8,1646355,-0.09%,https://www.youtube.com/watch?v=gwiZhZSS-wk
68,76,Happier,Marshmello,11,1619126,0.17%,https://www.youtube.com/watch?v=m7Bc3pLyij0
69,69,Every Season,Roddy Ricch,5,1583526,0.01%,https://www.youtube.com/watch?v=jd-VdQNRUHs
70,55,Bohemian Rhapsody (live at Wembley Stadium / Saturday 12th July 1986),Queen,11,1581659,-0.12%,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
71,74,Say You Won't Let Go,James Arthur,18,1579137,0.1%,https://www.youtube.com/watch?v=0yW7w8F2TVA
72,n/a,Ares,KSI,1,1562974,n/a,https://www.youtube.com/watch?v=4CPzBQiz_Yk
73,61,Drawing Symbols,YoungBoy Never Broke Again,17,1554808,-0.08%,https://www.youtube.com/watch?v=GzjTHCpOtPQ
74,72,Alex Rose  ft. Cazzu Lenny Tavarez Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial],Rauw Alejandro & Alex Rose,18,1545277,0.03%,https://www.youtube.com/watch?v=lKDGxAHZt0E
75,70,RAP DEVIL,mgk,6,1530765,-0.02%,https://www.youtube.com/watch?v=Fp0BScQSSvg
