Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,7,"Baby" (Official Music Video),Quality Control & DaBaby & Lil Baby,3,7237594,0.59%,https://www.youtube.com/watch?v=0GbwYFqN1iE
2,51,Lover (Official Music Video),Taylor Swift,2,5855564,2.59%,https://www.youtube.com/watch?v=-BjZmE2gtdo
3,2,Queen of Mean (From "Descendants 3"),Sarah Jeffery,4,5792191,-0.07%,https://www.youtube.com/watch?v=r9o1QS-itsU
4,n/a,Throw It Back,Missy Elliott,1,5780615,n/a,https://www.youtube.com/watch?v=9rOKdATrV4g
5,9,Truth Hurts,Lizzo,16,4952335,0.18%,https://www.youtube.com/watch?v=P00HMxdsVZI
6,6,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,6,3931447,-0.15%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
7,12,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,45,3539588,-0.04%,https://www.youtube.com/watch?v=ApXoWvfEYVU
8,n/a,F.N (Official Video),Lil Tjay,1,3454027,n/a,https://www.youtube.com/watch?v=R9RtTGzs5EE
9,8,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,15,3373438,-0.21%,https://www.youtube.com/watch?v=w2C6RhQBYlg
10,13,Señorita,Shawn Mendes & Camila Cabello,10,3352436,-0.07%,https://www.youtube.com/watch?v=Pkh8UtuejGw
11,58,On Chill,Wale,2,3226355,1.19%,https://www.youtube.com/watch?v=iX9ICUr1yEw
12,10,Night Falls (From "Descendants 3"),Disney & Dylan Playfair & China Anne McClain & Dove Cameron & Cameron Boyce & Sofia Carson & Thomas Doherty & Booboo Stewart,4,3129885,-0.22%,https://www.youtube.com/watch?v=i8pK6qmtllU
13,16,Clout ft. Cardi B (Official Video),Offset,20,3067644,-0.07%,https://www.youtube.com/watch?v=mt2zvsvkKKo
14,18,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,15,2990635,-0.03%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
15,20,bad guy (Official Music Video),Billie Eilish,22,2957953,-0.01%,https://www.youtube.com/watch?v=DyDfgMOUjCI
16,17,Suge,DaBaby,26,2926950,-0.09%,https://www.youtube.com/watch?v=KvuQNNVrbtM
17,5,Juicy (Official Video),Doja Cat & Tyga,3,2904889,-0.38%,https://www.youtube.com/watch?v=YIALlhlyqO4
