Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Boy’s a liar Pt. 2,PinkPantheress & Ice Spice,8,3797911,-0.08%,https://www.youtube.com/watch?v=oftolPu9qp4
2,2,TQG,Shakira & KAROL G,5,3200050,-0.13%,https://www.youtube.com/watch?v=jZGpkLElSu8
3,7,Ella Baila Sola,Eslabón Armado & Peso Pluma,2,2895594,0.22%,https://www.youtube.com/watch?v=lSrLb_rERdI
4,n/a,DEATH,Melanie Martinez,1,2571990,n/a,https://www.youtube.com/watch?v=Nhx9QDuqpDM
5,6,QUE VUELVAS,Grupo Frontera & Carin Leon,16,2412718,0%,https://www.youtube.com/watch?v=gG3516BF5_w
6,4,Tomorrow 2,GloRilla & Cardi B,27,2347077,-0.08%,https://www.youtube.com/watch?v=zwa7NzNBQig
7,n/a,SORRY NOT SORRY,Tyler The Creator,1,2303526,n/a,https://www.youtube.com/watch?v=LSIOcCcEVaE
8,5,Flowers,Miley Cyrus,12,2288970,-0.06%,https://www.youtube.com/watch?v=G7KNmW9a75Y
9,n/a,BESO,ROSALÍA & Rauw Alejandro,1,2039150,n/a,https://www.youtube.com/watch?v=QXQQAsIhHMw
10,8,Bebe Dame,Fuerza Regida & Grupo Frontera,15,1947224,-0.13%,https://www.youtube.com/watch?v=Oie--p6YqJo
11,n/a,Like Crazy,Jimin,1,1919160,n/a,https://www.youtube.com/watch?v=nOI67IDlNMQ
12,n/a,DOGTOOTH,Tyler The Creator,1,1898889,n/a,https://www.youtube.com/watch?v=2TVXi_9Bvlg
13,13,Last Night,Morgan Wallen,5,1848419,0.08%,https://www.youtube.com/watch?v=bUjPPBxbQrQ
14,15,AMG,Peso Pluma & Natanael Cano & Gabito Ballesteros,16,1631814,-0.03%,https://www.youtube.com/watch?v=DWRj2BB8YHs
15,14,Under The Influence,Chris Brown,24,1606076,-0.06%,https://www.youtube.com/watch?v=pfxyk1glEq4
16,17,California Breeze,Lil Baby,24,1578674,-0.03%,https://www.youtube.com/watch?v=WyhU6Zb_fhY
17,10,Shorty Party,Cartel De Santa & La Kelly,4,1553434,-0.19%,https://www.youtube.com/watch?v=1ooy2CyFLH4
18,59,Favorite Song,Toosii,2,1550124,0.64%,https://www.youtube.com/watch?v=4D89Qr5vH6U
19,9,Dijeron que no la iba lograr,Chino Pacas & Fuerza Regida,3,1538843,-0.21%,https://www.youtube.com/watch?v=0JTu6lpx930
20,20,Qué Agonía,Ángela Aguilar & Yuridia,19,1521409,0.01%,https://www.youtube.com/watch?v=Q8xIa7KcI1A
21,26,Ch y la Pizza (Ao Vivo),Fuerza Regida & Natanael Cano,16,1514118,0.09%,https://www.youtube.com/watch?v=kMp_-ePwEC4
22,18,Calm Down,Rema & Selena Gomez,28,1485217,-0.06%,https://www.youtube.com/watch?v=WcIcVapfqXw
23,19,Just Wanna Rock,Lil Uzi Vert,19,1446149,-0.06%,https://www.youtube.com/watch?v=UhbixyxgsiU
24,21,El Gordo Trae El Mando,Chino Pacas,8,1445580,-0.03%,https://www.youtube.com/watch?v=uIuSv7NU2KU
25,n/a,La Bebe (Remix),Yng Lvcas & Peso Pluma,1,1428820,n/a,https://www.youtube.com/watch?v=3mchJ-EW9rM
26,29,Por Las Noches,Peso Pluma,5,1377783,0.13%,https://www.youtube.com/watch?v=acr5b7ZanDA
27,24,No Se Va (En Vivo),Grupo Frontera,31,1341312,-0.05%,https://www.youtube.com/watch?v=VtKcDwz6hiM
28,16,On Wat U On,Moneybagg Yo,12,1300192,-0.21%,https://www.youtube.com/watch?v=DMaZ_hRAu0A
29,56,Bzrp Music Sessions Vol. 54,Arcángel & Bizarrap,2,1291553,0.32%,https://www.youtube.com/watch?v=ntCZjb_AAWE
30,n/a,Don't Play With It (Remix),Lola Brooke,1,1275259,n/a,https://www.youtube.com/watch?v=ZuCnKQZ7_AE
31,28,Dame un Beso y Dime Adios,Carin Leon,15,1248595,-0.02%,https://www.youtube.com/watch?v=Awx2ejzQOFk
32,25,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,12,1245268,-0.11%,https://www.youtube.com/watch?v=CocEMWdc7Ck
33,30,Back End,Finesse2Tymes,35,1233993,0.02%,https://www.youtube.com/watch?v=Vzkr-G1QEh8
34,27,Kill Bill,SZA,12,1197928,-0.08%,https://www.youtube.com/watch?v=MSRcC626prw
35,n/a,Will You Help Me Repair My Door,Afroman,2,1172608,n/a,https://www.youtube.com/watch?v=oponIfu5L3Y
36,34,Yandel 150,Yandel & Feid,9,1168095,0.03%,https://www.youtube.com/watch?v=WHejvUhX6rk
37,37,Luh Tyler - Law & Order (Official Video),Luh Tyler,10,1157454,0.04%,https://www.youtube.com/watch?v=X9X_qq35OZg
