Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Life Is Good (Official Music Video),Future,1,13514354,n/a,https://www.youtube.com/watch?v=l0U7SxXHkPY
2,1,The Box,Roddy Ricch,6,8974507,0.14%,https://www.youtube.com/watch?v=uLHqpjW3aDs
3,2,Yummy (Official Video),Justin Bieber,2,5501236,-0.19%,https://www.youtube.com/watch?v=8EJ3zbKTWQ8
4,3,BOP,DaBaby,9,5284603,-0.05%,https://www.youtube.com/watch?v=28hYUZMufDg
5,n/a,Good News,Mac Miller,1,5246970,n/a,https://www.youtube.com/watch?v=aIHF7u9Wwiw
6,n/a,Rare (Official Music Video),Selena Gomez,1,4928847,n/a,https://www.youtube.com/watch?v=ia1iuXbEaYQ
7,4,Bandit,Juice WRLD & YoungBoy Never Broke Again,15,3878078,-0.05%,https://www.youtube.com/watch?v=Sw5fNI400E4
8,n/a,You should be sad,Halsey,1,3719007,n/a,https://www.youtube.com/watch?v=8nBFqZppIF0
9,5,Ballin’,Mustard,16,3515960,-0.03%,https://www.youtube.com/watch?v=YS0h2-hy9rw
10,6,Woah (Official Music Video),Lil Baby,6,3230073,-0.06%,https://www.youtube.com/watch?v=nUEqPtVGIpE
11,21,High Fashion,Roddy Ricch,3,3122960,0.67%,https://www.youtube.com/watch?v=iGU66wsjIPA
12,9,Bring 'Em Out,YoungBoy Never Broke Again,7,2786470,-0.07%,https://www.youtube.com/watch?v=HfSzJu7twjs
13,10,Into the Unknown (From "Frozen 2"),Idina Menzel & AURORA,7,2637188,-0.03%,https://www.youtube.com/watch?v=gIOyB9ZXn8s
14,n/a,,,1,2613241,n/a,n/a
15,n/a,Make No Sense,YoungBoy Never Broke Again,1,2583059,n/a,https://www.youtube.com/watch?v=SjVqZ6c35S0
16,n/a,21 Years,TobyMac,1,2450404,n/a,https://www.youtube.com/watch?v=eSV-pRGbg4k
17,14,Heart on Ice,Rod Wave,10,2439024,0.06%,https://www.youtube.com/watch?v=deMLg4FPFhQ
18,n/a,Diamonds,Megan Thee Stallion & Normani,1,2369205,n/a,https://www.youtube.com/watch?v=r1MxCSRWgI0
19,12,House Arrest Tingz,YoungBoy Never Broke Again,17,2349352,-0.03%,https://www.youtube.com/watch?v=ALimx-H8C6s
20,22,Tusa (Official Video),KAROL G & Nicki Minaj,10,2340544,0.26%,https://www.youtube.com/watch?v=tbneQDc2H3I
21,16,Dark Clouds,Rod Wave,9,2328456,0.08%,https://www.youtube.com/watch?v=nGxr8-l0vHI
22,13,Famous Hoes,NLE Choppa,6,2302726,-0.05%,https://www.youtube.com/watch?v=UJsllBQkcJg
23,15,Cuban Links,Rod Wave,13,2205291,-0.02%,https://www.youtube.com/watch?v=QVU1vUNT2QY
24,17,Panini (Official Video),Lil Nas X,20,2169401,0.03%,https://www.youtube.com/watch?v=bXcSLI58-h8
25,7,Futsal Shuffle 2020,Lil Uzi Vert,2,2138123,-0.37%,https://www.youtube.com/watch?v=nwE_BsjBSUw
26,27,HIGHEST IN THE ROOM (Official Music Video),Travis Scott,15,2086609,0.26%,https://www.youtube.com/watch?v=tfSS1e3kYeo
27,24,Dance Monkey,Tones And I,10,1952390,0.05%,https://www.youtube.com/watch?v=q0hyYWKXF0Q
28,19,Suge,DaBaby,46,1895884,-0.01%,https://www.youtube.com/watch?v=KvuQNNVrbtM
