Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,7 rings (Official Video),Ariana Grande,1,19726072,n/a,https://www.youtube.com/watch?v=QYh6mYIJG2Y
2,1,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,14,11035462,-0.03%,https://www.youtube.com/watch?v=ApXoWvfEYVU
3,5,Twerk ft. Cardi B (Official Music Video),City Girls,2,10014324,0.63%,https://www.youtube.com/watch?v=QryoOF5jEbc
4,2,Wake Up in the Sky,Gucci Mane & Bruno Mars & Kodak Black,13,8485137,-0.12%,https://www.youtube.com/watch?v=U68MJz9DrI4
5,3,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,35,6248504,-0.19%,https://www.youtube.com/watch?v=aJOTlE1K90k
6,8,That's On Me (Remix),Yella Beezy,13,5692396,0.26%,https://www.youtube.com/watch?v=s8QSTerhk8E
7,23,Secreto,KAROL G & Anuel AA,2,5396712,0.57%,https://www.youtube.com/watch?v=gFZfwWZV074
8,6,Taste (Official Video),Tyga,35,5385906,0.17%,https://www.youtube.com/watch?v=LjxulQ1bEWg
9,n/a,YNW Melly ft. Kanye West - Mixed Personalities (Directed by Cole Bennett),Lyrical Lemonade,1,5281645,n/a,https://www.youtube.com/watch?v=iFv6BXjnKRU
10,4,SICKO MODE,Travis Scott,14,5221646,-0.3%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
11,35,thank u next (Official Video),Ariana Grande,8,4422079,0.64%,https://www.youtube.com/watch?v=gl1aHhXnN1k
12,9,Valuable Pain,YoungBoy Never Broke Again,7,4399926,-0.02%,https://www.youtube.com/watch?v=jWu_GqHxmWQ
13,10,Mo Bamba,Sheck Wes,20,4049604,-0.1%,https://www.youtube.com/watch?v=VWoIpDVkOH0
14,36,Backin' It Up,Pardison Fontaine,18,3909745,0.45%,https://www.youtube.com/watch?v=hDfsD6G8E_g
15,n/a,New Drip,Soulja Boy,1,3787821,n/a,https://www.youtube.com/watch?v=cSe984Q9g_8
16,12,Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Vi...,DJ Snake,16,3724917,-0.08%,https://www.youtube.com/watch?v=ixkoVwKQaJg
17,13,Calling My Spirit,Kodak Black,7,3629466,-0.09%,https://www.youtube.com/watch?v=ppSY98RGyBU
18,11,Better (Official Video),Khalid,11,3524344,-0.13%,https://www.youtube.com/watch?v=x3bfa3DZ8JM
19,7,Kick Yo Door,YoungBoy Never Broke Again,3,3470994,-0.24%,https://www.youtube.com/watch?v=AYdbhbF-Sp4
20,20,Armed And Dangerous,Juice WRLD,11,3407346,-0.04%,https://www.youtube.com/watch?v=cr82wSBZeeQ
21,22,MIA,Drake & Bad Bunny,16,3361101,-0.03%,https://www.youtube.com/watch?v=OSUxrSe5GbI
22,16,Bleed It,Blueface,2,3295172,-0.14%,https://www.youtube.com/watch?v=C934VEPOD5Y
23,24,High Hopes,Panic! At The Disco,18,3270123,-0.02%,https://www.youtube.com/watch?v=IPXIgEAGe4U
24,n/a,,,1,3244103,n/a,n/a
25,26,Leave Me Alone,Flipp Dinero,9,3233421,0.03%,https://www.youtube.com/watch?v=qu0CxX8GJj8
26,51,Every Season,Roddy Ricch,12,3217649,0.47%,https://www.youtube.com/watch?v=jd-VdQNRUHs
27,17,Casper Nio García Darell Nicky Jam Bad Bunny Ozuna - Te Bote Remix (Video Oficial),Casper Magico,41,3180712,-0.14%,https://www.youtube.com/watch?v=9jI-z9QN6g8
28,25,Freestyle,Lil Baby,25,3166475,0.01%,https://www.youtube.com/watch?v=MHryuYVyHhk
29,18,FEFE,6ix9ine,26,3077995,-0.14%,https://www.youtube.com/watch?v=V_MXGdSBbAI
30,19,Boo'd Up,Ella Mai,39,3002093,-0.16%,https://www.youtube.com/watch?v=6YNZlXfW6Ho
31,27,Eastside (acoustic),Khalid & Halsey,25,2969222,-0.05%,https://www.youtube.com/watch?v=56WBK4ZK_cw
32,15,Calma (Remix - Official Video),Pedro Capó & Farruko,6,2950951,-0.24%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
33,40,Culpables (Official Video),KAROL G & Anuel AA,19,2875277,0.13%,https://www.youtube.com/watch?v=xfdG6vwIGGU
34,45,Beautiful Crazy,Luke Combs,27,2795609,0.21%,https://www.youtube.com/watch?v=rItv9i6c7AY
35,48,Ella Quiere Beber (Remix),Anuel AA,12,2788753,0.23%,https://www.youtube.com/watch?v=0w3XwPVxcsw
36,38,Shallow (from A Star Is Born) (Official Music Video),Bradley Cooper & Lady Gaga,16,2785173,0.07%,https://www.youtube.com/watch?v=bo_efYhYU2A
37,29,I Came Thru,YoungBoy Never Broke Again,5,2735559,-0.11%,https://www.youtube.com/watch?v=ElPBcBgGtnU
38,14,Without Me,Halsey,13,2673910,-0.33%,https://www.youtube.com/watch?v=ZAfAud_M_mg
39,n/a,YNW Melly - Murder On My Mind [Official Video],YNW Melly,23,2673104,n/a,https://www.youtube.com/watch?v=hqDinxaPUK4
40,n/a,MIDDLE CHILD,J. Cole,1,2655925,n/a,https://www.youtube.com/watch?v=e8CLsYzE5wk
41,32,Nunca Es Suficiente,Los Ángeles Azules,21,2626357,-0.1%,https://www.youtube.com/watch?v=k76BgIb89-s
42,33,Good Form,Nicki Minaj,9,2584393,-0.09%,https://www.youtube.com/watch?v=M8GX0cZ-xtw
43,49,Amanece,Haze & Anuel AA,6,2575339,0.14%,https://www.youtube.com/watch?v=xp6706wVdCI
44,88,Wow.,Post Malone,5,2482543,0.65%,https://www.youtube.com/watch?v=D0i23wZ0IeE
45,43,Lost in the Fire (Official Video),The Weeknd & Gesaffelstein,2,2472260,0.03%,https://www.youtube.com/watch?v=ZGDGdRIxvd0
46,n/a,Shot Clock,Ella Mai,1,2424498,n/a,https://www.youtube.com/watch?v=T4kAYIC5Xzo
47,44,Genie,YoungBoy Never Broke Again,43,2375544,0.02%,https://www.youtube.com/watch?v=nQ1mmVG-G1g
48,n/a,Lil Durk - Habits (Official Music Video),Lil Durk,1,2305882,n/a,https://www.youtube.com/watch?v=6qCQs_90VBU
49,37,I Like It,Bad Bunny & Cardi B & J Balvin,35,2298518,-0.13%,https://www.youtube.com/watch?v=xTlNMmZKwpA
50,42,Moonlight (Instrumental),XXXTENTACION,17,2275087,-0.06%,https://www.youtube.com/watch?v=GX8Hg6kWQYI
51,21,Close to the Grave,Kodak Black,2,2230531,-0.36%,https://www.youtube.com/watch?v=JVGXlYl3Yjo
52,28,Babyface Savage,Bhad Bhabie,2,2052535,-0.34%,https://www.youtube.com/watch?v=s8hW4bzMx8E
53,53,Lucid Dreams,Juice WRLD,13,1993298,-0.07%,https://www.youtube.com/watch?v=mzB1VGEGcSU
54,46,Money,Cardi B,5,1986165,-0.14%,https://www.youtube.com/watch?v=zUOh09GoQgk
55,39,Freddy Krueger,YNW Melly,5,1945537,-0.24%,https://www.youtube.com/watch?v=FWC9pBfrUwg
56,41,You,Jacquees,10,1892479,-0.23%,https://www.youtube.com/watch?v=-PLCJqiKbjw
57,n/a,Woman Like Me (Official Video),Little Mix,5,1867243,n/a,https://www.youtube.com/watch?v=fSOpiZo1BAA
