Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,We Don't Talk About Bruno (From "Encanto"),Stephanie Beatriz & Mauro Castillo & Rhenzy Feliz & Adassa & Diane Guerrero & Carolina Gaitán - La Gaita,10,11708834,-0.16%,https://www.youtube.com/watch?v=bvWRMAU6V-c
2,3,AHHH HA,Lil Durk,2,6213275,-0.05%,https://www.youtube.com/watch?v=_q6go0G49A0
3,5,Super Gremlin,Kodak Black,18,5687090,0.03%,https://www.youtube.com/watch?v=kiB9qk4gnt4
4,2,I Hate YoungBoy,YoungBoy Never Broke Again,2,5328314,-0.35%,https://www.youtube.com/watch?v=k-PaOWxvnz0
5,4,The Family Madrigal (From "Encanto"),Olga Merediz & Stephanie Beatriz & Encanto - Cast,13,4623147,-0.2%,https://www.youtube.com/watch?v=Yp5nPGWWMh4
6,7,All Of You (From "Encanto"/Sing-Along),Encanto - Cast,3,3030037,-0.29%,https://www.youtube.com/watch?v=hrMxx8EV4JU
7,n/a,Freaky Deaky (Official Video),Doja Cat & Tyga,1,2584654,n/a,https://www.youtube.com/watch?v=5ZHXYnGVlcg
8,n/a,Live Speed Racing War,YoungBoy Never Broke Again,1,2362257,n/a,https://www.youtube.com/watch?v=W5_RPT0WPYw
9,13,Fumando Mota,Los Lara,9,2321747,0.05%,https://www.youtube.com/watch?v=bEIPtOTJcMk
10,n/a,On Everything,Kodak Black,1,2223071,n/a,https://www.youtube.com/watch?v=zZPySV5Znyo
11,11,Who Want Smoke?? (Directed by Cole Bennett),Nardo Wick,21,2200960,-0.05%,https://www.youtube.com/watch?v=U2SNwtE-0Us
12,8,Surface Pressure (From "Encanto"/Sing-Along),Jessica Darrow,9,2158041,-0.2%,https://www.youtube.com/watch?v=X-NH1uUfr0U
13,n/a,Don't Play (Official Video),Polo G,1,1989419,n/a,https://www.youtube.com/watch?v=n7CqZHpEcmw
14,10,I Wish,Kodak Black,2,1966812,-0.17%,https://www.youtube.com/watch?v=92w6nmA5NVE
15,12,Still D.R.E.,Dr. Dre,6,1891949,-0.17%,https://www.youtube.com/watch?v=_CL6n0FJZpk
16,n/a,Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again,1,1813794,n/a,https://www.youtube.com/watch?v=WieBHoGRsoU
17,14,Rumors,Gucci Mane,6,1670223,-0.18%,https://www.youtube.com/watch?v=QVn1DGgqBNo
