Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Back In Blood,Pooh Shiesty,9,7491406,0.03%,https://www.youtube.com/watch?v=0-Tm65i96TY
2,3,You’re Mines Still,Yung Bleu,11,4540827,-0.03%,https://www.youtube.com/watch?v=_bptrMV3zHE
3,13,Hot N*gga (Official Music Video),Bobby Shmurda,27,4441231,0.47%,https://www.youtube.com/watch?v=vJwKKKd2ZYE
4,6,LA NOCHE DE ANOCHE,Bad Bunny & ROSALÍA,3,4302518,0.1%,https://www.youtube.com/watch?v=f5omY8jVrSM
5,4,Up,Cardi B,4,4153930,-0.09%,https://www.youtube.com/watch?v=rCiBgLOcuKU
6,10,On Me,Lil Baby,13,3123216,-0.05%,https://www.youtube.com/watch?v=ieTnO1Dvt-I
7,11,Save Your Tears (Official Music Video),The Weeknd,9,3042334,-0.04%,https://www.youtube.com/watch?v=XXYlFuWEuKI
8,17,Quicksand,Morray,14,2936011,0.05%,https://www.youtube.com/watch?v=OLi5_8JWoAU
9,7,Cry Baby,Megan Thee Stallion,5,2935090,-0.13%,https://www.youtube.com/watch?v=AqaQsL-8I_M
10,9,Whoopty,CJ,16,2915974,-0.12%,https://www.youtube.com/watch?v=2xWkATdMQms
11,n/a,"We Gotta Be LESS WHITE" New Song!! 😂 | Buddy Brown | Truck Sessions,Buddy Brown,1,2706817,n/a,https://www.youtube.com/watch?v=tKk_e_-b7z8
12,8,Calling My Phone,Lil Tjay,3,2696750,-0.19%,https://www.youtube.com/watch?v=zzd4ydafGR0
13,n/a,Clown World,Tom MacDonald,1,2687706,n/a,https://www.youtube.com/watch?v=koO35JqBQMI
14,15,Time Today (Official Music Video),Moneybagg Yo,5,2651010,-0.09%,https://www.youtube.com/watch?v=1H6xw0B3phU
15,20,Throat Baby (Go Baby) (Remix),City Girls & BRS Kash & DaBaby,6,2598295,0.02%,https://www.youtube.com/watch?v=MaE19-BdilM
