Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,Homicide,Logic,1,6777155,n/a,https://www.youtube.com/watch?v=eQkSArQxYJg
2,7,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,7,6042932,0.03%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
3,1,Señorita,Shawn Mendes & Camila Cabello,2,5546376,-0.6%,https://www.youtube.com/watch?v=Pkh8UtuejGw
4,5,Clout ft. Cardi B (Official Video),Offset,12,5302753,-0.17%,https://www.youtube.com/watch?v=mt2zvsvkKKo
5,6,Suge,DaBaby,18,5279073,-0.11%,https://www.youtube.com/watch?v=KvuQNNVrbtM
6,79,When I Grow Up,NF,2,5093570,2.57%,https://www.youtube.com/watch?v=lxRwEPvL-mQ
7,13,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,37,5074492,0.2%,https://www.youtube.com/watch?v=ApXoWvfEYVU
8,39,Pure Water,Mustard & Migos,17,4726511,1.1%,https://www.youtube.com/watch?v=9hJ8lLNWrM4
9,12,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,7,4714682,0.05%,https://www.youtube.com/watch?v=w2C6RhQBYlg
10,14,bad guy (Official Music Video),Billie Eilish,14,4538112,0.18%,https://www.youtube.com/watch?v=DyDfgMOUjCI
11,11,The London,Young Thug & Travis Scott & J. Cole,6,4503973,-0.03%,https://www.youtube.com/watch?v=OKhT_6XtD7I
12,3,Rodeo (Official Audio),Lil Nas X,2,4435710,-0.41%,https://www.youtube.com/watch?v=kx0Z0B8Xox0
13,9,Pop Out,Polo G & Lil Tjay,20,4234254,-0.16%,https://www.youtube.com/watch?v=g-uW3I_AtDE
14,n/a,Mother's Daughter (Official Video),Miley Cyrus,1,3959713,n/a,https://www.youtube.com/watch?v=7T2RonyJ_Ts
15,4,Press,Cardi B,2,3930203,-0.39%,https://www.youtube.com/watch?v=cJc7xWJbwJw
16,26,Truth Hurts,Lizzo,8,3778700,0.32%,https://www.youtube.com/watch?v=P00HMxdsVZI
17,19,Talk (Official Video),Khalid,17,3701874,0.1%,https://www.youtube.com/watch?v=hE2Ira-Cwxo
18,21,DaniLeigh - Easy ft. Chris Brown (Remix),DaniLeigh,3,3463932,0.16%,https://www.youtube.com/watch?v=7Nbv3reNErw
19,n/a,Push It,Kevin Gates,1,3381730,n/a,https://www.youtube.com/watch?v=iYEN-HRJZY0
20,27,Close Friends,Lil Baby,21,3238223,0.14%,https://www.youtube.com/watch?v=hhzYbExfVIY
21,31,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Animoji Video],Lil Nas X,9,3119363,0.2%,https://www.youtube.com/watch?v=luQ0JWcrsWg
22,33,Con Altura (Official Video),ROSALÍA,14,3104856,0.24%,https://www.youtube.com/watch?v=p7bfOZek9t4
