Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,N95,Kendrick Lamar,1,6048888,n/a,https://www.youtube.com/watch?v=zI383uEwA6Q
2,1,The Heart Part 5,Kendrick Lamar,2,3724881,-0.67%,https://www.youtube.com/watch?v=uAPUkgeiFVY
3,n/a,See Me Now,YoungBoy Never Broke Again,1,3182227,n/a,https://www.youtube.com/watch?v=s8Md9AVBxpY
4,5,PROVENZA,KAROL G,4,3052036,-0.08%,https://www.youtube.com/watch?v=ca48oMV59LU
5,4,We Don't Talk About Bruno (From "Encanto"),Stephanie Beatriz & Mauro Castillo & Rhenzy Feliz & Adassa & Diane Guerrero & Carolina Gaitán - La Gaita,21,2829762,-0.17%,https://www.youtube.com/watch?v=bvWRMAU6V-c
6,6,Super Gremlin,Kodak Black,29,2756258,-0.1%,https://www.youtube.com/watch?v=kiB9qk4gnt4
7,3,WAIT FOR U (Official Music Video),Future,3,2642622,-0.29%,https://www.youtube.com/watch?v=rP09GUQFDFk
8,8,In A Minute,Lil Baby,6,2640101,-0.01%,https://www.youtube.com/watch?v=4F_vcZ6KD9Q
9,14,F.N.F. (Let's Go),Hitkidd & GloRilla,2,2637031,0.21%,https://www.youtube.com/watch?v=ww6ykF2ktaI
10,n/a,Silent Hill,Kendrick Lamar,1,2492084,n/a,https://www.youtube.com/watch?v=00QQWJIFxDA
11,2,Moscow Mule,Bad Bunny,2,2331361,-0.59%,https://www.youtube.com/watch?v=p38WgakuYDo
12,21,WAIT FOR U,Future,3,2259454,0.24%,https://www.youtube.com/watch?v=Y2QpQP8wPG8
13,12,Me Porto Bonito  (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,2,2249139,-0.04%,https://www.youtube.com/watch?v=xn21hH7kyx8
14,11,Right On (Official Video),Lil Baby,6,2142228,-0.1%,https://www.youtube.com/watch?v=S5xQmaUV7ZA
15,13,Tití Me Preguntó (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,2,2057478,-0.06%,https://www.youtube.com/watch?v=QpKkNIT84GY
16,n/a,United In Grief,Kendrick Lamar,1,1787546,n/a,https://www.youtube.com/watch?v=tvNSXS4x9nc
17,19,Lil Durk - What Happened to Virgil ft. Gunna (Directed by Cole Bennett),Lil Durk,6,1755616,-0.08%,https://www.youtube.com/watch?v=PvOYrm_JZc8
