Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,13,House Arrest Tingz,YoungBoy Never Broke Again,2,9781771,2.15%,https://www.youtube.com/watch?v=ALimx-H8C6s
2,1,INTRO,DaBaby,2,7397676,0.03%,https://www.youtube.com/watch?v=ce1lTmRtIkM
3,n/a,Chicken Noodle Soup,j-hope,1,5880392,n/a,https://www.youtube.com/watch?v=i23NEQEFpgQ
4,2,Panini (Official Video),Lil Nas X,5,5525396,-0.18%,https://www.youtube.com/watch?v=bXcSLI58-h8
5,3,Adicto (Official Video),Tainy & Anuel AA & Ozuna,6,5151203,-0.12%,https://www.youtube.com/watch?v=58u-zkDLNPg
6,4,NLE Choppa - Camelot (Directed by Cole Bennett),Lyrical Lemonade,2,4528343,-0.17%,https://www.youtube.com/watch?v=0II-EFw9J0A
7,n/a,Writing on the Wall (Official Video),French Montana,1,4067004,n/a,https://www.youtube.com/watch?v=VZiVePJCpZI
8,6,Truth Hurts,Lizzo,21,3988012,0.01%,https://www.youtube.com/watch?v=P00HMxdsVZI
9,5,Tee Grizzley - Satish [Official Video],Tee Grizzley,2,3152449,-0.36%,https://www.youtube.com/watch?v=6VYMM7_RcHg
10,7,Self Control,YoungBoy Never Broke Again,4,3137459,-0.13%,https://www.youtube.com/watch?v=CakpXm61S2U
11,11,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,50,3108448,-0.04%,https://www.youtube.com/watch?v=ApXoWvfEYVU
12,n/a,VIBEZ,DaBaby,1,3028473,n/a,https://www.youtube.com/watch?v=U2JyeciEwSI
13,15,F.N (Official Video),Lil Tjay,6,2937317,0.05%,https://www.youtube.com/watch?v=R9RtTGzs5EE
14,10,Right Back (Official Video),Khalid,7,2936139,-0.11%,https://www.youtube.com/watch?v=rbHIDVVTSNA
15,n/a,Monster,Key Glock,1,2848800,n/a,https://www.youtube.com/watch?v=OEamCUjEhNc
16,9,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,11,2766552,-0.16%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
17,8,Slime Mentality,YoungBoy Never Broke Again,5,2711965,-0.19%,https://www.youtube.com/watch?v=o7NcaIdVOwY
18,21,Heat (Official Video),Chris Brown,5,2560793,0%,https://www.youtube.com/watch?v=i_vMte-NHkY
19,19,No Guidance (Official Video),Chris Brown,10,2544578,-0.04%,https://www.youtube.com/watch?v=6L_k74BOLag
20,16,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,20,2487877,-0.09%,https://www.youtube.com/watch?v=w2C6RhQBYlg
21,86,Stuck in a Dream,Lil Mosey,2,2486356,1.43%,https://www.youtube.com/watch?v=VTd5kQhtih8
22,25,Circles,Post Malone,5,2477354,0.04%,https://www.youtube.com/watch?v=wXhTHyIgQ_U
23,23,Suge,DaBaby,31,2461869,-0.03%,https://www.youtube.com/watch?v=KvuQNNVrbtM
24,20,Queen of Mean (From "Descendants 3"),Sarah Jeffery,9,2384417,-0.1%,https://www.youtube.com/watch?v=r9o1QS-itsU
25,17,Hot Girl Summer,Megan Thee Stallion & Nicki Minaj & Ty Dolla $ign,5,2339535,-0.13%,https://www.youtube.com/watch?v=FbcLcSY2au4
26,22,Señorita,Shawn Mendes & Camila Cabello,15,2328540,-0.08%,https://www.youtube.com/watch?v=Pkh8UtuejGw
27,14,"Baby" (Official Music Video),Quality Control & DaBaby & Lil Baby,8,2298168,-0.18%,https://www.youtube.com/watch?v=0GbwYFqN1iE
28,24,23 Island,JayDaYoungan,7,2281463,-0.09%,https://www.youtube.com/watch?v=WChdrGtdLUI
29,29,Close Friends,Lil Baby,34,2220951,0.01%,https://www.youtube.com/watch?v=hhzYbExfVIY
30,26,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,20,2177114,-0.08%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
31,n/a,Beautiful People,Ed Sheeran,4,2158876,n/a,https://www.youtube.com/watch?v=mj0XInqZMHY
32,n/a,RBS (intro),Kevin Gates,1,2117342,n/a,https://www.youtube.com/watch?v=8mzAUslN4wY
33,41,bad guy (Official Music Video),Billie Eilish,27,2114998,0.14%,https://www.youtube.com/watch?v=DyDfgMOUjCI
34,30,On Chill,Wale,7,2114659,-0.04%,https://www.youtube.com/watch?v=iX9ICUr1yEw
35,n/a,One Thing Right,Kane Brown & Marshmello,3,1984956,n/a,https://www.youtube.com/watch?v=29a6o5vRKVM
36,37,YNW Melly - 223s ft. 9lokknine [Official Audio],YNW Melly & 9lokkNine,6,1983135,0.01%,https://www.youtube.com/watch?v=DYIl-OCZYA4
37,31,Clout ft. Cardi B (Official Video),Offset,25,1975430,-0.1%,https://www.youtube.com/watch?v=mt2zvsvkKKo
38,n/a,Te quemaste,Manuel Turizo & Anuel AA,1,1972035,n/a,https://www.youtube.com/watch?v=E60h4ciy2pM
39,27,Envy Me,Calboy,25,1916699,-0.14%,https://www.youtube.com/watch?v=FhPvceQcfzE
40,44,Out The Mud ft. Future (Official Music Video),Lil Baby,4,1906819,0.09%,https://www.youtube.com/watch?v=aWotrzyK5GA
41,n/a,Qué Pena (Official Video),Maluma & J Balvin,1,1904642,n/a,https://www.youtube.com/watch?v=Geyg_F5pfHE
42,12,Heartless,Polo G,2,1898295,-0.41%,https://www.youtube.com/watch?v=CPh51t7KHLw
43,32,Pop Out,Polo G & Lil Tjay,33,1804572,-0.15%,https://www.youtube.com/watch?v=g-uW3I_AtDE
44,33,Con Altura (Official Video),ROSALÍA,27,1804279,-0.12%,https://www.youtube.com/watch?v=p7bfOZek9t4
45,42,DaniLeigh - Easy ft. Chris Brown (Remix),DaniLeigh,16,1755228,-0.04%,https://www.youtube.com/watch?v=7Nbv3reNErw
46,n/a,Bezerk,Hit-Boy & Big Sean,1,1748369,n/a,https://www.youtube.com/watch?v=oak7VyEHvro
47,54,Dior,Moneybagg Yo,12,1655529,0.1%,https://www.youtube.com/watch?v=0h9V2HIPlQo
48,51,Daddy ft. Rich The Kid (Official Video),Blueface,13,1625279,0.02%,https://www.youtube.com/watch?v=-z6tnA8DfG8
49,52,Homemade (Official Lyric Video),Jake Owen,3,1619083,0.03%,https://www.youtube.com/watch?v=r8XcnL33Ugs
50,62,Relentless Again (Official Music Video),Moneybagg Yo,11,1613022,0.17%,https://www.youtube.com/watch?v=rfSVJvNPJ3M
51,n/a,No Mercy (intro),Young M.A,1,1582302,n/a,https://www.youtube.com/watch?v=yDNfvKEs_m0
52,45,Callaita,Bad Bunny & Tainy,18,1558990,-0.1%,https://www.youtube.com/watch?v=acEOASYioGY
53,43,Cash Shit,Megan Thee Stallion,15,1533076,-0.12%,https://www.youtube.com/watch?v=2Xe7OAFljOA
54,48,On Chill,Wale,8,1531548,-0.06%,https://www.youtube.com/watch?v=qqRFm9k7A0k
55,28,The Git Up,Blanco Brown,9,1510954,-0.32%,https://www.youtube.com/watch?v=Q7U6AoZ27yE
56,50,Hot,Young Thug,7,1474373,-0.08%,https://www.youtube.com/watch?v=PRWockrwEXU
57,n/a,El Favor,Dimelo Flow,1,1409023,n/a,https://www.youtube.com/watch?v=5EdZ0-iEG2I
58,36,The Git Up,Blanco Brown,3,1407393,-0.29%,https://www.youtube.com/watch?v=DT4kQlM5xuE
59,72,Wish Wish (Official Video),DJ Khaled,20,1370483,0.16%,https://www.youtube.com/watch?v=Oq8z-U3bPgo
60,n/a,Por Mi No Te Detengas,Banda MS de Sergio Lizárraga,1,1365750,n/a,https://www.youtube.com/watch?v=2sdU2VqXbbE
61,60,My Type,Saweetie,14,1325149,-0.07%,https://www.youtube.com/watch?v=x5c2iRHlAHA
62,82,Facts,Kevin Gates,10,1324012,0.25%,https://www.youtube.com/watch?v=_ftNS7EFysY
63,n/a,Hold On (Official Audio),Lil Tjay,1,1321929,n/a,https://www.youtube.com/watch?v=9DoMD8jdiOQ
64,71,Juicy (Official Video),Doja Cat & Tyga,8,1311901,0.07%,https://www.youtube.com/watch?v=YIALlhlyqO4
65,59,Amor A Primera Vista,Belinda & Los Ángeles Azules & Lalo Ebratt,6,1310433,-0.1%,https://www.youtube.com/watch?v=SlgtjRq5AXs
66,n/a,Ballin’,Mustard,1,1306566,n/a,https://www.youtube.com/watch?v=YS0h2-hy9rw
67,n/a,B11,Darell & Rvssian & Zion & Lennox,1,1292773,n/a,https://www.youtube.com/watch?v=OF6dLnlmSQg
68,n/a,Feel It Too,Tainy & Tory Lanez & Jessie Reyez,1,1280346,n/a,https://www.youtube.com/watch?v=ZUYVq-XJJQA
69,35,Panini (DaBaby Remix),DaBaby & Lil Nas X,3,1240493,-0.39%,https://www.youtube.com/watch?v=hUE2DuMP9y8
70,63,BIG,Young M.A,8,1212478,-0.11%,https://www.youtube.com/watch?v=Ma_0WZbksBE
71,64,Night Falls (From "Descendants 3"),Disney & Dylan Playfair & China Anne McClain & Dove Cameron & Cameron Boyce & Sofia Carson & Thomas Doherty & Booboo Stewart,9,1194945,-0.1%,https://www.youtube.com/watch?v=i8pK6qmtllU
72,n/a,Pinky Ring,J Balvin & Miky Woodz,1,1183129,n/a,https://www.youtube.com/watch?v=O5_cBBlo51w
73,80,Good as Hell,Lizzo,5,1178886,0.1%,https://www.youtube.com/watch?v=SmbmeOgWsqE
74,79,Old Town Road (Official Video),Lil Nas X,10,1157949,0.07%,https://www.youtube.com/watch?v=r7qovpFAGrQ
75,67,Hot Girl Summer,Megan Thee Stallion & Nicki Minaj & Ty Dolla $ign,8,1146303,-0.1%,https://www.youtube.com/watch?v=tS7cHwAmjV4
76,68,Lalala (Official Video),Y2K & ​bbno$,6,1143787,-0.09%,https://www.youtube.com/watch?v=N2Y2vQ-1m7M
77,n/a,clementine,Halsey,1,1136703,n/a,https://www.youtube.com/watch?v=2hlT8CqZ2pA
