Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Old Town Road (Official Movie) ft. Billy Ray Cyrus,Lil Nas X,3,8465127,-0.25%,https://www.youtube.com/watch?v=w2Ov5jzm3j8
2,2,Suge,DaBaby,14,7620262,-0.01%,https://www.youtube.com/watch?v=KvuQNNVrbtM
3,3,Put a Date On It,Yo Gotti,19,7040944,-0.05%,https://www.youtube.com/watch?v=1PnHB4sLqew
4,5,Pop Out,Polo G & Lil Tjay,16,5744088,0.18%,https://www.youtube.com/watch?v=g-uW3I_AtDE
5,7,bad guy (Official Music Video),Billie Eilish,10,5254316,0.17%,https://www.youtube.com/watch?v=DyDfgMOUjCI
6,n/a,Never Really Over,Katy Perry,1,4900922,n/a,https://www.youtube.com/watch?v=aEb5gNsmGJ8
7,4,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,33,4371979,-0.14%,https://www.youtube.com/watch?v=ApXoWvfEYVU
8,8,Clout ft. Cardi B (Official Video),Offset,8,4319473,-0.01%,https://www.youtube.com/watch?v=mt2zvsvkKKo
9,13,The London,Young Thug & Travis Scott & J. Cole,2,4180468,0.16%,https://www.youtube.com/watch?v=OKhT_6XtD7I
10,9,Please Me,Cardi B & Bruno Mars,14,4012039,-0.03%,https://www.youtube.com/watch?v=3y-O-4IL-PU
11,11,Te robaré,Nicky Jam & Ozuna,9,3749644,0%,https://www.youtube.com/watch?v=aA_kuFTV-P8
12,12,Imperfect Flower,Quando Rondo,4,3490947,-0.05%,https://www.youtube.com/watch?v=o2D442OGeaQ
13,50,Act Up,City Girls,2,3426012,0.76%,https://www.youtube.com/watch?v=F_VsAvS1kuo
14,17,Shotta Flow,NLE Choppa,8,3395038,-0.02%,https://www.youtube.com/watch?v=3W0e7aI0gAg
15,18,God's Country,Blake Shelton,8,3314820,-0.02%,https://www.youtube.com/watch?v=ZEWGyyLiqY4
16,n/a,The Search,NF,1,3217358,n/a,https://www.youtube.com/watch?v=fnlJw9H0xAM
17,20,Con Calma (Remix),Daddy Yankee,19,3214786,0.03%,https://www.youtube.com/watch?v=DiItGE3eAyQ
18,n/a,Weather the Storm (Official Video),DJ Khaled,1,3113251,n/a,https://www.youtube.com/watch?v=YbHFfKCBfns
19,15,Bacc At It Again,Gucci Mane & Yella Beezy & Quavo,6,3070599,-0.14%,https://www.youtube.com/watch?v=MBiQVjt7Rjc
20,10,Talk (Official Video),Khalid,13,2949153,-0.27%,https://www.youtube.com/watch?v=hE2Ira-Cwxo
21,19,Wish Wish (Official Video),DJ Khaled,3,2937887,-0.08%,https://www.youtube.com/watch?v=Oq8z-U3bPgo
22,14,Calma (Remix - Official Video),Pedro Capó & Farruko,25,2934195,-0.18%,https://www.youtube.com/watch?v=1_zgKRBrT0Y
23,26,Close Friends,Lil Baby,17,2856788,0.08%,https://www.youtube.com/watch?v=hhzYbExfVIY
24,6,Racks in the Middle,Nipsey Hussle,15,2811205,-0.4%,https://www.youtube.com/watch?v=PAcGg_4KKYs
25,35,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Animoji Video],Lil Nas X,5,2759913,0.14%,https://www.youtube.com/watch?v=luQ0JWcrsWg
26,23,YNW Melly - Murder On My Mind [Official Video],YNW Melly,42,2678168,-0.07%,https://www.youtube.com/watch?v=hqDinxaPUK4
27,88,No Me Conoce (Remix),Bad Bunny & J Balvin & Jhay Cortez,3,2623754,1.05%,https://www.youtube.com/watch?v=w2C6RhQBYlg
28,28,Envy Me,Calboy,8,2542181,-0.02%,https://www.youtube.com/watch?v=FhPvceQcfzE
29,n/a,Butterflies - Gabbie Hanna (Official Video),The Gabbie Show,1,2508724,n/a,https://www.youtube.com/watch?v=XP2IkGnToNg
30,21,FREEDDAWG,YoungBoy Never Broke Again,9,2502224,-0.15%,https://www.youtube.com/watch?v=bUAJpE4ycjE
31,37,Go Loko,YG,5,2467165,0.04%,https://www.youtube.com/watch?v=y2cFkVfVf2Y
32,27,Truth Hurts,Lizzo,4,2409035,-0.09%,https://www.youtube.com/watch?v=P00HMxdsVZI
33,42,Con Altura (Official Video),ROSALÍA,10,2374900,0.11%,https://www.youtube.com/watch?v=p7bfOZek9t4
34,29,Nunca Es Suficiente,Los Ángeles Azules,40,2345489,-0.08%,https://www.youtube.com/watch?v=k76BgIb89-s
35,n/a,Callaita,Bad Bunny & Tainy,1,2293446,n/a,https://www.youtube.com/watch?v=acEOASYioGY
36,56,Blac Money,Moneybagg Yo,3,2263403,0.3%,https://www.youtube.com/watch?v=Ff-9mHF0cmw
37,34,Pure Water,Mustard & Migos,13,2229924,-0.09%,https://www.youtube.com/watch?v=9hJ8lLNWrM4
38,52,ME!,Taylor Swift,6,2227500,0.21%,https://www.youtube.com/watch?v=FuXNumBwDOM
39,36,Better (Official Video),Khalid,30,2216253,-0.07%,https://www.youtube.com/watch?v=x3bfa3DZ8JM
40,31,Thotiana (remix),YG & Cardi B & Blueface,12,2210227,-0.13%,https://www.youtube.com/watch?v=V6EpIABAKKo
41,89,Rumor (Glover Mix),Lee Brice,12,2186529,0.71%,https://www.youtube.com/watch?v=ObptpVRe6ek
42,65,Boy With Luv,BTS,8,2178879,0.41%,https://www.youtube.com/watch?v=XsX3ATc3FbA
43,73,Look What God Gave Her,Thomas Rhett,3,2130181,0.51%,https://www.youtube.com/watch?v=AbXahmBSLTk
44,62,11 PM (Official Video),Maluma,2,2104026,0.3%,https://www.youtube.com/watch?v=IBaSizQyC5g
45,16,Dancing With A Stranger (Official Music Video),Sam Smith & Normani,18,2089882,-0.4%,https://www.youtube.com/watch?v=av5JD1dfj_c
46,45,MIDDLE CHILD,J. Cole,15,2088794,-0.01%,https://www.youtube.com/watch?v=WILNIXZr2oc
47,n/a,Under Enemy Arms,Trippie Redd,1,2038829,n/a,https://www.youtube.com/watch?v=b11Yos5HmYA
48,40,Freestyle,Lil Baby,44,2034323,-0.08%,https://www.youtube.com/watch?v=MHryuYVyHhk
49,49,a lot (Official Video),21 Savage,18,2009094,0.01%,https://www.youtube.com/watch?v=DmWWqogr_r8
50,24,Earth,Lil Dicky,7,1969959,-0.3%,https://www.youtube.com/watch?v=pvuN_WvF1to
51,33,Throw Fits (Official Video),London On Da Track,2,1962388,-0.21%,https://www.youtube.com/watch?v=RsSlXrHxUkY
52,63,Unjudge Me (Official Video),Calboy,2,1926191,0.2%,https://www.youtube.com/watch?v=2cXyCFtw7LI
53,68,Wale - Pole Dancer [Official Music Video],Wale,2,1864151,0.23%,https://www.youtube.com/watch?v=Wa1uS6Ed7YU
54,32,EARFQUAKE,Tyler The Creator,3,1853003,-0.25%,https://www.youtube.com/watch?v=HmAsUQEFYGI
55,51,No lo trates,Natti Natasha & Pitbull & Daddy Yankee,3,1850956,-0.04%,https://www.youtube.com/watch?v=maShEST7IkI
56,79,Otro trago,Sech,4,1770298,0.31%,https://www.youtube.com/watch?v=t_qn-f7XfJo
57,47,Deep Wounds,Polo G,3,1740752,-0.16%,https://www.youtube.com/watch?v=GIDTSzFSexM
58,n/a,break up with your girlfriend i'm bored (Official Video),Ariana Grande,15,1732371,n/a,https://www.youtube.com/watch?v=LH4Y1ZUUx2g
59,53,Down Below,Roddy Ricch,14,1687346,-0.07%,https://www.youtube.com/watch?v=CJOZc02VwJM
60,54,7 rings (Official Video),Ariana Grande,20,1685677,-0.07%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
