Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,n/a,break up with your girlfriend i'm bored (Official Video),Ariana Grande,1,16502790,n/a,https://www.youtube.com/watch?v=LH4Y1ZUUx2g
2,2,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,17,8712734,-0.03%,https://www.youtube.com/watch?v=ApXoWvfEYVU
3,1,a lot (Official Video),21 Savage,2,7928603,-0.2%,https://www.youtube.com/watch?v=DmWWqogr_r8
4,4,Girls Like You ft. Cardi B (Official Music Video),Maroon 5,38,6751064,0.01%,https://www.youtube.com/watch?v=aJOTlE1K90k
5,5,7 rings (Official Video),Ariana Grande,4,6066263,0.03%,https://www.youtube.com/watch?v=QYh6mYIJG2Y
6,3,Alone,Marshmello,12,5490683,-0.31%,https://www.youtube.com/watch?v=ALZHF5UqnU4
7,n/a,Going Bad,Meek Mill,1,5061256,n/a,https://www.youtube.com/watch?v=S1gp0m4B5p8
8,10,Thotiana (remix),Blueface,3,4710094,0.11%,https://www.youtube.com/watch?v=o5_FzJJj7ZI
9,9,Put a Date On It,Yo Gotti,3,4562338,-0.06%,https://www.youtube.com/watch?v=1PnHB4sLqew
10,8,SICKO MODE,Travis Scott,17,4532316,-0.07%,https://www.youtube.com/watch?v=6ONRf7h3Mdk
11,6,Wake Up in the Sky,Gucci Mane & Bruno Mars & Kodak Black,16,4165926,-0.28%,https://www.youtube.com/watch?v=U68MJz9DrI4
12,11,Valuable Pain,YoungBoy Never Broke Again,10,3982149,-0.03%,https://www.youtube.com/watch?v=jWu_GqHxmWQ
13,28,YNW Melly - Murder On My Mind [Official Video],YNW Melly,26,3863416,0.41%,https://www.youtube.com/watch?v=hqDinxaPUK4
14,30,MO3 x BOOSIE - Errybody (Remix) (OFFICIAL VIDEO),Boosie Badazz & MO3,2,3669844,0.36%,https://www.youtube.com/watch?v=9_O6gPcRsEs
15,15,Taste (Official Video),Tyga,38,3517319,0.02%,https://www.youtube.com/watch?v=LjxulQ1bEWg
16,19,Freestyle,Lil Baby,28,3406090,0.12%,https://www.youtube.com/watch?v=MHryuYVyHhk
