Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,MotorSport,Nicki Minaj & Cardi B & Migos,3,13757095,0.06%,https://www.youtube.com/watch?v=9v_rtaye2yY
2,20,No Limit REMIX,G-Eazy,2,11735310,1.94%,https://www.youtube.com/watch?v=l_lblj8Cq0o
3,2,Gucci Gang,Lil Pump,10,10549976,-0.01%,https://www.youtube.com/watch?v=4LfJnj66HVQ
4,n/a,LOVE.,Kendrick Lamar,1,6700479,n/a,https://www.youtube.com/watch?v=ox7RsX1Ee34
5,6,Bodak Yellow,Cardi B,26,6638499,0.04%,https://www.youtube.com/watch?v=PEGccV-NOm8
6,4,Too Good At Goodbyes,Sam Smith,15,6554367,-0.09%,https://www.youtube.com/watch?v=J_ub7Etch2U
7,47,La modelo,Cardi B & Ozuna,2,6225351,1.26%,https://www.youtube.com/watch?v=X8sSXU-J8fI
8,7,I Get the Bag,Gucci Mane,19,6159133,-0.03%,https://www.youtube.com/watch?v=uo14xGYwWd4
9,5,KOODA,6ix9ine,4,6057378,-0.16%,https://www.youtube.com/watch?v=yz7Cn3pHibo
10,8,6IX9INE - GUMMO (OFFICIAL MUSIC VIDEO),FCK THEM,11,6055336,-0.02%,https://www.youtube.com/watch?v=gAs9HZC9c7Y
11,n/a,,,1,5978156,n/a,n/a
12,14,Post Malone - rockstar ft. 21 Savage (Official Audio),Republic Records,8,5558339,0.19%,https://www.youtube.com/watch?v=4GFAZBKZVJY
13,9,Perfect,Ed Sheeran,8,5442424,-0.08%,https://www.youtube.com/watch?v=2Vv-BfVoq4g
14,12,Havana (Audio),Camila Cabello,13,4966465,-0.06%,https://www.youtube.com/watch?v=HCjNJDNzw8Y
15,18,Young Dumb & Broke (Official Video),Khalid,20,4809586,0.16%,https://www.youtube.com/watch?v=IPfJnp1guPc
16,26,Solar Eclipse,YoungBoy Never Broke Again,2,4463524,0.27%,https://www.youtube.com/watch?v=xw0owsSgO3Y
17,n/a,Naughty or Nice,RiceGum,1,4341464,n/a,https://www.youtube.com/watch?v=tRBsfAIg4-0
18,11,Logan Paul - SANTA DISS TRACK (Official Music Video),Logan Paul,3,4112295,-0.23%,https://www.youtube.com/watch?v=khPLWaBioOs
19,22,Thunder,Imagine Dragons,14,4062919,0.03%,https://www.youtube.com/watch?v=fKopy74weus
20,10,Havana,Camila Cabello,10,3954002,-0.29%,https://www.youtube.com/watch?v=BQ0mxQXmLsk
21,64,Marry Me,Thomas Rhett,2,3901915,0.6%,https://www.youtube.com/watch?v=p_IwENcMPOA
22,13,I'm Not Racist,Joyner Lucas,4,3882799,-0.25%,https://www.youtube.com/watch?v=43gm3CJePn0
23,n/a,Ice Tray,Quality Control & Lil Yachty & Quavo,1,3862007,n/a,https://www.youtube.com/watch?v=hSOgNCJmQvU
24,15,rockstar (Official Music Video),Post Malone ft. 21 Savage,6,3720740,-0.18%,https://www.youtube.com/watch?v=UceaB4D0jpo
25,53,Nowadays,Lil Skies,2,3648739,0.4%,https://www.youtube.com/watch?v=DlFmfxACvig
26,25,Bad At Love,Halsey,9,3628310,-0.01%,https://www.youtube.com/watch?v=xdYFuCp3m9k
27,n/a,Lil Wayne - Bank Account (Official Audio) | Dedication 6,Lil Wayne,1,3600731,n/a,https://www.youtube.com/watch?v=sesUrzFWlQ0
28,89,That's What I Like,Bruno Mars,44,3539985,0.72%,https://www.youtube.com/watch?v=PMivT7MJ41M
29,29,All I Want For Christmas Is You (Official Video),Mariah Carey,11,3521594,0.07%,https://www.youtube.com/watch?v=yXQViqx6GMY
30,17,Him & I (Official Video),G-Eazy,4,3470655,-0.19%,https://www.youtube.com/watch?v=SA7AIQw-7Ms
31,36,Despacito,Luis Fonsi,50,3444697,0.14%,https://www.youtube.com/watch?v=kJQP7kiw5Fk
32,30,Pills & Automobiles (Official Video),Chris Brown,17,3329399,0.01%,https://www.youtube.com/watch?v=GTexe8c0eqw
33,44,Échame La Culpa,Luis Fonsi & Demi Lovato,6,3316731,0.18%,https://www.youtube.com/watch?v=TyHvyGVs42U
34,28,Betrayed,Lil Xan,15,3301501,-0.02%,https://www.youtube.com/watch?v=EbfK7dei7ec
35,27,Rubbin Off the Paint,YBN Nahmir,13,3300393,-0.05%,https://www.youtube.com/watch?v=AsfVZqZhtUQ
36,35,Natti Natasha ❌ Ozuna - Criminal [Official Video],Natti Natasha,17,3264884,0.06%,https://www.youtube.com/watch?v=VqEbCxg2bNI
37,n/a,Layton Greene - Roll in Peace (Lyrics),Menace Lyrics,1,3227876,n/a,https://www.youtube.com/watch?v=0sbQsMgvLU8
38,39,Perfect - Ed Sheeran (Lyrics),DopeLyrics,3,3226767,0.08%,https://www.youtube.com/watch?v=UDDMYw_IZnE
