Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,Tomorrow 2,GloRilla & Cardi B,9,5073845,0.41%,https://www.youtube.com/watch?v=zwa7NzNBQig
2,n/a,Just Wanna Rock,Lil Uzi Vert,1,5015178,n/a,https://www.youtube.com/watch?v=UhbixyxgsiU
3,3,Me porto bonito,Bad Bunny,23,2431208,0.23%,https://www.youtube.com/watch?v=saGYMhApaH8
4,13,World Cup,IShowSpeed,3,2310918,0.51%,https://www.youtube.com/watch?v=8n5dJwWXrbo
5,8,Tití me preguntó,Bad Bunny,26,2211735,0.31%,https://www.youtube.com/watch?v=Cr8K88UcO0s
6,4,Under The Influence,Chris Brown,6,2173592,0.12%,https://www.youtube.com/watch?v=pfxyk1glEq4
7,2,No Se Va (En Vivo),Grupo Frontera,13,2073956,-0.02%,https://www.youtube.com/watch?v=VtKcDwz6hiM
8,19,All I Want for Christmas Is You (Make My Wish Come True Edition),Mariah Carey,21,1984252,0.5%,https://www.youtube.com/watch?v=aAkMkVFwAoo
9,n/a,Hi Haters,YoungBoy Never Broke Again,1,1969121,n/a,https://www.youtube.com/watch?v=3V8aen7Flhs
10,n/a,Tukoh Taka (Official FIFA Fan Festival™ Anthem),Nicki Minaj & Maluma & Myriam Fares & FIFA Sound,1,1829111,n/a,https://www.youtube.com/watch?v=rb0bjyt1OD0
11,18,NO SE VA (EN VIVO),Grupo Frontera,7,1792688,0.33%,https://www.youtube.com/watch?v=-1vsm5bhoyE
12,10,Billete Grande,Edgardo Nuñez & Fuerza Regida,16,1747153,0.09%,https://www.youtube.com/watch?v=ao3SN7fkQQU
13,n/a,,,1,1700473,n/a,n/a
14,12,California Breeze,Lil Baby,6,1666156,0.08%,https://www.youtube.com/watch?v=WyhU6Zb_fhY
15,27,Shabooya,K Carbon & Hitkidd & Gloss Up,5,1581222,0.44%,https://www.youtube.com/watch?v=aV-pJ8BBxj8
16,11,Stand On It,Lil Baby,6,1580533,0.02%,https://www.youtube.com/watch?v=gSeBZqcTHLc
17,14,Back End,Finesse2Tymes,17,1574343,0.04%,https://www.youtube.com/watch?v=Vzkr-G1QEh8
18,21,GATÚBELA,KAROL G & Maldy,13,1556246,0.26%,https://www.youtube.com/watch?v=SK37InR9j38
19,17,Letter to Takeoff,Gucci Mane,2,1555720,0.12%,https://www.youtube.com/watch?v=C2YSX4sV_bA
20,28,PROVENZA,KAROL G,31,1503788,0.39%,https://www.youtube.com/watch?v=ca48oMV59LU
21,7,Messy,Quavo & Takeoff,4,1496714,-0.12%,https://www.youtube.com/watch?v=TUbmIriJlp4
22,6,Cairo,KAROL G & Ovy On The Drums,2,1480508,-0.18%,https://www.youtube.com/watch?v=Z02zptUN8gI
23,22,Unholy (Official Music Video),Sam Smith & Kim Petras,8,1450989,0.19%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
24,24,Anti-Hero,Taylor Swift,5,1424510,0.22%,https://www.youtube.com/watch?v=b1kbLwvqugk
25,26,Bad Habit (Official Video),Steve Lacy,19,1378895,0.23%,https://www.youtube.com/watch?v=VF-FGf_ZZiI
26,16,Hotel Lobby (Official Video),Quavo & Takeoff,14,1368086,-0.02%,https://www.youtube.com/watch?v=Om0rYw6qzb8
27,72,Drake and 21 Savage - Rich Flex Her Loss Recap,Drake,2,1347320,1.14%,https://www.youtube.com/watch?v=PrSBuEFdRFU
28,n/a,Get Away (Official Visualizer),Young Dolph,1,1332645,n/a,https://www.youtube.com/watch?v=9YdgldMKGGU
