Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,19,Panini (Official Video),Lil Nas X,2,15987388,4.65%,https://www.youtube.com/watch?v=bXcSLI58-h8
2,n/a,Self Control,YoungBoy Never Broke Again,1,7545210,n/a,https://www.youtube.com/watch?v=CakpXm61S2U
3,1,Slime Mentality,YoungBoy Never Broke Again,2,5166035,-0.29%,https://www.youtube.com/watch?v=o7NcaIdVOwY
4,9,Heat (Official Video),Chris Brown,2,4602116,0.3%,https://www.youtube.com/watch?v=i_vMte-NHkY
5,3,Truth Hurts,Lizzo,18,4550938,-0.11%,https://www.youtube.com/watch?v=P00HMxdsVZI
6,7,all the good girls go to hell (Official Music Video),Billie Eilish,2,3808501,0.03%,https://www.youtube.com/watch?v=-PZsSWwc9xA
7,43,On Chill,Wale,4,3770400,1.1%,https://www.youtube.com/watch?v=iX9ICUr1yEw
8,n/a,Slide Away (Official Video),Miley Cyrus,1,3587444,n/a,https://www.youtube.com/watch?v=rrvFv6j3-sM
9,8,China,KAROL G & Anuel AA & J Balvin & Ozuna & Daddy Yankee,8,3570151,-0.03%,https://www.youtube.com/watch?v=0VR3dfZf9Yg
10,4,Queen of Mean (From "Descendants 3"),Sarah Jeffery,6,3487913,-0.24%,https://www.youtube.com/watch?v=r9o1QS-itsU
11,10,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,47,3461551,0.01%,https://www.youtube.com/watch?v=ApXoWvfEYVU
12,6,Adicto (Official Video),Tainy & Anuel AA & Ozuna,3,3186049,-0.22%,https://www.youtube.com/watch?v=58u-zkDLNPg
13,n/a,Shameless (Official Video),Camila Cabello,1,3063323,n/a,https://www.youtube.com/watch?v=Fp_P_e1cPOE
14,12,Circles,Post Malone,2,3049574,0.01%,https://www.youtube.com/watch?v=wXhTHyIgQ_U
15,21,No Guidance (Official Video),Chris Brown,7,2875004,0.06%,https://www.youtube.com/watch?v=6L_k74BOLag
16,14,Señorita,Shawn Mendes & Camila Cabello,12,2855083,-0.05%,https://www.youtube.com/watch?v=Pkh8UtuejGw
17,5,"Baby" (Official Music Video),Quality Control & DaBaby & Lil Baby,5,2820587,-0.33%,https://www.youtube.com/watch?v=0GbwYFqN1iE
18,32,F.N (Official Video),Lil Tjay,3,2783163,0.34%,https://www.youtube.com/watch?v=R9RtTGzs5EE
19,2,Hot Girl Summer,Megan Thee Stallion & Nicki Minaj & Ty Dolla $ign,2,2746219,-0.53%,https://www.youtube.com/watch?v=FbcLcSY2au4
